# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.257
metadata : {}


# id : NWRW1800000046.257.1.1
[광복 70년… 물건의 추억](13) '특수층 전유물' 같던 초기 삐삐… '신분 사칭범'들마다 허리에 차

[광복	[/SS+광복/NNG
70년…	70/SN+년/NNB+…/SE
물건의	물건/NNG+의/JKG
추억](13)	추억/NNG+]/SS+(/SS+13/SN+)/SS
'특수층	'/SS+특수/NNG+층/XSN
전유물'	전유물/NNG+'/SS
같던	같/VA+던/ETM
초기	초기/NNG
삐삐…	삐삐/NNG+…/SE
'신분	'/SS+신분/NNG
사칭범'들마다	사칭범/NNG+'/SS+들/XSN+마다/JX
허리에	허리/NNG+에/JKB
차	차/VV+아/EC


# id : NWRW1800000046.257.2.1
1983년 5월 12일 이범석(李範錫) 외무부 장관이 부처의 국장급 이상 모든 간부에게 특별 지시를 내렸다.

1983년	1983/SN+년/NNB
5월	5/SN+월/NNB
12일	12/SN+일/NNB
이범석(李範錫)	이범석/NNP+(/SS+李範錫/SH+)/SS
외무부	외무부/NNG
장관이	장관/NNG+이/JKS
부처의	부처/NNG+의/JKG
국장급	국장급/NNG
이상	이상/NNG
모든	모든/MMN
간부에게	간부/NNG+에게/JKB
특별	특별/NNG
지시를	지시/NNG+를/JKO
내렸다.	내리/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.257.2.2
'무선호출기(삐삐)를 허리에 차고 다니라'는 것이었다.

'무선호출기(삐삐)를	'/SS+무선/NNG+호출기/NNG+(/SS+삐삐/NNG+)/SS+를/JKO
허리에	허리/NNG+에/JKB
차고	차/VV+고/EC
다니라'는	다니/VV+라/EF+'/SS+는/ETM
것이었다.	것/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.257.2.3
'어린이날'이었던 5일, 중공(中共·중국) 여객기가 납치당해 우리 공군 기지에 불시착하는 대형 사건이 터졌으나, 간부들에게 비상 연락이 안 됐다고 감사원 지적을 받았기 때문이었다.

'어린이날'이었던	'/SS+어린이날/NNG+'/SS+이/VCP+었/EP+던/ETM
5일,	5/SN+일/NNB+,/SP
중공(中共·중국)	중공/NNP+(/SS+中共/SH+·/SP+중국/NNP+)/SS
여객기가	여객기/NNG+가/JKS
납치당해	납치/NNG+당하/XSV+아/EC
우리	우리/NP
공군	공군/NNG
기지에	기지/NNG+에/JKB
불시착하는	불시착/NNG+하/XSV+는/ETM
대형	대형/NNG
사건이	사건/NNG+이/JKS
터졌으나,	터지/VV+었/EP+으나/EC+,/SP
간부들에게	간부/NNG+들/XSN+에게/JKB
비상	비상/NNG
연락이	연락/NNG+이/JKS
안	안/MAG
됐다고	되/VV+었/EP+다고/EC
감사원	감사원/NNG
지적을	지적/NNG+을/JKO
받았기	받/VV+았/EP+기/ETN
때문이었다.	때문/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.257.2.4
한국 최초의 이동통신 기기 삐삐가 1982년 말 개통된 후 반년이 되도록 고관들은 잘 쓰지 않고 있었다.

한국	한국/NNP
최초의	최초/NNG+의/JKG
이동통신	이동/NNG+통신/NNG
기기	기기/NNG
삐삐가	삐삐/NNG+가/JKS
1982년	1982/SN+년/NNB
말	말/NNB
개통된	개통/NNG+되/XSV+ㄴ/ETM
