# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.343
metadata : {}


# id : NWRW1800000030.343.1.1
좌파매체들, 박정희 공격 시작 •한나라 "박근혜에 독재 이미지 덧씌우려는 의도"

좌파매체들,	좌파/NNG+매체/NNG+들/XSN+,/SP
박정희	박정희/NNP
공격	공격/NNG
시작	시작/NNG
•한나라	•/SW+한나라/NNP
"박근혜에	"/SS+박근혜/NNP+에/JKB
독재	독재/NNG
이미지	이미지/NNG
덧씌우려는	덧씌우/VV+려는/ETM
의도"	의도/NNG+"/SS


# id : NWRW1800000030.343.2.1
내년 대선을 1년여 앞둔 시점에서 좌파 매체들이 일제히 '박정희 정권'에 대한 재평가 작업을 하고 있다.

내년	내년/NNG
대선을	대선/NNG+을/JKO
1년여	1/SN+년/NNB+여/XSN
앞둔	앞두/VV+ㄴ/ETM
시점에서	시점/NNG+에서/JKB
좌파	좌파/NNG
매체들이	매체/NNG+들/XSN+이/JKS
일제히	일제히/MAG
'박정희	'/SS+박정희/NNP
정권'에	정권/NNG+'/SS+에/JKB
대한	대하/VV+ㄴ/ETM
재평가	재/XPN+평가/NNG
작업을	작업/NNG+을/JKO
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.343.2.2
정치권에선 내년 총선·대선을 겨냥해 박근혜 전 한나라당 대표에 대한 사실상 '과거사 검증'에 들어간 것이 아니냐는 해석을 하고 있다.

정치권에선	정치/NNG+권/XSN+에서/JKB+ㄴ/JX
내년	내년/NNG
총선·대선을	총선/NNG+·/SP+대선/NNG+을/JKO
겨냥해	겨냥/NNG+하/XSV+아/EC
박근혜	박근혜/NNP
전	전/MMD
한나라당	한나라당/NNP
대표에	대표/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
사실상	사실/NNG+상/XSN
'과거사	'/SS+과거사/NNG
검증'에	검증/NNG+'/SS+에/JKB
들어간	들어가/VV+ㄴ/ETM
것이	것/NNB+이/JKC
아니냐는	아니/VCN+냐는/ETM
해석을	해석/NNG+을/JKO
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.343.2.3
한나라당 관계자는 "박 전 대표에 독재 이미지를 덧씌워 내년 선거구도를 독재와 반독재로 짜려고 하는 것 같다"고 말했다.

한나라당	한나라당/NNP
관계자는	관계자/NNG+는/JX
"박	"/SS+박/NNP
전	전/MMD
대표에	대표/NNG+에/JKB
독재	독재/NNG
이미지를	이미지/NNG+를/JKO
덧씌워	덧씌우/VV+어/EC
내년	내년/NNG
선거구도를	선거/NNG+구도/NNG+를/JKO
독재와	독재/NNG+와/JC
반독재로	반/XPN+독재/NNG+로/JKB
짜려고	짜/VV+려고/EC
하는	하/VX+는/ETM
것	것/NNB
같다"고	같/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.343.3.1
◇"양극화 원인은 박정희 정권"

◇"양극화	◇/SW+"/SS+양극/NNG+화/XSN
원인은	원인/NNG+은/JX
박정희	박정희/NNP
정권"	정권/NNG+"/SS


# id : NWRW1800000030.343.4.1
최근 박 전 대통령에 대한 재평가 작업의 특징은 우리 사회에 나타난 양극화 등 구조적 문제점이 박정희 정권에서 시작됐다는 데서 출발한다.

최근	최근/NNG
박	박/NNP
전	전/MMD
대통령에	대통령/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
재평가	재/XPN+평가/NNG
작업의	작업/NNG+의/JKG
특징은	특징/NNG+은/JX
우리	우리/NP
사회에	사회/NNG+에/JKB
나타난	나타나/VV+ㄴ/ETM
양극화	양극/NNG+화/XSN
등	등/NNB
구조적	구조/NNG+적/XSN
문제점이	문제점/NNG+이/JKS
박정희	박정희/NNP
정권에서	정권/NNG+에서/JKB
시작됐다는	시작/NNG+되/XSV+었/EP+다는/ETM
데서	데/NNB+서/JKB
출발한다.	출발/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.343.5.1
지난달 말 노무현 전 대통령의 경제자문을 했던 유종일 한국개발연구원(KDI) 교수, 참여연대 소속 김상조 한성대 교수 등 경제학자 8명이 '박정희의 맨얼굴'이란 책을 냈다.

지난달	지난달/NNG
말	말/NNB
노무현	노무현/NNP
전	전/MMD
대통령의	대통령/NNG+의/JKG
경제자문을	경제/NNG+자문/NNG+을/JKO
했던	하/VV+았/EP+던/ETM
유종일	유종일/NNP
한국개발연구원(KDI)	한국개발연구원/NNP+(/SS+KDI/SL+)/SS
교수,	교수/NNG+,/SP
참여연대	참여연대/NNP
소속	소속/NNG
김상조	김상조/NNP
한성대	한성대/NNP
교수	교수/NNG
등	등/NNB
경제학자	경제학자/NNG
8명이	8/SN+명/NNB+이/JKS
'박정희의	'/SS+박정희/NNP+의/JKG
맨얼굴'이란	맨/XPN+얼굴/NNG+'/SS+이/VCP+란/ETM
책을	책/NNG+을/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.343.5.2
책의 주된 내용은 "김대중·노무현 정부시절의 최대 정책실패로 거론되는 양극화는 박정희 정권의 개발독재에서 비롯됐다"는 것이다.

책의	책/NNG+의/JKG
주된	주/NNG+되/XSV+ㄴ/ETM
내용은	내용/NNG+은/JX
"김대중·노무현	"/SS+김대중/NNP+·/SP+노무현/NNP
정부시절의	정부/NNG+시절/NNG+의/JKG
최대	최대/NNG
정책실패로	정책/NNG+실패/NNG+로/JKB
거론되는	거론/NNG+되/XSV+는/ETM
양극화는	양극/NNG+화/XSN+는/JX
박정희	박정희/NNP
정권의	정권/NNG+의/JKG
개발독재에서	개발/NNG+독재/NNG+에서/JKB
비롯됐다"는	비롯되/VV+었/EP+다/EF+"/SS+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.343.6.1
이 책은 정의구현사제단의 리더격인 함세웅 신부가 이사장으로 있는 '10·26 재평가와 김재규 장군명예회복추진위'의 제안으로 2009년 한겨레 신문이 주최한 '박정희 시대의 바른 평가를 위한 학술대회'에 발표된 글들을 보완해 모은 것이다.

이	이/MMD
책은	책/NNG+은/JX
정의구현사제단의	정의구현사제단/NNP+의/JKG
리더격인	리더/NNG+격/NNB+이/VCP+ㄴ/ETM
함세웅	함세웅/NNP
신부가	신부/NNG+가/JKS
이사장으로	이사장/NNG+으로/JKB
있는	있/VA+는/ETM
'10·26	'/SS+10/SN+·/SP+26/SN
재평가와	재/XPN+평가/NNG+와/JC
김재규	김재규/NNP
장군명예회복추진위'의	장군/NNG+명예/NNG+회복/NNG+추진위/NNG+'/SS+의/JKG
제안으로	제안/NNG+으로/JKB
2009년	2009/SN+년/NNB
한겨레	한겨레/NNP
신문이	신문/NNG+이/JKS
주최한	주최/NNG+하/XSV+ㄴ/ETM
'박정희	'/SS+박정희/NNP
시대의	시대/NNG+의/JKG
바른	바르/VA+ㄴ/ETM
평가를	평가/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
학술대회'에	학술/NNG+대회/NNG+'/SS+에/JKB
발표된	발표/NNG+되/XSV+ㄴ/ETM
글들을	글/NNG+들/XSN+을/JKO
보완해	보완/NNG+하/XSV+아/EC
모은	모으/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.343.6.2
이부영 전 의원이 대표로 있는 '민주평화복지포럼'은 "내년 10월 유신 40주년 때 유신정권에 협조했던 학자와 검사, 수사관 명단을 모아 '유신 반민족 행위자 인명사전'까지 발간하겠다"고 밝혔다.

이부영	이부영/NNP
전	전/MMD
의원이	의원/NNG+이/JKS
대표로	대표/NNG+로/JKB
있는	있/VA+는/ETM
'민주평화복지포럼'은	'/SS+민주/NNG+평화/NNG+복지/NNG+포럼/NNG+'/SS+은/JX
"내년	"/SS+내년/NNG
10월	10/SN+월/NNB
유신	유신/NNG
40주년	40/SN+주년/NNB
때	때/NNG
유신정권에	유신/NNG+정권/NNG+에/JKB
협조했던	협조/NNG+하/XSV+았/EP+던/ETM
학자와	학자/NNG+와/JC
검사,	검사/NNG+,/SP
수사관	수사관/NNG
명단을	명단/NNG+을/JKO
모아	모으/VV+아/EC
'유신	'/SS+유신/NNG
반민족	반/XPN+민족/NNG
행위자	행위자/NNG
인명사전'까지	인명사전/NNG+'/SS+까지/JX
발간하겠다"고	발간/NNG+하/XSV+겠/EP+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.343.6.3
12월 대선을 코앞에 둔 시점이어서 우리 사회의 보혁(保革)갈등이 최고조로 높아질 수 있다는 평가다.

12월	12/SN+월/NNB
대선을	대선/NNG+을/JKO
코앞에	코앞/NNG+에/JKB
둔	두/VV+ㄴ/ETM
시점이어서	시점/NNG+이/VCP+어서/EC
우리	우리/NP
사회의	사회/NNG+의/JKG
보혁(保革)갈등이	보혁/NNG+(/SS+保革/SH+)/SS+갈등/NNG+이/JKS
최고조로	최/XPN+고조/NNG+로/JKB
높아질	높아지/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
평가다.	평가/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.343.7.1
◇박 전 대통령에 대한 흑색선전

◇박	◇/SW+박/NNP
전	전/MMD
대통령에	대통령/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
흑색선전	흑색선전/NNG


# id : NWRW1800000030.343.8.1
인터넷방송 '나꼼수'에서 '폭로'를 담당하고 있는 '시사인' 주진우 기자는 지난달 19일 열린 '박정희의 맨얼굴' 출판기념회에서 "(1964년 박 전 대통령의 서독 방문 당시) 뤼브케 (서독) 대통령을 만나지도 못했다"고 주장했다.

인터넷방송	인터넷/NNG+방송/NNG
'나꼼수'에서	'/SS+나꼼수/NNG+'/SS+에서/JKB
'폭로'를	'/SS+폭로/NNG+'/SS+를/JKO
담당하고	담당/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
'시사인'	'/SS+시사인/NNP+'/SS
주진우	주진우/NNP
기자는	기자/NNG+는/JX
지난달	지난달/NNG
19일	19/SN+일/NNB
열린	열리/VV+ㄴ/ETM
'박정희의	'/SS+박정희/NNP+의/JKG
맨얼굴'	맨/XPN+얼굴/NNG+'/SS
출판기념회에서	출판/NNG+기념회/NNG+에서/JKB
"(1964년	"/SS+(/SS+1964/SN+년/NNB
박	박/NNP
전	전/MMD
대통령의	대통령/NNG+의/JKG
서독	서독/NNP
방문	방문/NNG
당시)	당시/NNG+)/SS
뤼브케	뤼브케/NNP
(서독)	(/SS+서독/NNP+)/SS
대통령을	대통령/NNG+을/JKO
만나지도	만나/VV+지/EC+도/JX
못했다"고	못하/VX+았/EP+다/EF+"/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.343.8.2
그러나 박 전 대통령이 뤼브케 대통령을 만나는 사진과 동영상이 대한뉴스와 국가기록원 등에 남아있다.

그러나	그러나/MAJ
박	박/NNP
전	전/MMD
대통령이	대통령/NNG+이/JKS
뤼브케	뤼브케/NNP
대통령을	대통령/NNG+을/JKO
만나는	만나/VV+는/ETM
사진과	사진/NNG+과/JC
동영상이	동영상/NNG+이/JKS
대한뉴스와	대한/NNP+뉴스/NNG+와/JC
국가기록원	국가/NNG+기록원/NNG
등에	등/NNB+에/JKB
남아있다.	남/VV+아/EC+있/VX+다/EF+./SF


# id : NWRW1800000030.343.8.3
그는 "박정희 10조 재산도 추적 중"이라고도 했다.

그는	그/NP+는/JX
