# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.408
metadata : {}


# id : NWRW1800000048.408.1.1
새정치 7일 원내대표 경선…주류 대 비주류 구도

새정치	새정치/NNP
7일	7/SN+일/NNB
원내대표	원내/NNG+대표/NNG
경선…주류	경선/NNG+…/SE+주류/NNG
대	대/NNB
비주류	비/XPN+주류/NNG
구도	구도/NNG


# id : NWRW1800000048.408.2.1
주류 최재성·설훈·조정식

주류	주류/NNG
최재성·설훈·조정식	최재성/NNP+·/SP+설훈/NNP+·/SP+조정식/NNP


# id : NWRW1800000048.408.3.1
비주류 김동철·이종걸

비주류	비/XPN+주류/NNG
김동철·이종걸	김동철/NNP+·/SP+이종걸/NNP


# id : NWRW1800000048.408.4.1
모두 “통합·단결”에 방점

모두	모두/MAG
“통합·단결”에	“/SS+통합/NNG+·/SP+단결/NNG+”/SS+에/JKB
방점	방점/NNG


# id : NWRW1800000048.408.5.1
7일 열리는 새정치민주연합의 차기 원내대표 경선은 4·29 재보궐 선거 참패의 원인으로 ‘친노 패권주의’가 공개적으로 지목되면서 당내 주류인 ‘친문재인계’ 대 비주류 후보 간의 대결 구도로 치러질 전망이다.

7일	7/SN+일/NNB
열리는	열리/VV+는/ETM
새정치민주연합의	새정치민주연합/NNP+의/JKG
차기	차기/NNG
원내대표	원내/NNG+대표/NNG
경선은	경선/NNG+은/JX
4·29	4/SN+·/SP+29/SN
재보궐	재/XPN+보궐/NNG
선거	선거/NNG
참패의	참패/NNG+의/JKG
원인으로	원인/NNG+으로/JKB
‘친노	‘/SS+친/XPN+노/NNP
패권주의’가	패권주의/NNG+’/SS+가/JKS
공개적으로	공개/NNG+적/XSN+으로/JKB
지목되면서	지목/NNG+되/XSV+면서/EC
당내	당내/NNG
주류인	주류/NNG+이/VCP+ㄴ/ETM
‘친문재인계’	‘/SS+친/XPN+문재인/NNP+계/XSN+’/SS
대	대/NNB
비주류	비/XPN+주류/NNG
후보	후보/NNG
간의	간/NNB+의/JKG
대결	대결/NNG
구도로	구도/NNG+로/JKB
치러질	치르/VV+어/EC+지/VX+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.408.5.2
6일 국회에서 열린 합동초청토론회에서 최재성·김동철·설훈·조정식·이종걸(기호순) 의원 등 5명의 후보들은 위기에 처한 당을 수습하고 내년 총선을 승리로 이끌 원내대표 적임자는 자신이라며 지지를 호소했다.

6일	6/SN+일/NNB
국회에서	국회/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
합동초청토론회에서	합동/NNG+초청/NNG+토론회/NNG+에서/JKB
최재성·김동철·설훈·조정식·이종걸(기호순)	최재성/NNP+·/SP+김동철/NNP+·/SP+설훈/NNP+·/SP+조정식/NNP+·/SP+이종걸/NNP+(/SS+기호/NNG+순/NNB+)/SS
의원	의원/NNG
등	등/NNB
5명의	5/SN+명/NNB+의/JKG
후보들은	후보/NNG+들/XSN+은/JX
위기에	위기/NNG+에/JKB
처한	처하/VV+ㄴ/ETM
당을	당/NNG+을/JKO
수습하고	수습/NNG+하/XSV+고/EC
내년	내년/NNG
총선을	총선/NNG+을/JKO
승리로	승리/NNG+로/JKB
이끌	이끌/VV+ㄹ/ETM
원내대표	원내/NNG+대표/NNG
적임자는	적임자/NNG+는/JX
자신이라며	자신/NNG+이/VCP+라며/EC
지지를	지지/NNG+를/JKO
호소했다.	호소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.408.5.3
최재성·설훈·조정식 후보는 당 주류쪽과, 김동철·이종걸 후보는 비주류 쪽과 결을 같이 하고 있는 것으로 알려졌다.

최재성·설훈·조정식	최재성/NNP+·/SP+설훈/NNP+·/SP+조정식/NNP
후보는	후보/NNG+는/JX
당	당/NNG
주류쪽과,	주류/NNG+쪽/NNB+과/JKB+,/SP
김동철·이종걸	김동철/NNP+·/SP+이종걸/NNP
비주류	비/XPN+주류/NNG
쪽과	쪽/NNB+과/JKB
결을	결/NNG+을/JKO
같이	같이/MAG
하고	하/VV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.408.6.1
이날 토론회에서 후보들은 저마다 ‘정책·전략 주도력’(최재성), ‘유일한 호남 후보’(김동철), ‘훈련받은 민주적 리더십’(설훈), ‘풍부한 당무 경험’(조정식) 등을 강점으로 내세웠다.

이날	이날/NNG
토론회에서	토론회/NNG+에서/JKB
후보들은	후보/NNG+들/XSN+은/JX
저마다	저마다/MAG
‘정책·전략	‘/SS+정책/NNG+·/SP+전략/NNG
주도력’(최재성),	주도력/NNG+’/SS+(/SS+최재성/NNP+)/SS+,/SP
‘유일한	‘/SS+유일/NNG+하/XSA+ㄴ/ETM
호남	호남/NNP
후보’(김동철),	후보/NNG+’/SS+(/SS+김동철/NNP+)/SS+,/SP
‘훈련받은	‘/SS+훈련/NNG+받/XSV+은/ETM
민주적	민주/NNG+적/XSN
리더십’(설훈),	리더십/NNG+’/SS+(/SS+설훈/NNP+)/SS+,/SP
‘풍부한	‘/SS+풍부하/VA+ㄴ/ETM
당무	당무/NNG
경험’(조정식)	경험/NNG+’/SS+(/SS+조정식/NNP+)/SS
등을	등/NNB+을/JKO
강점으로	강점/NNG+으로/JKB
내세웠다.	내세우/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.408.6.2
특히 원내대표 선거에 4번째 도전하는 이종걸 후보는 “이번에도 떨어지면 죽을지도 모른다는 생각도 들었다”는 말까지 꺼내며 강한 의지를 드러냈다.

특히	특히/MAG
원내대표	원내/NNG+대표/NNG
선거에	선거/NNG+에/JKB
4번째	4/SN+번/NNB+째/XSN
도전하는	도전/NNG+하/XSV+는/ETM
이종걸	이종걸/NNP
후보는	후보/NNG+는/JX
“이번에도	“/SS+이번/NNG+에/JKB+도/JX
떨어지면	떨어지/VV+면/EC
죽을지도	죽/VV+을지/EF+도/JX
모른다는	모르/VV+ㄴ다는/ETM
생각도	생각/NNG+도/JX
들었다”는	들/VV+었/EP+다/EF+”/SS+는/ETM
말까지	말/NNG+까지/JX
꺼내며	꺼내/VV+며/EC
강한	강하/VA+ㄴ/ETM
의지를	의지/NNG+를/JKO
드러냈다.	드러내/VV+었/EP+다/EF+./SF


