# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.290
metadata : {}


# id : NWRW1800000022.290.1.1
국산 '광부 로봇'이 석탄 캔다 석탄공사, 2012년 개발

국산	국산/NNG
'광부	'/SS+광부/NNG
로봇'이	로봇/NNG+'/SS+이/JKS
석탄	석탄/NNG
캔다	캐/VV+ㄴ다/EF
석탄공사,	석탄공사/NNP+,/SP
2012년	2012/SN+년/NNB
개발	개발/NNG


# id : NWRW1800000022.290.2.1
2012년부터 사람을 대신해 '광부 로봇'이 탄광에서 석탄을 캘 전망이다.

2012년부터	2012/SN+년/NNB+부터/JX
사람을	사람/NNG+을/JKO
대신해	대신/NNG+하/XSV+아/EC
'광부	'/SS+광부/NNG
로봇'이	로봇/NNG+'/SS+이/JKS
탄광에서	탄광/NNG+에서/JKB
석탄을	석탄/NNG+을/JKO
캘	캐/VV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.290.3.1
대한석탄공사는 24일 한국기계연구원, 채굴장비 생산업체인 하이드로메틱스 등과 광부 로봇 개발을 위한 양해각서(MOU)를 체결했다.

대한석탄공사는	대한석탄공사/NNP+는/JX
24일	24/SN+일/NNB
한국기계연구원,	한국기계연구원/NNP+,/SP
채굴장비	채굴/NNG+장비/NNG
생산업체인	생산업체/NNG+이/VCP+ㄴ/ETM
하이드로메틱스	하이드로메틱스/NNP
등과	등/NNB+과/JKB
광부	광부/NNG
로봇	로봇/NNG
개발을	개발/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
양해각서(MOU)를	양해/NNG+각서/NNG+(/SS+MOU/SL+)/SS+를/JKO
체결했다.	체결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.290.3.2
광부 로봇의 소프트웨어 개발에는 카이스트 등도 참여한다.

광부	광부/NNG
로봇의	로봇/NNG+의/JKG
소프트웨어	소프트웨어/NNG
개발에는	개발/NNG+에/JKB+는/JX
