# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.285
metadata : {}


# id : NWRW1800000030.285.1.1
[만물상] 자선냄비 속 1억 수표

[만물상]	[/SS+만물상/NNG+]/SS
자선냄비	자선냄비/NNG
속	속/NNG
1억	1/SN+억/NR
수표	수표/NNG


# id : NWRW1800000030.285.2.1
어느 해 서울 강남 고속버스터미널 앞 구세군 자선냄비에서 스무 걸음쯤 떨어진 곳에 스님이 자리를 폈다.

어느	어느/MMD
해	해/NNG
서울	서울/NNP
강남	강남/NNP
고속버스터미널	고속버스/NNG+터미널/NNG
앞	앞/NNG
구세군	구세군/NNG
자선냄비에서	자선냄비/NNG+에서/JKB
스무	스무/MMN
걸음쯤	걸음/NNG+쯤/XSN
떨어진	떨어지/VV+ㄴ/ETM
곳에	곳/NNG+에/JKB
스님이	스님/NNG+이/JKS
자리를	자리/NNG+를/JKO
폈다.	펴/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.285.2.2
스님은 시주함을 내놓고 목탁을 두드렸다.

스님은	스님/NNG+은/JX
시주함을	시주/NNG+함/NNG+을/JKO
내놓고	내놓/VV+고/EC
목탁을	목탁/NNG+을/JKO
두드렸다.	두드리/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.285.2.3
구세군 사람들은 스님을 원망하며 종도 크게 울리고 목소리도 더 높였다.

구세군	구세군/NNG
사람들은	사람/NNG+들/XSN+은/JX
스님을	스님/NNG+을/JKO
원망하며	원망/NNG+하/XSV+며/EC
종도	종/NNG+도/JX
크게	크/VA+게/EC
울리고	울리/VV+고/EC
목소리도	목소리/NNG+도/JX
더	더/MAG
높였다.	높이/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.285.2.4
땅거미가 지자 스님이 자리를 걷더니 구세군 쪽으로 왔다.

땅거미가	땅거미/NNG+가/JKS
지자	지/VV+자/EC
스님이	스님/NNG+이/JKS
자리를	자리/NNG+를/JKO
걷더니	걷/VV+더니/EC
구세군	구세군/NNG
쪽으로	쪽/NNB+으로/JKB
왔다.	오/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.285.2.5
"옜다.

"옜다.	"/SS+옜다/IC+./SF


# id : NWRW1800000030.285.2.6
오늘은 자선냄비가 다 가져가라." 스님은 시줏돈을 몽땅 냄비에 넣고는 혼잣말처럼 말했다.

오늘은	오늘/NNG+은/JX
자선냄비가	자선냄비/NNG+가/JKS
다	다/MAG
가져가라."	가져가/VV+라/EC+./SF+"/SS
스님은	스님/NNG+은/JX
시줏돈을	시줏돈/NNG+을/JKO
몽땅	몽땅/MAG
냄비에	냄비/NNG+에/JKB
넣고는	넣/VV+고/EC+는/JX
혼잣말처럼	혼잣말/NNG+처럼/JKB
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.285.2.7
"가난한 사람 도와야지."

"가난한	"/SS+가난/NNG+하/XSA+ㄴ/ETM
사람	사람/NNG
도와야지."	돕/VV+아야지/EF+./SF+"/SS


# id : NWRW1800000030.285.3.1
▶작년 크리스마스 이브, 서울 어느 자선냄비에서 돌반지가 나왔다.

▶작년	▶/SW+작년/NNG
크리스마스	크리스마스/NNG
이브,	이브/NNG+,/SP
서울	서울/NNP
어느	어느/MMD
자선냄비에서	자선냄비/NNG+에서/JKB
돌반지가	돌/NNG+반지/NNG+가/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.285.3.2
반지는 투명 테이프로 메모지에 붙어 있었고, 하트 모양으로 곱게 오린 메모지엔 글씨가 또박또박 쓰여 있었다.

반지는	반지/NNG+는/JX
투명	투명/NNG
테이프로	테이프/NNG+로/JKB
메모지에	메모지/NNG+에/JKB
붙어	붙/VV+어/EC
있었고,	있/VX+었/EP+고/EC+,/SP
하트	하트/NNG
모양으로	모양/NNG+으로/JKB
곱게	곱/VA+게/EC
오린	오리/VV+ㄴ/ETM
메모지엔	메모지/NNG+에/JKB+ㄴ/JX
글씨가	글씨/NNG+가/JKS
또박또박	또박또박/MAG
쓰여	쓰이/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000030.285.3.3
