# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.136
metadata : {}


# id : NWRW1800000022.136.1.1
[수도권Ⅰ] "화성 바다농장 계획은 철회돼야"… 화성 어촌계·환경단체 강력 반발

[수도권Ⅰ]	[/SS+수도/NNG+권/XSN+Ⅰ/SL+]/SS
"화성	"/SS+화성/NNP
바다농장	바다/NNG+농장/NNG
계획은	계획/NNG+은/JX
철회돼야"…	철회/NNG+되/XSV+어야/EC+"/SS+…/SE
화성	화성/NNP
어촌계·환경단체	어촌계/NNG+·/SP+환경/NNG+단체/NNG
강력	강력/NNG
반발	반발/NNG


# id : NWRW1800000022.136.2.1
화성시 어촌계 연합회, 화성환경운동연합 등은 13일 경기도가 추진하고 있는 '화성 바다농장' 계획을 철회할 것을 촉구했다.

화성시	화성시/NNP
어촌계	어촌계/NNG
연합회,	연합회/NNG+,/SP
화성환경운동연합	화성환경운동연합/NNP
등은	등/NNB+은/JX
13일	13/SN+일/NNB
경기도가	경기도/NNP+가/JKS
추진하고	추진/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
'화성	'/SS+화성/NNP
바다농장'	바다/NNG+농장/NNG+'/SS
계획을	계획/NNG+을/JKO
철회할	철회/NNG+하/XSV+ㄹ/ETM
것을	것/NNB+을/JKO
촉구했다.	촉구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.136.2.2
바다농장은 2012년까지 화성호 인근 화성 간척지에 농·축·수산업과 관광·레저 산업을 결합한 대규모 체험관광단지를 조성하는 사업이다.

바다농장은	바다/NNG+농장/NNG+은/JX
2012년까지	2012/SN+년/NNB+까지/JX
화성호	화성호/NNP
인근	인근/NNG
화성	화성/NNP
간척지에	간척지/NNG+에/JKB
농·축·수산업과	농·축·수산업/NNG+과/JC
관광·레저	관광/NNG+·/SP+레저/NNG
산업을	산업/NNG+을/JKO
결합한	결합/NNG+하/XSV+ㄴ/ETM
대규모	대/XPN+규모/NNG
체험관광단지를	체험/NNG+관광/NNG+단지/NNG+를/JKO
조성하는	조성/NNG+하/XSV+는/ETM
사업이다.	사업/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.136.3.1
이들은 이날 경기도의회 브리핑룸에서 기자회견을 열고 "바다농장이 조성되는 화성호의 화학적 산소요구량(COD)이 2007년 4.9PPM에서 5.6PPM으로 높아지는 등 수질이 악화되고 있는 상황에서 이 사업을 강행하면 시화호와 같은 심각한 수질오염 사태를 불러올 것"이라고 주장했다.

이들은	이/NP+들/XSN+은/JX
이날	이날/NNG
경기도의회	경기도의회/NNP
브리핑룸에서	브리핑룸/NNG+에서/JKB
기자회견을	기자/NNG+회견/NNG+을/JKO
열고	열/VV+고/EC
"바다농장이	"/SS+바다/NNG+농장/NNG+이/JKS
조성되는	조성/NNG+되/XSV+는/ETM
화성호의	화성호/NNP+의/JKG
화학적	화학/NNG+적/XSN
산소요구량(COD)이	산소/NNG+요구량/NNG+(/SS+COD/SL+)/SS+이/JKS
2007년	2007/SN+년/NNB
4.9PPM에서	4/SN+./SP+9/SN+PPM/SW+에서/JKB
5.6PPM으로	5/SN+./SP+6/SN+PPM/SW+으로/JKB
높아지는	높아지/VV+는/ETM
등	등/NNB
수질이	수질/NNG+이/JKS
악화되고	악화/NNG+되/XSV+고/EC
있는	있/VX+는/ETM
상황에서	상황/NNG+에서/JKB
이	이/MMD
사업을	사업/NNG+을/JKO
강행하면	강행/NNG+하/XSV+면/EC
시화호와	시화호/NNP+와/JKB
같은	같/VA+은/ETM
심각한	심각하/VA+ㄴ/ETM
수질오염	수질/NNG+오염/NNG
사태를	사태/NNG+를/JKO
불러올	불러오/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.136.4.1
또 "당초 간척사업을 시작할 당시 어민들에게 농지를 우선 분배하기로 했으나 진행과정에서 제도가 바뀌어 농지배분이 무산됐다"며 "이로 인해 어민들의 반발이 커지고 있고 어민과 바다농장을 찬성하는 축산농민들간의 갈등도 일어나고 있다"고 밝혔다.

또	또/MAG
"당초	"/SS+당초/NNG
간척사업을	간척/NNG+사업/NNG+을/JKO
시작할	시작/NNG+하/XSV+ㄹ/ETM
당시	당시/NNG
어민들에게	어민/NNG+들/XSN+에게/JKB
농지를	농지/NNG+를/JKO
우선	우선/MAG
분배하기로	분배/NNG+하/XSV+기/ETN+로/JKB
했으나	하/VV+았/EP+으나/EC
진행과정에서	진행/NNG+과정/NNG+에서/JKB
제도가	제도/NNG+가/JKS
바뀌어	바뀌/VV+어/EC
농지배분이	농지/NNG+배분/NNG+이/JKS
무산됐다"며	무산/NNG+되/XSV+었/EP+다/EF+"/SS+며/EC
"이로	"/SS+이/NP+로/JKB
인해	인/NNG+하/XSV+아/EC
어민들의	어민/NNG+들/XSN+의/JKG
반발이	반발/NNG+이/JKS
커지고	커지/VV+고/EC
있고	있/VX+고/EC
어민과	어민/NNG+과/JC
바다농장을	바다/NNG+농장/NNG+을/JKO
찬성하는	찬성/NNG+하/XSV+는/ETM
축산농민들간의	축산/NNG+농민/NNG+들/XSN+간/NNB+의/JKG
갈등도	갈등/NNG+도/JX
일어나고	일어나/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


