# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.67
metadata : {}


# id : NWRW1800000022.67.1.1
미술시장, 봄이 오는 소리?;지난달 옥션 경매 낙찰률 83% 작년 12월 55%보다 크게 늘어

미술시장,	미술/NNG+시장/NNG+,/SP
봄이	봄/NNG+이/JKS
오는	오/VV+는/ETM
소리?;지난달	소리/NNG+?/SF+;/SW+지난달/NNG
옥션	옥션/NNG
경매	경매/NNG
낙찰률	낙찰/NNG+률/XSN
83%	83/SN+%/SW
작년	작년/NNG
12월	12/SN+월/NNB
55%보다	55/SN+%/SW+보다/JKB
크게	크/VA+게/EC
늘어	늘/VV+어/EF


# id : NWRW1800000022.67.2.1
지난달 26일 오후 5시 서울 평창동 서울옥션 경매장은 긴장감이 돌았다.

지난달	지난달/NNG
26일	26/SN+일/NNB
오후	오후/NNG
5시	5/SN+시/NNB
서울	서울/NNP
평창동	평창동/NNP
서울옥션	서울옥션/NNP
경매장은	경매장/NNG+은/JX
긴장감이	긴장감/NNG+이/JKS
돌았다.	돌/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.67.2.2
이날 경매는 국내 최대 옥션 회사인 서울옥션의 올해 첫 기획 경매인 데다 경제 위기로 냉랭해진 미술시장이 어떻게 반응할지 가늠하는 자리였다.

이날	이날/NNG
경매는	경매/NNG+는/JX
국내	국내/NNG
최대	최대/NNG
옥션	옥션/NNG
회사인	회사/NNG+이/VCP+ㄴ/ETM
서울옥션의	서울옥션/NNP+의/JKG
올해	올해/NNG
첫	첫/MMN
기획	기획/NNG
경매인	경매/NNG+이/VCP+ㄴ/ETM
데다	데/NNB+다/JX
경제	경제/NNG
위기로	위기/NNG+로/JKB
냉랭해진	냉랭하/VA+아/EC+지/VX+ㄴ/ETM
미술시장이	미술/NNG+시장/NNG+이/JKS
어떻게	어떻/VA+게/EC
반응할지	반응/NNG+하/XSV+ㄹ지/EF
가늠하는	가늠/NNG+하/XSV+는/ETM
자리였다.	자리/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.67.2.3
200여명이 앉을 수 있는 자리는 시작 전에 벌써 꽉 찼고 30여명이 계단 바닥에까지 자리를 깔고 앉았다.

200여명이	200/SN+여/XSN+명/NNB+이/JKS
앉을	앉/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
자리는	자리/NNG+는/JX
시작	시작/NNG
전에	전/NNG+에/JKB
벌써	벌써/MAG
꽉	꽉/MAG
찼고	차/VV+았/EP+고/EC
30여명이	30/SN+여/XSN+명/NNB+이/JKS
계단	계단/NNG
바닥에까지	바닥/NNG+에/JKB+까지/JX
자리를	자리/NNG+를/JKO
깔고	깔/VV+고/EC
앉았다.	앉/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.67.2.4
야구 모자를 쓴 20대 젊은이부터 나이 지긋한 노부부, 양복을 차려입은 50대 남성 등이 도록을 들고 경매 시작을 기다렸다.

야구	야구/NNG
모자를	모자/NNG+를/JKO
쓴	쓰/VV+ㄴ/ETM
20대	20/SN+대/NNB
젊은이부터	젊은이/NNG+부터/JX
나이	나이/NNG
지긋한	지긋하/VA+ㄴ/ETM
노부부,	노/XPN+부부/NNG+,/SP
양복을	양복/NNG+을/JKO
차려입은	차려입/VV+은/ETM
50대	50/SN+대/NNB
남성	남성/NNG
등이	등/NNB+이/JKS
도록을	도록/NNG+을/JKO
들고	들/VV+고/EC
경매	경매/NNG
시작을	시작/NNG+을/JKO
기다렸다.	기다리/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.67.3.1
서울옥션은 작년 12월 실시한 메이저 경매 낙찰률이 55.2%에 그친 점을 의식해서인지 2월 기획 경매에서는 100만~300만원 정도로 살 수 있는 작품을 많이 내놓았다.

서울옥션은	서울옥션/NNP+은/JX
작년	작년/NNG
12월	12/SN+월/NNB
실시한	실시/NNG+하/XSV+ㄴ/ETM
메이저	메이저/NNG
경매	경매/NNG
낙찰률이	낙찰/NNG+률/XSN+이/JKS
55.2%에	55/SN+./SP+2/SN+%/SW+에/JKB
그친	그치/VV+ㄴ/ETM
점을	점/NNG+을/JKO
의식해서인지	의식/NNG+하/XSV+아서/EC+이/VCP+ㄴ지/EC
2월	2/SN+월/NNB
기획	기획/NNG
경매에서는	경매/NNG+에서/JKB+는/JX
100만~300만원	100/SN+만/NR+~/SO+300/SN+만/NR+원/NNB
정도로	정도/NNG+로/JKB
살	살/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
작품을	작품/NNG+을/JKO
많이	많이/MAG
내놓았다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.67.3.2
경매 이름도 〈나의 첫 컬렉션(My first collection)〉으로 부드럽게 지어, 초보 응찰자의 입문을 쉽게 했다.

경매	경매/NNG
이름도	이름/NNG+도/JX
〈나의	〈/SS+나/NP+의/JKG
첫	첫/MMN
컬렉션(My	컬렉션/NNG+(/SS+My/SL
first	first/SL
collection)〉으로	collection/SL+)/SS+〉/SS+으로/JKB
부드럽게	부드럽/VA+게/EC
지어,	짓/VV+어/EC+,/SP
초보	초보/NNG
응찰자의	응찰자/NNG+의/JKG
입문을	입문/NNG+을/JKO
쉽게	쉽/VA+게/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000022.67.4.1
서양화가 이동재의 작품 〈장금〉으로 시작한 경매는 226점 중 189점이 낙찰됐다.

서양화가	서양화가/NNG
이동재의	이동재/NNP+의/JKG
작품	작품/NNG
〈장금〉으로	〈/SS+장금/NNG+〉/SS+으로/JKB
시작한	시작/NNG+하/XSV+ㄴ/ETM
경매는	경매/NNG+는/JX
226점	226/SN+점/NNB
중	중/NNB
189점이	189/SN+점/NNB+이/JKS
낙찰됐다.	낙찰/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000022.67.4.2
낙찰률 83.6%는 서울옥션이 기대한 이상이었다.

낙찰률	낙찰/NNG+률/XSN
83.6%는	83/SN+./SP+6/SN+%/SW+는/JX
서울옥션이	서울옥션/NNP+이/JKS
기대한	기대/NNG+하/XSV+ㄴ/ETM
이상이었다.	이상/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.67.4.3
300만원 이하의 소품들이 인기를 모았으며, 고미술품의 낙찰률은 81.8%였다.

300만원	300/SN+만/NR+원/NNB
이하의	이하/NNG+의/JKG
소품들이	소품/NNG+들/XSN+이/JKS
인기를	인기/NNG+를/JKO
모았으며,	모으/VV+았/EP+으며/EC+,/SP
고미술품의	고미술품/NNG+의/JKG
낙찰률은	낙찰/NNG+률/XSN+은/JX
81.8%였다.	81/SN+./SP+8/SN+%/SW+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.67.4.4
작년 12월 경매에서 고미술품 낙찰률은 68.6%였다.

작년	작년/NNG
12월	12/SN+월/NNB
경매에서	경매/NNG+에서/JKB
고미술품	고미술품/NNG
낙찰률은	낙찰/NNG+률/XSN+은/JX
68.6%였다.	68/SN+./SP+6/SN+%/SW+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.67.4.5
서진수 강남대 교수(경제학)는 "고미술품은 진품(眞品)이라는 보증만 있으면 인기 품목이 된다"고 설명했다.

서진수	서진수/NNP
강남대	강남대/NNP
교수(경제학)는	교수/NNG+(/SS+경제학/NNG+)/SS+는/JX
"고미술품은	"/SS+고미술품/NNG+은/JX
진품(眞品)이라는	진품/NNG+(/SS+眞品/SH+)/SS+이/VCP+라는/ETM
보증만	보증/NNG+만/JX
있으면	있/VA+으면/EC
인기	인기/NNG
품목이	품목/NNG+이/JKC
된다"고	되/VV+ㄴ다/EF+"/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.67.4.6
김영삼 전 대통령이 쓴 〈대도무문(大道無門)〉과 김종필 전 국무총리의 작품 〈일출봉의 봄〉도 각각 380만원과 800만원에 낙찰됐다.

김영삼	김영삼/NNP
전	전/MMD
대통령이	대통령/NNG+이/JKS
쓴	쓰/VV+ㄴ/ETM
〈대도무문(大道無門)〉과	〈/SS+대도무문/NNG+(/SS+大道無門/SH+)/SS+〉/SS+과/JC
김종필	김종필/NNP
국무총리의	국무총리/NNG+의/JKG
작품	작품/NNG
〈일출봉의	〈/SS+일출봉/NNP+의/JKG
봄〉도	봄/NNG+〉/SS+도/JX
각각	각각/MAG
380만원과	380/SN+만/NR+원/NNB+과/JC
800만원에	800/SN+만/NR+원/NNB+에/JKB
낙찰됐다.	낙찰/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000022.67.4.7
서울옥션의 최윤석 팀장은 "시장이 어려울 때는 전 대통령이나 유명 정치인이 남긴 작품같이 기록적인 가치가 있는 작품이 인기"라고 말했다.

서울옥션의	서울옥션/NNP+의/JKG
최윤석	최윤석/NNP
팀장은	팀장/NNG+은/JX
"시장이	"/SS+시장/NNG+이/JKS
어려울	어렵/VA+ㄹ/ETM
때는	때/NNG+는/JX
전	전/MMD
대통령이나	대통령/NNG+이나/JC
유명	유명/NNG
정치인이	정치인/NNG+이/JKS
남긴	남기/VV+ㄴ/ETM
작품같이	작품/NNG+같이/JKB
기록적인	기록/NNG+적/XSN+이/VCP+ㄴ/ETM
가치가	가치/NNG+가/JKS
있는	있/VA+는/ETM
작품이	작품/NNG+이/JKS
인기"라고	인기/NNG+"/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.67.5.1
그러나 서양화가 이인성의 〈꽃〉(추정가 1억6000만원) 같은 고가의 작품은 유찰되는 등 '큰 지갑'은 열리지 않았다.

그러나	그러나/MAJ
서양화가	서양화가/NNG
이인성의	이인성/NNP+의/JKG
〈꽃〉(추정가	〈/SS+꽃/NNG+〉/SS+(/SS+추정/NNG+가/XSN
1억6000만원)	1/SN+억/NR+6000/SN+만/NR+원/NNB+)/SS
같은	같/VA+은/ETM
고가의	고가/NNG+의/JKG
작품은	작품/NNG+은/JX
유찰되는	유찰/NNG+되/XSV+는/ETM
등	등/NNB
'큰	'/SS+크/VA+ㄴ/ETM
지갑'은	지갑/NNG+'/SS+은/JX
열리지	열리/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000022.67.5.2
이날 경매는 구매 심리가 본격적으로 풀린 것은 아니지만 미술품 구입에 대한 대중의 관심은 커지고 있음을 보여줬다.

이날	이날/NNG
경매는	경매/NNG+는/JX
구매	구매/NNG
심리가	심리/NNG+가/JKS
본격적으로	본격/NNG+적/XSN+으로/JKB
풀린	풀리/VV+ㄴ/ETM
것은	것/NNB+은/JX
아니지만	아니/VCN+지만/EC
미술품	미술품/NNG
구입에	구입/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
대중의	대중/NNG+의/JKG
관심은	관심/NNG+은/JX
커지고	커지/VV+고/EC
있음을	있/VX+음/ETN+을/JKO
보여줬다.	보이/VV+어/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000022.67.5.3
이학준 서울옥션 대표는 "미술시장 활성화를 위해선 메이저 경매도 중요하지만 이번 기획 경매처럼 저변을 확대하는 것이 중요하다"며 "기획 경매를 자주 열 계획"이라고 말했다.

이학준	이학준/NNP
서울옥션	서울옥션/NNP
대표는	대표/NNG+는/JX
"미술시장	"/SS+미술/NNG+시장/NNG
활성화를	활성/NNG+화/XSN+를/JKO
위해선	위하/VV+아서/EC+ㄴ/JX
메이저	메이저/NNG
경매도	경매/NNG+도/JX
중요하지만	중요/NNG+하/XSA+지만/EC
이번	이번/NNG
기획	기획/NNG
경매처럼	경매/NNG+처럼/JKB
저변을	저변/NNG+을/JKO
확대하는	확대/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
중요하다"며	중요/NNG+하/XSA+다/EF+"/SS+며/EC
"기획	"/SS+기획/NNG
경매를	경매/NNG+를/JKO
자주	자주/MAG
열	열/VV+ㄹ/ETM
계획"이라고	계획/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


