# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.141
metadata : {}


# id : NWRW1800000041.141.1.1
‘웰컴! 프란치스코’ 연예-문화-체육계 스타들 한자리에

‘웰컴!	‘/SS+웰컴/NNG+!/SF
프란치스코’	프란치스코/NNP+’/SS
연예-문화-체육계	연예/NNG+-/SO+문화/NNG+-/SO+체육/NNG+계/XSN
스타들	스타/NNG+들/XSN
한자리에	한자리/NNG+에/JKB


# id : NWRW1800000041.141.2.1
유명 배우와 가수, 발레리나, 아나운서, 쇼트트랙 국가대표 선수 등 초호화 스타군단이 8월 방한하는 프란치스코 교황을 위해 한자리에 모였다.

유명	유명/NNG
배우와	배우/NNG+와/JC
가수,	가수/NNG+,/SP
발레리나,	발레리나/NNG+,/SP
아나운서,	아나운서/NNG+,/SP
쇼트트랙	쇼트트랙/NNG
국가대표	국가/NNG+대표/NNG
선수	선수/NNG
등	등/NNB
초호화	초/XPN+호화/NNG
스타군단이	스타/NNG+군단/NNG+이/JKS
8월	8/SN+월/NNB
방한하는	방한/NNG+하/XSV+는/ETM
프란치스코	프란치스코/NNP
교황을	교황/NNG+을/JKO
위해	위하/VV+아/EC
한자리에	한자리/NNG+에/JKB
모였다.	모이/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.141.3.1
스타 군단의 면면이 화려하다.

스타	스타/NNG
군단의	군단/NNG+의/JKG
면면이	면면/NNG+이/JKS
화려하다.	화려하/VA+다/EF+./SF


# id : NWRW1800000041.141.3.2
배우 안성기 김희애 김하늘 김태희 김민정 김강우 이윤지, 가수 바다와 SG워너비의 김진호, 황정민 KBS 아나운서, 방송인 최유라, 발레리나 김주원, 박승희 쇼트트랙 국가대표 선수가 포함돼 있다.

배우	배우/NNG
안성기	안성기/NNP
김희애	김희애/NNP
김하늘	김하늘/NNP
김태희	김태희/NNP
김민정	김민정/NNP
김강우	김강우/NNP
이윤지,	이윤지/NNP+,/SP
가수	가수/NNG
바다와	바다/NNP+와/JC
SG워너비의	SG워너비/NNP+의/JKG
김진호,	김진호/NNP+,/SP
황정민	황정민/NNP
KBS	KBS/SL
아나운서,	아나운서/NNG+,/SP
방송인	방송인/NNG
최유라,	최유라/NNP+,/SP
발레리나	발레리나/NNG
김주원,	김주원/NNP+,/SP
박승희	박승희/NNP
쇼트트랙	쇼트트랙/NNG
국가대표	국가/NNG+대표/NNG
선수가	선수/NNG+가/JKS
포함돼	포함/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.141.4.1
이들은 이달 초부터 교황 방한을 기념하는 노래를 녹음하고 최근까지 서울 명동대성당과 인근 스튜디오에서 뮤직비디오를 촬영했다.

이들은	이/NP+들/XSN+은/JX
이달	이달/NNG
초부터	초/NNB+부터/JX
교황	교황/NNG
방한을	방한/NNG+을/JKO
기념하는	기념/NNG+하/XSV+는/ETM
노래를	노래/NNG+를/JKO
녹음하고	녹음/NNG+하/XSV+고/EC
최근까지	최근/NNG+까지/JX
서울	서울/NNP
명동대성당과	명동대성당/NNP+과/JC
인근	인근/NNG
스튜디오에서	스튜디오/NNG+에서/JKB
뮤직비디오를	뮤직비디오/NNG+를/JKO
촬영했다.	촬영/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.141.5.1
천주교 교황방한준비위원회는 26일 “뮤직비디오 촬영에 참여한 스타들은 모두 독실한 가톨릭 신자”라며 “교황 방한 소식이 알려지면서 작곡가 노영심과 배우 안성기가 기획단계에서부터 자발적으로 교황 방한 기념 노래 제작에 참여했다.

천주교	천주교/NNG
교황방한준비위원회는	교황/NNG+방한/NNG+준비/NNG+위원회/NNG+는/JX
26일	26/SN+일/NNB
“뮤직비디오	“/SS+뮤직비디오/NNG
촬영에	촬영/NNG+에/JKB
참여한	참여/NNG+하/XSV+ㄴ/ETM
스타들은	스타/NNG+들/XSN+은/JX
모두	모두/MAG
독실한	독실하/VA+ㄴ/ETM
가톨릭	가톨릭/NNG
신자”라며	신자/NNG+”/SS+이/VCP+라며/EC
“교황	“/SS+교황/NNG
방한	방한/NNG
소식이	소식/NNG+이/JKS
알려지면서	알려지/VV+면서/EC
작곡가	작곡가/NNG
노영심과	노영심/NNP+과/JC
배우	배우/NNG
안성기가	안성기/NNP+가/JKS
기획단계에서부터	기획/NNG+단계/NNG+에서부터/JKB
자발적으로	자발/NNG+적/XSN+으로/JKB
교황	교황/NNG
기념	기념/NNG
노래	노래/NNG
제작에	제작/NNG+에/JKB
참여했다.	참여/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.141.5.2
이후 다른 스타들도 참여 의사를 밝혀 추진하게 됐다”고 말했다.

이후	이후/NNG
다른	다른/MMD
스타들도	스타/NNG+들/XSN+도/JX
참여	참여/NNG
의사를	의사/NNG+를/JKO
밝혀	밝히/VV+어/EC
추진하게	추진/NNG+하/XSV+게/EC
됐다”고	되/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.141.6.1
이들이 함께 부른 노래는 노영심이 작사, 작곡한 ‘코이노니아(Koinonia)’.

이들이	이/NP+들/XSN+이/JKS
함께	함께/MAG
부른	부르/VV+ㄴ/ETM
노래는	노래/NNG+는/JX
노영심이	노영심/NNP+이/JKS
작사,	작사/NNG+,/SP
작곡한	작곡/NNG+하/XSV+ㄴ/ETM
‘코이노니아(Koinonia)’.	‘/SS+코이노니아/NNP+(/SS+Koinonia/SL+)/SS+’/SS+./SF


# id : NWRW1800000041.141.6.2
그리스어로 공동체, 친교, 소통을 의미한다.

그리스어로	그리스어/NNP+로/JKB
공동체,	공동체/NNG+,/SP
친교,	친교/NNG+,/SP
소통을	소통/NNG+을/JKO
의미한다.	의미/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.141.6.3
차분하고 아름다운 선율에 교황 방한이 한국 사회에 큰 친교의 선물이 되길 바란다는 내용의 가사를 담았다.

차분하고	차분하/VA+고/EC
아름다운	아름답/VA+ㄴ/ETM
선율에	선율/NNG+에/JKB
교황	교황/NNG
방한이	방한/NNG+이/JKS
한국	한국/NNP
사회에	사회/NNG+에/JKB
큰	크/VA+ㄴ/ETM
친교의	친교/NNG+의/JKG
선물이	선물/NNG+이/JKC
되길	되/VV+기/ETN+ㄹ/JKO
