# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.213
metadata : {}


# id : NWRW1800000033.213.1.1
[휴지통]‘남자가 커피값 내는 세상’ 트위터 글에 인터넷 발칵

[휴지통]‘남자가	[/SS+휴지통/NNG+]/SS+‘/SS+남자/NNG+가/JKS
커피값	커피값/NNG
내는	내/VV+는/ETM
세상’	세상/NNG+’/SS
트위터	트위터/NNP
글에	글/NNG+에/JKB
인터넷	인터넷/NNG
발칵	발칵/MAG


# id : NWRW1800000033.213.2.1
정태영 현대카드 사장이 써… 누리꾼 양성평등 논쟁 후끈 2시간 뒤 “난 여성편” 글 올려

정태영	정태영/NNP
현대카드	현대카드/NNP
사장이	사장/NNG+이/JKS
써…	쓰/VV+어/EC+…/SE
누리꾼	누리/NNG+꾼/XSN
양성평등	양성평등/NNG
논쟁	논쟁/NNG
후끈	후끈/MAG
2시간	2/SN+시간/NNB
뒤	뒤/NNG
“난	“/SS+나/NP+ㄴ/JX
여성편”	여성/NNG+편/NNB+”/SS
글	글/NNG
올려	올리/VV+어/EF


# id : NWRW1800000033.213.3.1
‘불쌍한 남자들, 언제까지 이러고 사실 건가.’

‘불쌍한	‘/SS+불쌍하/VA+ㄴ/ETM
남자들,	남자/NNG+들/XSN+,/SP
언제까지	언제/NP+까지/JX
이러고	이러/VV+고/EC
사실	살/VV+시/EP+ㄹ/ETM
건가.’	거/NNB+이/VCP+ㄴ가/EF+./SF+’/SS


# id : NWRW1800000033.213.4.1
정몽구 현대·기아자동차그룹 회장의 둘째 사위인 현대카드 정태영 사장이 4일 트위터에 쓴 글이 양성평등 논쟁까지 불러일으키며 인터넷을 뒤흔들었다.

정몽구	정몽구/NNP
현대·기아자동차그룹	현대/NNP+·/SP+기아자동차그룹/NNP
회장의	회장/NNG+의/JKG
둘째	둘째/NR
사위인	사위/NNG+이/VCP+ㄴ/ETM
현대카드	현대카드/NNP
정태영	정태영/NNP
사장이	사장/NNG+이/JKS
4일	4/SN+일/NNB
트위터에	트위터/NNP+에/JKB
쓴	쓰/VV+ㄴ/ETM
