# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.322
metadata : {}


# id : NWRW1800000046.322.1.1
[창간 95 특집] 공무원年金 개혁 찬성이 57%, 반대의 두배

[창간	[/SS+창간/NNG
95	95/SN
특집]	특집/NNG+]/SS
공무원年金	공무원/NNG+年金/SH
개혁	개혁/NNG
찬성이	찬성/NNG+이/JKS
57%,	57/SN+%/SW+,/SP
반대의	반대/NNG+의/JKG
두배	두/MMN+배/NNG


# id : NWRW1800000046.322.2.1
4개 부문 개혁 과반수 찬성

4개	4/SN+개/NNB
부문	부문/NNG
개혁	개혁/NNG
과반수	과반수/NNG
찬성	찬성/NNG


# id : NWRW1800000046.322.3.1
이번 미디어리서치 여론조사에서 박근혜 정부가 추진 중인 공무원 연금 개혁에 대해 찬성(57.2%)이 반대(30.0%)를 거의 더블스코어로 압도했다.

이번	이번/NNG
미디어리서치	미디어리서치/NNP
여론조사에서	여론/NNG+조사/NNG+에서/JKB
박근혜	박근혜/NNP
정부가	정부/NNG+가/JKS
추진	추진/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
공무원	공무원/NNG
연금	연금/NNG
개혁에	개혁/NNG+에/JKB
대해	대하/VV+아/EC
찬성(57.2%)이	찬성/NNG+(/SS+57/SN+./SP+2/SN+%/SW+)/SS+이/JKS
반대(30.0%)를	반대/NNG+(/SS+30/SN+./SP+0/SN+%/SW+)/SS+를/JKO
거의	거의/MAG
더블스코어로	더블/NNG+스코어/NNG+로/JKB
압도했다.	압도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.322.3.2
박 대통령이 올 한 해 지속 추진 의사를 밝힌 공공·노동·금융·교육 등 4개 부문의 개혁에 대해서도 과반수인 57.3%의 국민이 지지했고, 반대는 30.7%였다.

박	박/NNP
대통령이	대통령/NNG+이/JKS
올	올/NNG
한	한/MMN
해	해/NNB
지속	지속/NNG
추진	추진/NNG
의사를	의사/NNG+를/JKO
밝힌	밝히/VV+ㄴ/ETM
공공·노동·금융·교육	공공/NNG+·/SP+노동/NNG+·/SP+금융/NNG+·/SP+교육/NNG
등	등/NNB
4개	4/SN+개/NNB
부문의	부문/NNG+의/JKG
개혁에	개혁/NNG+에/JKB
대해서도	대하/VV+아서/EC+도/JX
과반수인	과반수/NNG+이/VCP+ㄴ/ETM
57.3%의	57/SN+./SP+3/SN+%/SW+의/JKG
국민이	국민/NNG+이/JKS
지지했고,	지지/NNG+하/XSV+았/EP+고/EC+,/SP
반대는	반대/NNG+는/JX
30.7%였다.	30/SN+./SP+7/SN+%/SW+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.322.4.1
우선 공무원 연금 개혁에 대한 찬성은 50대(69.7%)와 60대 이상(64.5%)에서 높았다.

우선	우선/MAG
공무원	공무원/NNG
연금	연금/NNG
개혁에	개혁/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
찬성은	찬성/NNG+은/JX
50대(69.7%)와	50/SN+대/NNB+(/SS+69/SN+./SP+7/SN+%/SW+)/SS+와/JC
60대	60/SN+대/NNB
이상(64.5%)에서	이상/NNG+(/SS+64/SN+./SP+5/SN+%/SW+)/SS+에서/JKB
높았다.	높/VA+았/EP+다/EF+./SF


# id : NWRW1800000046.322.4.2
20대의 찬성 의견은 40.2%였다.

20대의	20/SN+대/NNB+의/JKG
찬성	찬성/NNG
의견은	의견/NNG+은/JX
