# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.305
metadata : {}


# id : NWRW1800000033.305.1.1
[횡설수설/민동용]폭탄주 마시는 청춘

[횡설수설/민동용]폭탄주	[/SS+횡설수설/NNG+//SP+민동용/NNP+]/SS+폭탄주/NNG
마시는	마시/VV+는/ETM
청춘	청춘/NNG


# id : NWRW1800000033.305.2.1
1920년대 미국 서북부 몬태나 주가 배경인 영화 ‘흐르는 강물처럼’(1992년)을 생각하면 주인공 형제가 계곡에서 긴 낚싯줄을 아름답게 내던지는 장면이 떠오른다.

1920년대	1920/SN+년대/NNB
미국	미국/NNP
서북부	서북부/NNG
몬태나	몬태나/NNP
주가	주/NNG+가/JKS
배경인	배경/NNG+이/VCP+ㄴ/ETM
영화	영화/NNG
‘흐르는	‘/SS+흐르/VV+는/ETM
강물처럼’(1992년)을	강물/NNG+처럼/JKB+’/SS+(/SS+1992/SN+년/NNB+)/SS+을/JKO
생각하면	생각/NNG+하/XSV+면/EC
주인공	주인공/NNG
형제가	형제/NNG+가/JKS
계곡에서	계곡/NNG+에서/JKB
긴	길/VA+ㄴ/ETM
낚싯줄을	낚싯줄/NNG+을/JKO
아름답게	아름답/VA+게/EC
내던지는	내던지/VV+는/ETM
장면이	장면/NNG+이/JKS
떠오른다.	떠오르/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.305.2.2
술을 좋아하는 사람들은 이들이 술집에서 마시던 보일러메이커를 더 기억할지 모른다.

술을	술/NNG+을/JKO
좋아하는	좋아하/VV+는/ETM
사람들은	사람/NNG+들/XSN+은/JX
이들이	이/NP+들/XSN+이/JKS
술집에서	술집/NNG+에서/JKB
마시던	마시/VV+던/ETM
보일러메이커를	보일러/NNG+메이커/NNG+를/JKO
더	더/MAG
기억할지	기억/NNG+하/XSV+ㄹ지/EF
모른다.	모르/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.305.2.3
보일러공이라는 뜻의 이 술은 맥주에 위스키를 담은 작은 잔을 빠뜨려 마신다.

보일러공이라는	보일러공/NNG+이/VCP+라는/ETM
뜻의	뜻/NNG+의/JKG
이	이/MMD
술은	술/NNG+은/JX
맥주에	맥주/NNG+에/JKB
위스키를	위스키/NNG+를/JKO
담은	담/VV+은/ETM
작은	작/VA+은/ETM
잔을	잔/NNG+을/JKO
빠뜨려	빠뜨리/VV+어/EC
마신다.	마시/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.305.2.4
우리나라 폭탄주의 원조다.

우리나라	우리나라/NNG
폭탄주의	폭탄주/NNG+의/JKG
원조다.	원조/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.305.2.5
미국에 연수 간 한국의 장교들이 수입해 군에 먼저 퍼뜨렸고, 군인들한테 배워 검찰로 퍼뜨린 사람은 춘천지검장을 지낸 박희태 전 국회의장이라는 설이 있다.

미국에	미국/NNP+에/JKB
연수	연수/NNG
간	가/VV+ㄴ/ETM
한국의	한국/NNP+의/JKG
장교들이	장교/NNG+들/XSN+이/JKS
수입해	수입/NNG+하/XSV+아/EC
군에	군/NNG+에/JKB
먼저	먼저/MAG
퍼뜨렸고,	퍼뜨리/VV+었/EP+고/EC+,/SP
군인들한테	군인/NNG+들/XSN+한테/JKB
배워	배우/VV+어/EC
검찰로	검찰/NNG+로/JKB
퍼뜨린	퍼뜨리/VV+ㄴ/ETM
사람은	사람/NNG+은/JX
춘천지검장을	춘천지검장/NNG+을/JKO
지낸	지내/VV+ㄴ/ETM
박희태	박희태/NNP
전	전/MMD
국회의장이라는	국회/NNG+의장/NNG+이/VCP+라는/ETM
설이	설/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.305.3.1
▷보일러메이커는 미국에서 주로 부두 노동자를 중심으로 마셨다.

▷보일러메이커는	▷/SW+보일러/NNG+메이커/NNG+는/JX
미국에서	미국/NNP+에서/JKB
주로	주로/MAG
부두	부두/NNG
노동자를	노동자/NNG+를/JKO
중심으로	중심/NNG+으로/JKB
마셨다.	마시/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.305.3.2
북미지역 보일러공 및 선박 같은 대형 철제 구조물의 제작, 유지, 관리에 종사하는 노동자들의 산별노조인 ‘보일러메이커 국제형제애’의 홈페이지에 따르면 위스키잔을 담근 맥주잔에서 입을 한 번도 떼지 않고 다 마실 때만 보일러메이커라고 부른단다.

북미지역	북미지역/NNP
보일러공	보일러공/NNG
및	및/MAG
선박	선박/NNG
같은	같/VA+은/ETM
대형	대형/NNG
철제	철제/NNG
구조물의	구조물/NNG+의/JKG
제작,	제작/NNG+,/SP
유지,	유지/NNG+,/SP
관리에	관리/NNG+에/JKB
종사하는	종사/NNG+하/XSV+는/ETM
노동자들의	노동자/NNG+들/XSN+의/JKG
산별노조인	산별/NNG+노조/NNG+이/VCP+ㄴ/ETM
‘보일러메이커	‘/SS+보일러/NNG+메이커/NNG
국제형제애’의	국제/NNG+형제애/NNG+’/SS+의/JKG
홈페이지에	홈페이지/NNG+에/JKB
따르면	따르/VV+면/EC
위스키잔을	위스키/NNG+잔/NNG+을/JKO
담근	담그/VV+ㄴ/ETM
맥주잔에서	맥주잔/NNG+에서/JKB
입을	입/NNG+을/JKO
한	한/MMN
번도	번/NNB+도/JX
떼지	떼/VV+지/EC
않고	않/VX+고/EC
다	다/MAG
마실	마시/VV+ㄹ/ETM
때만	때/NNG+만/JX
보일러메이커라고	보일러/NNG+메이커/NNG+이/VCP+라고/EC
부른단다.	부르/VV+ㄴ단다/EF+./SF


# id : NWRW1800000033.305.3.3
‘원샷’을 하지 않을 때는 ‘어 숏 앤드 어 비어(a shot and a beer)’라고 한다.

‘원샷’을	‘/SS+원샷/NNG+’/SS+을/JKO
하지	하/VV+지/EC
않을	않/VX+을/ETM
때는	때/NNG+는/JX
‘어	‘/SS+어/NNG
숏	숏/NNG
앤드	앤드/NNG
어	어/NA
비어(a	비어/NNG+(/SS+a/SL
shot	shot/SL
and	and/SL
a	a/SL
beer)’라고	beer/SL+)/SS+’/SS+라고/JKQ
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.305.3.4
