# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.156
metadata : {}


# id : NWRW1800000032.156.1.1
하이힐도 편하게…차도녀 홀리는 ‘효도신발’

하이힐도	하이힐/NNG+도/JX
편하게…차도녀	편하/VA+게/EC+…/SE+차도녀/NNG
홀리는	홀리/VV+는/ETM
‘효도신발’	‘/SS+효도/NNG+신발/NNG+’/SS


# id : NWRW1800000032.156.2.1
컴포트화, 20~30대 여성 겨냥 디자인 변신

컴포트화,	컴포트화/NNG+,/SP
20~30대	20/SN+~/SO+30/SN+대/NNB
여성	여성/NNG
겨냥	겨냥/NNG
디자인	디자인/NNG
변신	변신/NNG


# id : NWRW1800000032.156.3.1
고탄성 쿠션…발볼 너비 맞춰 사이즈 ‘세분’

고탄성	고/XPN+탄성/NNG
쿠션…발볼	쿠션/NNG+…/SE+발볼/NNG
너비	너비/NNG
맞춰	맞추/VV+어/EC
사이즈	사이즈/NNG
‘세분’	‘/SS+세분/NNG+’/SS


# id : NWRW1800000032.156.4.1
‘효도신발’이라는 별명으로 불리던 컴포트화가 젊어졌다.

‘효도신발’이라는	‘/SS+효도/NNG+신발/NNG+’/SS+이/VCP+라는/ETM
별명으로	별명/NNG+으로/JKB
불리던	불리/VV+던/ETM
컴포트화가	컴포트화/NNG+가/JKS
젊어졌다.	젊어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.156.4.2
컴포트화는 그동안 낮고 푹신한 굽 등 발의 편안함을 강조한 기능성 때문에 50대 이상 중·노년층 여성들에게 인기를 모아왔다.

컴포트화는	컴포트화/NNG+는/JX
그동안	그동안/NNG
낮고	낮/VA+고/EC
푹신한	푹신/MAG+하/XSA+ㄴ/ETM
굽	굽/NNG
등	등/NNB
발의	발/NNG+의/JKG
편안함을	편안/NNG+하/XSA+ㅁ/ETN+을/JKO
강조한	강조/NNG+하/XSV+ㄴ/ETM
기능성	기능/NNG+성/XSN
때문에	때문/NNB+에/JKB
50대	50/SN+대/NNB
이상	이상/NNG
중·노년층	중·노년/NNG+층/XSN
여성들에게	여성/NNG+들/XSN+에게/JKB
인기를	인기/NNG+를/JKO
모아왔다.	모으/VV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000032.156.4.3
하지만 최근 여성화의 굽이 전반적으로 높아져 불편함을 느끼는 20~30대 젊은 여성들이 오히려 컴포트화에 관심을 가지면서 비즈니스화나 패션 아이템으로도 손색없는 컴포트화가 늘어나고 있다. .

하지만	하지만/MAJ
최근	최근/NNG
여성화의	여성화/NNG+의/JKG
굽이	굽/NNG+이/JKS
전반적으로	전반/NNG+적/XSN+으로/JKB
높아져	높아지/VV+어/EC
불편함을	불편/NNG+하/XSA+ㅁ/ETN+을/JKO
느끼는	느끼/VV+는/ETM
20~30대	20/SN+~/SO+30/SN+대/NNB
젊은	젊/VA+은/ETM
여성들이	여성/NNG+들/XSN+이/JKS
오히려	오히려/MAG
컴포트화에	컴포트화/NNG+에/JKB
관심을	관심/NNG+을/JKO
가지면서	가지/VV+면서/EC
비즈니스화나	비즈니스화/NNG+나/JC
패션	패션/NNG
아이템으로도	아이템/NNG+으로/JKB+도/JX
손색없는	손색없/VA+는/ETM
컴포트화가	컴포트화/NNG+가/JKS
늘어나고	늘어나/VV+고/EC
있다.	있/VX+다/EF+./SF
.	./SF


# id : NWRW1800000032.156.5.1
루프트한자, 핀에어 등 유럽 항공사들이 오래전부터 승무원 공식 구두로 채택해 ‘스튜어디스 구두’로 유명한 독일 컴포트화 브랜드 ‘가버’는 지난해 전체 매출 가운데 20~30대 직장 여성의 구매비율이 30%를 차지했다.

루프트한자,	루프트한자/NNP+,/SP
핀에어	핀에어/NNP
등	등/NNB
유럽	유럽/NNP
항공사들이	항공사/NNG+들/XSN+이/JKS
오래전부터	오래전/NNG+부터/JX
승무원	승무원/NNG
공식	공식/NNG
구두로	구두/NNG+로/JKB
채택해	채택/NNG+하/XSV+아/EC
‘스튜어디스	‘/SS+스튜어디스/NNG
구두’로	구두/NNG+’/SS+로/JKB
유명한	유명/NNG+하/XSA+ㄴ/ETM
독일	독일/NNP
컴포트화	컴포트화/NNG
브랜드	브랜드/NNG
‘가버’는	‘/SS+가버/NNP+’/SS+는/JX
지난해	지난해/NNG
전체	전체/NNG
매출	매출/NNG
가운데	가운데/NNG
20~30대	20/SN+~/SO+30/SN+대/NNB
직장	직장/NNG
여성의	여성/NNG+의/JKG
구매비율이	구매/NNG+비율/NNG+이/JKS
30%를	30/SN+%/SW+를/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.156.5.2
불과 2~3년 전만 해도 한 자리에 머무르던 수치다.

불과	불과/MAG
2~3년	2/SN+~/SO+3/SN+년/NNB
전만	전/NNG+만/JX
해도	하/VV+아도/EC
한	한/MMN
자리에	자리/NNG+에/JKB
머무르던	머무르/VV+던/ETM
수치다.	수치/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.156.5.3
롯데백화점 잡화1팀 김훈성 선임 상품기획자는 “가버, 락포트, 캠퍼 등 젊은층을 겨냥한 컴포트화의 매출이 지난해 60%까지 급상승했다”며 “디자인이 화려해면서 편한 신발을 찾는 20대들의 선호도도 높아지고 있다”고 말했다.

롯데백화점	롯데백화점/NNP
잡화1팀	잡화/NNG+1/SN+팀/NNG
김훈성	김훈성/NNP
선임	선임/NNG
상품기획자는	상품/NNG+기획자/NNG+는/JX
“가버,	“/SS+가버/NNP+,/SP
락포트,	락포트/NNP+,/SP
캠퍼	캠퍼/NNP
등	등/NNB
젊은층을	젊/VA+은/ETM+층/NNG+을/JKO
겨냥한	겨냥/NNG+하/XSV+ㄴ/ETM
컴포트화의	컴포트화/NNG+의/JKG
