# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.66
metadata : {}


# id : NWRW1800000053.66.1.1
[2017 대한민국 대표브랜드/계룡軍문화축제]병영문화의 모든 것, 계룡軍문화축제서 즐긴다

[2017	[/SS+2017/SN
대한민국	대한민국/NNP
대표브랜드/계룡軍문화축제]병영문화의	대표/NNG+브랜드/NNG+//SP+계룡/NNP+軍/SH+문화/NNG+축제/NNG+]/SS+병영/NNG+문화/NNG+의/JKG
모든	모든/MMN
것,	것/NNB+,/SP
계룡軍문화축제서	계룡/NNP+軍/SH+문화/NNG+축제/NNG+서/JKB
즐긴다	즐기/VV+ㄴ다/EF


# id : NWRW1800000053.66.2.1
문화관광축제 부문 / 계룡軍문화축제

문화관광축제	문화/NNG+관광/NNG+축제/NNG
부문	부문/NNG
/	//SP
계룡軍문화축제	계룡/NNP+軍/SH+문화/NNG+축제/NNG


# id : NWRW1800000053.66.3.1
지난해 10월 1일 전야제를 시작으로 5일간 금암행사장을 비롯해 엄사지역과 비상활주로 등 시내 전역에서 펼쳐진 ‘계룡軍문화축제’에 일본과 중국, 태국 등 해외 관람객들을 포함하여 118만 여 명의 국내외 관람객이 찾아와 육군, 해군, 공군 등 3군 병영문화를 직접 체험하고 즐겼다.

지난해	지난해/NNG
10월	10/SN+월/NNB
1일	1/SN+일/NNB
전야제를	전야제/NNG+를/JKO
시작으로	시작/NNG+으로/JKB
5일간	5/SN+일/NNB+간/XSN
금암행사장을	금암/NNP+행사장/NNG+을/JKO
비롯해	비롯하/VV+아/EC
엄사지역과	엄사지역/NNP+과/JC
비상활주로	비상/NNG+활주로/NNG
등	등/NNB
시내	시내/NNG
전역에서	전역/NNG+에서/JKB
펼쳐진	펼쳐지/VV+ㄴ/ETM
‘계룡軍문화축제’에	‘/SS+계룡/NNP+軍/SH+문화/NNG+축제/NNG+’/SS+에/JKB
일본과	일본/NNP+과/JC
중국,	중국/NNP+,/SP
태국	태국/NNP
해외	해외/NNG
관람객들을	관람객/NNG+들/XSN+을/JKO
포함하여	포함/NNG+하/XSV+아/EC
118만	118/SN+만/NR
여	여/XSN
명의	명/NNB+의/JKG
국내외	국내외/NNG
관람객이	관람객/NNG+이/JKS
찾아와	찾아오/VV+아/EC
육군,	육군/NNG+,/SP
해군,	해군/NNG+,/SP
공군	공군/NNG
3군	3/SN+군/NNG
병영문화를	병영/NNG+문화/NNG+를/JKO
직접	직접/MAG
체험하고	체험/NNG+하/XSV+고/EC
즐겼다.	즐기/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.66.4.1
계룡에서만 볼 수 있는 38종의 독특한 군문화콘텐츠가 관람객들로부터 호평을 받았다.

계룡에서만	계룡/NNP+에서/JKB+만/JX
볼	보/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
38종의	38/SN+종/NNG+의/JKG
독특한	독특/NNG+하/XSA+ㄴ/ETM
