# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.364
metadata : {}


# id : NWRW1800000029.364.1.1
美 “北과 거래한 금융기관 미국내 영업금지”

美	美/SH
“北과	“/SS+北/SH+과/JKB
거래한	거래/NNG+하/XSV+ㄴ/ETM
금융기관	금융/NNG+기관/NNG
미국내	미국/NNP+내/NNB
영업금지”	영업/NNG+금지/NNG+”/SS


# id : NWRW1800000029.364.2.1
상원, 이란 방식으로 대북제재 강화 법안 제출

상원,	상원/NNG+,/SP
이란	이란/NNP
방식으로	방식/NNG+으로/JKB
대북제재	대북/NNG+제재/NNG
강화	강화/NNG
법안	법안/NNG
제출	제출/NNG


# id : NWRW1800000029.364.3.1
자금줄 차단위해 北광물 수입도 제재대상 포함

자금줄	자금줄/NNG
차단위해	차단/NNG+위하/VV+아/EC
北광물	北/SH+광물/NNG
수입도	수입/NNG+도/JX
제재대상	제재/NNG+대상/NNG
포함	포함/NNG


# id : NWRW1800000029.364.4.1
미국 상원에 북한에 대한 제재 대상과 범위를 넓히고 제재 조치를 강화하는 내용을 담은 ‘이란·북한·시리아 제재통합법안’이 최근 제출됐다.

미국	미국/NNP
상원에	상원/NNG+에/JKB
북한에	북한/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
제재	제재/NNG
대상과	대상/NNG+과/JC
범위를	범위/NNG+를/JKO
넓히고	넓히/VV+고/EC
조치를	조치/NNG+를/JKO
강화하는	강화/NNG+하/XSV+는/ETM
내용을	내용/NNG+을/JKO
담은	담/VV+은/ETM
‘이란·북한·시리아	‘/SS+이란/NNP+·/SP+북한/NNP+·/SP+시리아/NNP
제재통합법안’이	제재/NNG+통합/NNG+법안/NNG+’/SS+이/JKS
최근	최근/MAG
제출됐다.	제출/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000029.364.5.1
