# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.380
metadata : {}


# id : NWRW1800000038.380.1.1
野의원, 보수 성향 韓國史교과서 著者 조사 논란

野의원,	野/SH+의원/NNG+,/SP
보수	보수/NNG
성향	성향/NNG
韓國史교과서	韓國史/SH+교과서/NNG
著者	著者/SH
조사	조사/NNG
논란	논란/NNG


# id : NWRW1800000038.380.2.1
민주 김태년 의원, 권희영 교수 등 현대사학회 2명 자료 요구

민주	민주/NNP
김태년	김태년/NNP
의원,	의원/NNG+,/SP
권희영	권희영/NNP
교수	교수/NNG
등	등/NNB
현대사학회	현대사학회/NNP
2명	2/SN+명/NNB
자료	자료/NNG
요구	요구/NNG


# id : NWRW1800000038.380.3.1
보수 성향 학술 단체로 역사 교과서 좌편향을 비판해 온 한국현대사학회 소속 학자 2명의 소속 기관에 민주당이 자료 제출을 요구한 것으로 11일 확인됐다.

보수	보수/NNG
성향	성향/NNG
학술	학술/NNG
단체로	단체/NNG+로/JKB
역사	역사/NNG
교과서	교과서/NNG
좌편향을	좌편향/NNG+을/JKO
비판해	비판/NNG+하/XSV+아/EC
온	오/VX+ㄴ/ETM
한국현대사학회	한국현대사학회/NNP
소속	소속/NNG
학자	학자/NNG
2명의	2/SN+명/NNB+의/JKG
기관에	기관/NNG+에/JKB
민주당이	민주당/NNP+이/JKS
자료	자료/NNG
제출을	제출/NNG+을/JKO
요구한	요구/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
11일	11/SN+일/NNB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.380.3.2
국회 교육문화체육관광위 소속인 민주당 김태년 의원은 지난 4일 교육부 산하기관인 한국학중앙연구원(한중연)에 이 연구원 소속 권희영·정영순 교수에 대한 자료를 요구했고, 한중연은 이 자료를 5일 제출했다.

국회	국회/NNG
교육문화체육관광위	교육/NNG+문화/NNG+체육/NNG+관광위/NNG
소속인	소속/NNG+이/VCP+ㄴ/ETM
민주당	민주당/NNP
김태년	김태년/NNP
의원은	의원/NNG+은/JX
지난	지나/VV+ㄴ/ETM
4일	4/SN+일/NNB
교육부	교육부/NNG
산하기관인	산하/NNG+기관/NNG+이/VCP+ㄴ/ETM
한국학중앙연구원(한중연)에	한국학중앙연구원/NNP+(/SS+한중연/NNP+)/SS+에/JKB
이	이/MMD
연구원	연구원/NNG
소속	소속/NNG
권희영·정영순	권희영/NNP+·/SP+정영순/NNP
교수에	교수/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
자료를	자료/NNG+를/JKO
요구했고,	요구/NNG+하/XSV+았/EP+고/EC+,/SP
한중연은	한중연/NNP+은/JX
5일	5/SN+일/NNB
제출했다.	제출/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.380.4.1
한국현대사학회 회장인 권희영 교수는 최근 검정 본심사를 통과하고 수정·보완 중인 교학사의 고교 한국사 교과서에 대표 필자로 참여했으며, 이 교과서는 일부 좌파로부터 '극우 교과서'라는 비난을 받고 있다.

한국현대사학회	한국현대사학회/NNP
회장인	회장/NNG+이/VCP+ㄴ/ETM
권희영	권희영/NNP
교수는	교수/NNG+는/JX
최근	최근/MAG
검정	검정/NNG
본심사를	본심사/NNG+를/JKO
통과하고	통과/NNG+하/XSV+고/EC
수정·보완	수정/NNG+·/SP+보완/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
교학사의	교학사/NNP+의/JKG
고교	고교/NNG
한국사	한국사/NNG
교과서에	교과서/NNG+에/JKB
대표	대표/NNG
필자로	필자/NNG+로/JKB
참여했으며,	참여/NNG+하/XSV+았/EP+으며/EC+,/SP
이	이/MMD
교과서는	교과서/NNG+는/JX
일부	일부/NNG
좌파로부터	좌파/NNG+로부터/JKB
'극우	'/SS+극우/NNG
교과서'라는	교과서/NNG+'/SS+이/VCP+라는/ETM
비난을	비난/NNG+을/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.380.4.2
한국현대사학회 임원인 정영순 교수는 이 교과서의 필자가 아니다.

한국현대사학회	한국현대사학회/NNP
임원인	임원/NNG+이/VCP+ㄴ/ETM
정영순	정영순/NNP
교수는	교수/NNG+는/JX
이	이/MMD
교과서의	교과서/NNG+의/JKG
필자가	필자/NNG+가/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000038.380.5.1
한중연이 김태년 의원에게 낸 자료는 2008년부터 현재까지 두 교수의 △개설 강좌, 강의 계획서, 강의 시수, 수강 가능 인원, 수강 신청 인원, 강의 평가 등 △각 개설 강좌에 대한 휴강 및 보강 실시 내역 △원내 연구 과제, 수탁 과제 목록, 연구비, 연구 계획서, 연구 결과물(미결 과제는 과제 수행 계획서) △연도별 연구비 및 수당 수령 내역 △외국 출장 내역, 출장 보고서다.

한중연이	한중연/NNP+이/JKS
김태년	김태년/NNP
의원에게	의원/NNG+에게/JKB
낸	내/VV+ㄴ/ETM
자료는	자료/NNG+는/JX
2008년부터	2008/SN+년/NNB+부터/JX
현재까지	현재/NNG+까지/JX
두	두/MMN
교수의	교수/NNG+의/JKG
△개설	△/SW+개설/NNG
강좌,	강좌/NNG+,/SP
강의	강의/NNG
계획서,	계획서/NNG+,/SP
시수,	시수/NNG+,/SP
수강	수강/NNG
가능	가능/NNG
인원,	인원/NNG+,/SP
신청	신청/NNG
평가	평가/NNG
등	등/NNB
△각	△/SW+각/MMD
개설	개설/NNG
강좌에	강좌/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
휴강	휴강/NNG
및	및/MAG
보강	보강/NNG
실시	실시/NNG
내역	내역/NNG
△원내	△/SW+원내/NNG
연구	연구/NNG
과제,	과제/NNG+,/SP
수탁	수탁/NNG
과제	과제/NNG
목록,	목록/NNG+,/SP
연구비,	연구비/NNG+,/SP
결과물(미결	결과물/NNG+(/SS+미결/NNG
과제는	과제/NNG+는/JX
수행	수행/NNG
계획서)	계획서/NNG+)/SS
△연도별	△/SW+연도/NNG+별/XSN
연구비	연구비/NNG
수당	수당/NNG
수령	수령/NNG
△외국	△/SW+외국/NNG
출장	출장/NNG
내역,	내역/NNG+,/SP
보고서다.	보고서/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.380.6.1
한중연 측은 "지금까지 야당 의원이 보수 성향 학자들을 지목해 관련 자료를 요구한 적이 몇 차례 있었다"고 밝혔다.

한중연	한중연/NNP
측은	측/NNB+은/JX
"지금까지	"/SS+지금/NNG+까지/JX
야당	야당/NNG
의원이	의원/NNG+이/JKS
보수	보수/NNG
성향	성향/NNG
학자들을	학자/NNG+들/XSN+을/JKO
지목해	지목/NNG+하/XSV+아/EC
관련	관련/NNG
자료를	자료/NNG+를/JKO
요구한	요구/NNG+하/XSV+ㄴ/ETM
적이	적/NNB+이/JKS
몇	몇/NR
차례	차례/NNG
있었다"고	있/VA+었/EP+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.380.6.2
지난 2011년 역사 교과서 집필 기준에 '자유민주주의'라는 용어가 들어가는 문제로 좌우 논쟁이 일자 민주당이 권희영 교수에 대한 자료를 요구했고, 지난해에는 양동안 명예교수에 대한 자료를 달라고 했다는 것이다.

지난	지나/VV+ㄴ/ETM
2011년	2011/SN+년/NNB
역사	역사/NNG
교과서	교과서/NNG
집필	집필/NNG
기준에	기준/NNG+에/JKB
'자유민주주의'라는	'/SS+자유/NNG+민주주의/NNG+'/SS+이/VCP+라는/ETM
용어가	용어/NNG+가/JKS
들어가는	들어가/VV+는/ETM
문제로	문제/NNG+로/JKB
좌우	좌우/NNG
논쟁이	논쟁/NNG+이/JKS
일자	일/VV+자/EC
민주당이	민주당/NNP+이/JKS
권희영	권희영/NNP
교수에	교수/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
자료를	자료/NNG+를/JKO
요구했고,	요구/NNG+하/XSV+았/EP+고/EC+,/SP
지난해에는	지난해/NNG+에/JKB+는/JX
양동안	양동안/NNP
명예교수에	명예/NNG+교수/NNG+에/JKB
달라고	달/VV+라고/EC
했다는	하/VV+았/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.380.7.1
김태년 의원실의 정진경 비서는 "최근 교과서 관련 논란에서 한국현대사학회가 이슈로 떠올랐기 때문에, 이 교수들이 강의와 연구를 소홀히 하고 대외 활동에 몰두하는 것이 아닌지 확인하기 위해 자료를 요구했다"고 밝혔다.

김태년	김태년/NNP
의원실의	의원실/NNG+의/JKG
정진경	정진경/NNP
비서는	비서/NNG+는/JX
"최근	"/SS+최근/MAG
교과서	교과서/NNG
관련	관련/NNG
논란에서	논란/NNG+에서/JKB
한국현대사학회가	한국현대사학회/NNP+가/JKS
이슈로	이슈/NNG+로/JKB
떠올랐기	떠오르/VV+았/EP+기/ETN
때문에,	때문/NNB+에/JKB+,/SP
이	이/MMD
교수들이	교수/NNG+들/XSN+이/JKS
강의와	강의/NNG+와/JC
연구를	연구/NNG+를/JKO
소홀히	소홀히/MAG
하고	하/VV+고/EC
대외	대외/NNG
활동에	활동/NNG+에/JKB
