# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.12
metadata : {}


# id : NWRW1800000045.12.1.1
[R&D 혁명]LG화학, 세계 1위 편광판 사업, 中시장 총력공세 나선다

[R&D	[/SS+R/SL+&/SW+D/SL
혁명]LG화학,	혁명/NNG+]/SS+LG화학/NNP+,/SP
세계	세계/NNG
1위	1/SN+위/NNB
편광판	편광판/NNG
사업,	사업/NNG+,/SP
中시장	中/SH+시장/NNG
총력공세	총력/NNG+공세/NNG
나선다	나서/VV+ㄴ다/EF


# id : NWRW1800000045.12.2.1
LG화학은 핵심 사업영역에서 차별화된 고객가치를 창출하고 시장을 선도해 글로벌 첨단 소재 기업으로 성장할 계획이다.

LG화학은	LG화학/NNP+은/JX
핵심	핵심/NNG
사업영역에서	사업/NNG+영역/NNG+에서/JKB
차별화된	차별/NNG+화/XSN+되/XSV+ㄴ/ETM
고객가치를	고객/NNG+가치/NNG+를/JKO
창출하고	창출/NNG+하/XSV+고/EC
시장을	시장/NNG+을/JKO
선도해	선도/NNG+하/XSV+아/EC
글로벌	글로벌/NNG
첨단	첨단/NNG
소재	소재/NNG
기업으로	기업/NNG+으로/JKB
성장할	성장/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.12.2.2
이를 위해 연간 연구개발(R&D) 투자금을 올해 6000억 원에서 2018년에는 9000억 원 수준으로 50% 이상 늘릴 예정이다.

이를	이/NP+를/JKO
위해	위하/VV+아/EC
연간	연간/NNG
연구개발(R&D)	연구/NNG+개발/NNG+(/SS+R/SL+&/SW+D/SL+)/SS
투자금을	투자금/NNG+을/JKO
올해	올해/NNG
6000억	6000/SN+억/NR
원에서	원/NNB+에서/JKB
2018년에는	2018/SN+년/NNB+에/JKB+는/JX
9000억	9000/SN+억/NR
원	원/NNB
수준으로	수준/NNG+으로/JKB
50%	50/SN+%/SW
이상	이상/NNG
늘릴	늘리/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.12.2.3
R&D 인력도 현재 3100명에서 2018년까지 1000여 명을 늘려 모두 4100명 이상으로 충원한다.

R&D	R/SL+&/SW+D/SL
인력도	인력/NNG+도/JX
현재	현재/MAG
3100명에서	3100/SN+명/NNB+에서/JKB
2018년까지	2018/SN+년/NNB+까지/JX
1000여	1000/SN+여/XSN
명을	명/NNB+을/JKO
늘려	늘리/VV+어/EC
모두	모두/MAG
4100명	4100/SN+명/NNB
이상으로	이상/NNG+으로/JKB
충원한다.	충원/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.12.3.1
늘어나는 인력에 맞춰 연구시설도 확장해 나가고 있다.

늘어나는	늘어나/VV+는/ETM
인력에	인력/NNG+에/JKB
맞춰	맞추/VV+어/EC
연구시설도	연구/NNG+시설/NNG+도/JX
확장해	확장/NNG+하/XSV+아/EC
나가고	나가/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.12.3.2
지난해 대전 기술연구원을 기존 5개동에서 6개동으로 확충하고 최근에는 과천R&D센터도 본격 가동하고 있다.

지난해	지난해/NNG
대전	대전/NNP
기술연구원을	기술/NNG+연구원/NNG+을/JKO
기존	기존/NNG
5개동에서	5/SN+개/NNB+동/NNB+에서/JKB
6개동으로	6/SN+개/NNB+동/NNB+으로/JKB
확충하고	확충/NNG+하/XSV+고/EC
최근에는	최근/NNG+에/JKB+는/JX
과천R&D센터도	과천R&D센터/NNP+도/JX
본격	본격/NNG
가동하고	가동/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.12.3.3
2017년부터는 LG가 그룹 차원에서 서울 마곡지구에 건립 중인 LG사이언스파크도 활용할 계획이다.

2017년부터는	2017/SN+년/NNB+부터/JX+는/JX
LG가	LG/SL+가/JKS
그룹	그룹/NNG
