# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.32
metadata : {}


# id : NWRW1800000040.32.1.1
기업들 “국면전환 환영, 일감 다시 들어올지…”

기업들	기업/NNG+들/XSN
“국면전환	“/SS+국면/NNG+전환/NNG
환영,	환영/NNG+,/SP
일감	일감/NNG
다시	다시/MAG
들어올지…”	들어오/VV+ㄹ지/EF+…/SE+”/SS


# id : NWRW1800000040.32.2.1
공장 설비점검 준비 착수

공장	공장/NNG
설비점검	설비/NNG+점검/NNG
준비	준비/NNG
착수	착수/NNG


# id : NWRW1800000040.32.3.1
“북쪽 재발방지책 내놔야”

“북쪽	“/SS+북쪽/NNG
재발방지책	재발/NNG+방지책/NNG
내놔야”	내놓/VV+아야/EC+”/SS


# id : NWRW1800000040.32.4.1
남북이 7일 개성공단 재가동에 원칙적으로 합의한 데 대해 입주기업들은 환영의 뜻을 나타내며 공장 설비 점검을 위한 준비 작업을 서두르고 있다.

남북이	남북/NNP+이/JKS
7일	7/SN+일/NNB
개성공단	개성공단/NNP
재가동에	재/XPN+가동/NNG+에/JKB
원칙적으로	원칙/NNG+적/XSN+으로/JKB
합의한	합의/NNG+하/XSV+ㄴ/ETM
데	데/NNB
대해	대하/VV+아/EC
입주기업들은	입주/NNG+기업/NNG+들/XSN+은/JX
환영의	환영/NNG+의/JKG
뜻을	뜻/NNG+을/JKO
나타내며	나타내/VV+며/EC
공장	공장/NNG
설비	설비/NNG
점검을	점검/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
준비	준비/NNG
작업을	작업/NNG+을/JKO
서두르고	서두르/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.32.5.1
옥성석 개성공단기업협회 부회장은 이날 <한겨레>와 한 통화에서 “공단 폐쇄에서 재가동 쪽으로 국면이 바뀐 것은 일단 환영할 일이다.

옥성석	옥성석/NNP
개성공단기업협회	개성공단기업협회/NNP
부회장은	부회장/NNG+은/JX
이날	이날/NNG
<한겨레>와	</SS+한겨레/NNP+>/SS+와/JKB
한	하/VV+ㄴ/ETM
통화에서	통화/NNG+에서/JKB
“공단	“/SS+공단/NNG
폐쇄에서	폐쇄/NNG+에서/JKB
재가동	재/XPN+가동/NNG
쪽으로	쪽/NNB+으로/JKB
국면이	국면/NNG+이/JKS
바뀐	바뀌/VV+ㄴ/ETM
것은	것/NNB+은/JX
일단	일단/MAG
환영할	환영/NNG+하/XSV+ㄹ/ETM
일이다.	일/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.32.5.2
먼저 전기·가스·수도·전화 등 기반시설이 정상화되어야 공장별 점검을 할 수 있기 때문에 한전 등 관계기관과 함께 최대한 짧은 시간 안에 설비 점검을 마치기 위한 논의를 시작할 것”이라고 말했다.

먼저	먼저/MAG
전기·가스·수도·전화	전기/NNG+·/SP+가스/NNG+·/SP+수도/NNG+·/SP+전화/NNG
등	등/NNB
기반시설이	기반/NNG+시설/NNG+이/JKS
정상화되어야	정상/NNG+화/XSN+되/XSV+어야/EC
공장별	공장/NNG+별/XSN
점검을	점검/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있기	있/VA+기/ETN
때문에	때문/NNB+에/JKB
한전	한전/NNP
관계기관과	관계/NNG+기관/NNG+과/JKB
함께	함께/MAG
최대한	최대한/MAG
짧은	짧/VA+은/ETM
시간	시간/NNG
안에	안/NNG+에/JKB
설비	설비/NNG
마치기	마치/VV+기/ETN
위한	위하/VV+ㄴ/ETM
논의를	논의/NNG+를/JKO
시작할	시작/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.32.5.3
중소기업중앙회도 이날 논평을 내 “장마철에 대비한 설비 점검과 완제품 및 원자재 반출에 합의하고 재발 방지를 위한 회담을 10일 재개하기로 한 점에 대해 환영한다.

중소기업중앙회도	중소기업/NNG+중앙회/NNG+도/JX
이날	이날/NNG
논평을	논평/NNG+을/JKO
내	내/VV+어/EC
“장마철에	“/SS+장마철/NNG+에/JKB
대비한	대비/NNG+하/XSV+ㄴ/ETM
설비	설비/NNG
점검과	점검/NNG+과/JC
완제품	완제품/NNG
및	및/MAG
원자재	원자재/NNG
반출에	반출/NNG+에/JKB
합의하고	합의/NNG+하/XSV+고/EC
재발	재발/NNG
방지를	방지/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
회담을	회담/NNG+을/JKO
10일	10/SN+일/NNB
재개하기로	재개/NNG+하/XSV+기/ETN+로/JKB
한	하/VV+ㄴ/ETM
점에	점/NNG+에/JKB
대해	대하/VV+아/EC
환영한다.	환영/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000040.32.5.4
개성공단이 조속히 정상화되고 남북경협을 활성화해 우리 경제가 한 단계 도약할 수 있는 기회로 활용해 나가기를 희망한다”고 밝혔다.

개성공단이	개성공단/NNP+이/JKS
조속히	조속히/MAG
정상화되고	정상/NNG+화/XSN+되/XSV+고/EC
남북경협을	남북/NNP+경협/NNG+을/JKO
활성화해	활성/NNG+화/XSN+하/XSV+아/EC
우리	우리/NP
경제가	경제/NNG+가/JKS
한	한/MMN
단계	단계/NNG
도약할	도약/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
기회로	기회/NNG+로/JKB
활용해	활용/NNG+하/XSV+아/EC
나가기를	나가/VX+기/ETN+를/JKO
희망한다”고	희망/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.32.6.1
개성공단정상화촉구비상대책위원회는 8일 회의를 열어 기반시설 점검계획을 협의하고, 업체별로 공장 점검을 위한 선발대 방북 일정을 논의할 계획이다.

개성공단정상화촉구비상대책위원회는	개성공단정상화촉구비상대책위원회/NNP+는/JX
8일	8/SN+일/NNB
회의를	회의/NNG+를/JKO
열어	열/VV+어/EC
기반시설	기반/NNG+시설/NNG
점검계획을	점검/NNG+계획/NNG+을/JKO
협의하고,	협의/NNG+하/XSV+고/EC+,/SP
업체별로	업체/NNG+별/XSN+로/JKB
공장	공장/NNG
점검을	점검/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
선발대	선발대/NNG
방북	방북/NNG
일정을	일정/NNG+을/JKO
논의할	논의/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.32.6.2
하지만 아직 남북이 공단 가동 중단 사태에 대한 재발 방지에 합의를 보지 못한 만큼 낙관하기에는 이르다는 반응도 나왔다.

하지만	하지만/MAJ
아직	아직/MAG
남북이	남북/NNP+이/JKS
공단	공단/NNG
가동	가동/NNG
중단	중단/NNG
사태에	사태/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
재발	재발/NNG
방지에	방지/NNG+에/JKB
합의를	합의/NNG+를/JKO
보지	보/VV+지/EC
못한	못하/VX+ㄴ/ETM
만큼	만큼/NNB
낙관하기에는	낙관/NNG+하/XSV+기/ETN+에/JKB+는/JX
이르다는	이르/VA+다는/ETM
반응도	반응/NNG+도/JX
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.32.6.3
한재권 개성공단기업협회 회장은 “설비 점검이 끝나도 바이어들로부터 주문이 들어오지 않으면 공장을 재가동할 수 없다.

한재권	한재권/NNP
개성공단기업협회	개성공단기업협회/NNP
회장은	회장/NNG+은/JX
“설비	“/SS+설비/NNG
점검이	점검/NNG+이/JKS
끝나도	끝나/VV+아도/EC
바이어들로부터	바이어/NNG+들/XSN+로부터/JKB
주문이	주문/NNG+이/JKS
들어오지	들어오/VV+지/EC
않으면	않/VX+으면/EC
공장을	공장/NNG+을/JKO
재가동할	재/XPN+가동/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000040.32.6.4
