# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.118
metadata : {}


# id : NWRW1800000021.118.1.1
서울 모터쇼에 온 르노그룹 나카무라 부회장

서울	서울/NNP
모터쇼에	모터쇼/NNG+에/JKB
온	오/VV+ㄴ/ETM
르노그룹	르노그룹/NNP
나카무라	나카무라/NNP
부회장	부회장/NNG


# id : NWRW1800000021.118.2.1
“한국 내 투자를 늘려 현대자동차의 강력한 경쟁자가 될 겁니다.”

“한국	“/SS+한국/NNP
내	내/NNB
투자를	투자/NNG+를/JKO
늘려	늘리/VV+어/EC
현대자동차의	현대자동차/NNP+의/JKG
강력한	강력/NNG+하/XSA+ㄴ/ETM
경쟁자가	경쟁자/NNG+가/JKC
될	되/VV+ㄹ/ETM
겁니다.”	거/NNB+이/VCP+ㅂ니다/EF+./SF+”/SS


# id : NWRW1800000021.118.3.1
서울모터쇼 참석차 방한한 나카무라 가쓰미(中村克己·56) 프랑스 르노그룹 아시아·아프리카 총괄부회장은 6일 본보와의 인터뷰에서 “르노삼성자동차는 르노그룹 내에서 가장 효율성이 높고 역량이 뛰어나다”며 이같이 말했다.

서울모터쇼	서울/NNP+모터쇼/NNG
참석차	참석차/NNG
방한한	방한/NNG+하/XSV+ㄴ/ETM
나카무라	나카무라/NNP
가쓰미(中村克己·56)	가쓰미/NNP+(/SS+中村克己/SH+·/SP+56/SN+)/SS
프랑스	프랑스/NNP
르노그룹	르노그룹/NNP
아시아·아프리카	아시아/NNP+·/SP+아프리카/NNP
총괄부회장은	총괄/NNG+부회장/NNG+은/JX
6일	6/SN+일/NNB
본보와의	본보/NNG+와/JKB+의/JKG
인터뷰에서	인터뷰/NNG+에서/JKB
“르노삼성자동차는	“르노삼성자동차/NNP+는/JX
내에서	내/NNB+에서/JKB
가장	가장/MAG
효율성이	효율/NNG+성/XSN+이/JKS
높고	높/VA+고/EC
역량이	역량/NNG+이/JKS
뛰어나다”며	뛰어나/VA+다/EF+”/SS+며/EC
이같이	이/NP+같이/JKB
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.118.3.2
그는 이번 모터쇼에서 처음 선보인 르노삼성차의 뉴 SM3에 대해 “르노삼성 임직원들이 자랑스럽고 그룹의 미래에도 밝은 전망을 가능케 해 많은 기대를 하고 있다”고 칭찬을 아끼지 않았다.

그는	그/NP+는/JX
이번	이번/NNG
모터쇼에서	모터쇼/NNG+에서/JKB
처음	처음/NNG
선보인	선보이/VV+ㄴ/ETM
르노삼성차의	르노삼성차/NNP+의/JKG
뉴	뉴/NNG
SM3에	SM/SL+3/SN+에/JKB
대해	대하/VV+아/EC
“르노삼성	“/SS+르노삼성/NNP
임직원들이	임직원/NNG+들/XSN+이/JKS
자랑스럽고	자랑/NNG+스럽/XSA+고/EC
그룹의	그룹/NNG+의/JKG
미래에도	미래/NNG+에/JKB+도/JX
밝은	밝/VA+은/ETM
전망을	전망/NNG+을/JKO
가능케	가능/NNG+하/XSA+게/EC
해	하/VX+아/EC
많은	많/VA+은/ETM
기대를	기대/NNG+를/JKO
하고	하/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
칭찬을	칭찬/NNG+을/JKO
아끼지	아끼/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000021.118.4.1
나카무라 부회장은 글로벌 경기침체의 여파로 르노그룹 역시 쉽지 않은 상황이라면서도 인터뷰 내내 르노삼성차의 그룹 내 전략적 중요성을 강조하며 투자 확대 의지를 내비쳤다.

나카무라	나카무라/NNP
부회장은	부회장/NNG+은/JX
글로벌	글로벌/NNG
경기침체의	경기/NNG+침체/NNG+의/JKG
여파로	여파/NNG+로/JKB
르노그룹	르노그룹/NNP
역시	역시/MAG
쉽지	쉽/VA+지/EC
않은	않/VX+은/ETM
상황이라면서도	상황/NNG+이/VCP+라면서/EC+도/JX
인터뷰	인터뷰/NNG
내내	내내/MAG
르노삼성차의	르노삼성차/NNP+의/JKG
그룹	그룹/NNG
내	내/NNB
전략적	전략/NNG+적/XSN
중요성을	중요/NNG+성/XSN+을/JKO
강조하며	강조/NNG+하/XSV+며/EC
투자	투자/NNG
확대	확대/NNG
의지를	의지/NNG+를/JKO
내비쳤다.	내비치/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.118.4.2
그는 “르노삼성차는 그룹 내에서 가장 중요한 사업장 중 하나”라며 “제조 역량이 뛰어나고 개발과 디자인 역량도 충분히 갖추고 있어 그룹의 미래에도 큰 영향을 미칠 것”이라고 평가했다.

그는	그/NP+는/JX
“르노삼성차는	“/SS+르노삼성차/NNP+는/JX
그룹	그룹/NNG
내에서	내/NNB+에서/JKB
가장	가장/MAG
중요한	중요/NNG+하/XSA+ㄴ/ETM
사업장	사업장/NNG
중	중/NNB
하나”라며	하나/NR+”/SS+이/VCP+라며/EC
“제조	“/SS+제조/NNG
역량이	역량/NNG+이/JKS
뛰어나고	뛰어나/VA+고/EC
개발과	개발/NNG+과/JC
디자인	디자인/NNG
역량도	역량/NNG+도/JX
충분히	충분히/MAG
갖추고	갖추/VV+고/EC
있어	있/VX+어/EC
그룹의	그룹/NNG+의/JKG
미래에도	미래/NNG+에/JKB+도/JX
큰	크/VA+ㄴ/ETM
영향을	영향/NNG+을/JKO
미칠	미치/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
평가했다.	평가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.118.4.3
르노삼성차가 단순히 르노나 닛산자동차의 조립공장이 아닌 아시아·아프리카 지역에서 전략적 허브 역할을 수행하게 될 것이라는 게 그의 설명이다.

르노삼성차가	르노삼성차/NNP+가/JKS
단순히	단순히/MAG
르노나	르노/NNP+나/JC
닛산자동차의	닛산자동차/NNP+의/JKG
조립공장이	조립/NNG+공장/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
아시아·아프리카	아시아/NNP+·/SP+아프리카/NNP
지역에서	지역/NNG+에서/JKB
전략적	전략/NNG+적/XSN
허브	허브/NNG
역할을	역할/NNG+을/JKO
수행하게	수행/NNG+하/XSV+게/EC
될	되/VV+ㄹ/ETM
