# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.43
metadata : {}


# id : NWRW1800000040.43.1.1
청·재벌 회동 앞두고…공정위 ‘재벌총수 봐주기 제재’

청·재벌	청/NA+·/SP+재벌/NNG
회동	회동/NNG
앞두고…공정위	앞두/VV+고/EC+…/SE+공정위/NNG
‘재벌총수	‘/SS+재벌/NNG+총수/NNG
봐주기	봐주/VV+기/ETN
제재’	제재/NNG+’/SS


# id : NWRW1800000040.43.2.1
위장계열사 운영 효성 조석래

위장계열사	위장/NNG+계열사/NNG
운영	운영/NNG
효성	효성/NNP
조석래	조석래/NNP


# id : NWRW1800000040.43.3.1
LG쪽도 친족회사 신고 누락

LG쪽도	LG/SL+쪽/NNB+도/JX
친족회사	친족/NNG+회사/NNG
신고	신고/NNG
누락	누락/NNG


# id : NWRW1800000040.43.4.1
조사맡았던 ‘정책국’ 고발 의견

조사맡았던	조사/NNG+맡/VV+았/EP+던/ETM
‘정책국’	‘/SS+정책국/NNG+’/SS
고발	고발/NNG
의견	의견/NNG


# id : NWRW1800000040.43.5.1
‘제1소위원회’서 수위낮춰 “경고”

‘제1소위원회’서	‘/SS+제/XPN+1/SN+소/XPN+위원회/NNG+’/SS+서/JKB
수위낮춰	수위/NNG+낮추/VV+어/EC
“경고”	“/SS+경고/NNG+”/SS


# id : NWRW1800000040.43.6.1
관례 어기고 보도자료서도 빼

관례	관례/NNG
어기고	어기/VV+고/EC
보도자료서도	보도/NNG+자료/NNG+서/JKB+도/JX
빼	빼/VV+어/EF


# id : NWRW1800000040.43.7.1
논란 커지자 참고자료 배포

논란	논란/NNG
커지자	커지/VV+자/EC
참고자료	참고/NNG+자료/NNG
배포	배포/NNG


# id : NWRW1800000040.43.8.1
재벌 총수가 위장 계열사를 운영하며 허위자료를 제출해 공정거래법을 위반한 사건에 대해 공정거래위원회가 경고라는 ‘솜방망이’ 제재만 내리고 정식 보도자료도 내지 않는 등 ‘봐주기’를 해, 박근혜 대통령과 10대그룹 총수들의 청와대 회동을 앞두고 ‘눈치보기’ 행보라는 지적을 낳고 있다.

재벌	재벌/NNG
총수가	총수/NNG+가/JKS
위장	위장/NNG
계열사를	계열사/NNG+를/JKO
운영하며	운영/NNG+하/XSV+며/EC
허위자료를	허위/NNG+자료/NNG+를/JKO
제출해	제출/NNG+하/XSV+아/EC
공정거래법을	공정/NNG+거래법/NNG+을/JKO
위반한	위반/NNG+하/XSV+ㄴ/ETM
사건에	사건/NNG+에/JKB
대해	대하/VV+아/EC
공정거래위원회가	공정/NNG+거래/NNG+위원회/NNG+가/JKS
경고라는	경고/NNG+이/VCP+라는/ETM
‘솜방망이’	‘/SS+솜방망이/NNG+’/SS
제재만	제재/NNG+만/JX
내리고	내리/VV+고/EC
정식	정식/NNG
보도자료도	보도/NNG+자료/NNG+도/JX
내지	내/VV+지/EC
않는	않/VX+는/ETM
등	등/NNB
‘봐주기’를	‘/SS+봐주/VV+기/ETN+’/SS+를/JKO
해,	해/NNG+,/SP
박근혜	박근혜/NNP
대통령과	대통령/NNG+과/JC
10대그룹	10/SN+대/NNG+그룹/NNG
총수들의	총수/NNG+들/XSN+의/JKG
청와대	청와대/NNP
회동을	회동/NNG+을/JKO
앞두고	앞두/VV+고/EC
‘눈치보기’	‘/SS+눈치/NNG+보/VV+기/ETN+’/SS
행보라는	행보/NNG+이/VCP+라는/ETM
지적을	지적/NNG+을/JKO
낳고	낳/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.43.9.1
공정위는 지난 23일 제1소위원회(주심 안영호 상임위원)를 열고 상호출자제한 대규모 기업집단(재벌) 지정 자료를 허위로 제출하면서 계열회사를 누락한 조석래 효성그룹 회장과 구본무 엘지(LG)그룹 회장에 대해 경고 조처했다.

공정위는	공정위/NNG+는/JX
지난	지나/VV+ㄴ/ETM
23일	23/SN+일/NNB
제1소위원회(주심	제/XPN+1/SN+소/XPN+위원회/NNG+(/SS+주심/NNG
안영호	안영호/NNP
상임위원)를	상임/NNG+위원/NNG+)/SS+를/JKO
열고	열/VV+고/EC
상호출자제한	상호/NNG+출자/NNG+제한/NNG
대규모	대/XPN+규모/NNG
기업집단(재벌)	기업/NNG+집단/NNG+(/SS+재벌/NNG+)/SS
지정	지정/NNG
자료를	자료/NNG+를/JKO
허위로	허위/NNG+로/JKB
제출하면서	제출/NNG+하/XSV+면서/EC
계열회사를	계열/NNG+회사/NNG+를/JKO
누락한	누락/NNG+하/XSV+ㄴ/ETM
조석래	조석래/NNP
효성그룹	효성그룹/NNP
회장과	회장/NNG+과/JC
구본무	구본무/NNP
엘지(LG)그룹	엘지/NNP+(/SS+LG/SL+)/SS+그룹/NNG
회장에	회장/NNG+에/JKB
대해	대하/VV+아/EC
경고	경고/NNG
조처했다.	조처/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.43.9.2
조 회장은 계열사인 공덕개발 주식을 1992년 이후 20년간 차명소유하는 방식으로 위장계열사를 운영하면서, 공정위에 제출한 계열사 현황 자료에서 누락했다가 지난해 하반기 뒤늦게 신고했다.

조	조/NNP
회장은	회장/NNG+은/JX
계열사인	계열사/NNG+이/VCP+ㄴ/ETM
공덕개발	공덕개발/NNP
주식을	주식/NNG+을/JKO
1992년	1992/SN+년/NNB
이후	이후/NNG
20년간	20/SN+년/NNB+간/XSN
차명소유하는	차명/NNG+소유/NNG+하/XSV+는/ETM
방식으로	방식/NNG+으로/JKB
위장계열사를	위장/NNG+계열사/NNG+를/JKO
운영하면서,	운영/NNG+하/XSV+면서/EC+,/SP
공정위에	공정위/NNG+에/JKB
제출한	제출/NNG+하/XSV+ㄴ/ETM
계열사	계열사/NNG
현황	현황/NNG
자료에서	자료/NNG+에서/JKB
누락했다가	누락/NNG+하/XSV+았/EP+다가/EC
지난해	지난해/NNG
하반기	하반기/NNG
뒤늦게	뒤늦/VA+게/EC
신고했다.	신고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.43.9.3
구 회장은 지난해 4월 공정위에 계열사 현황 자료를 내면서 19개 친족 소유 회사들을 누락했다.

구	구/NNP
회장은	회장/NNG+은/JX
지난해	지난해/NNG
4월	4/SN+월/NNB
공정위에	공정위/NNG+에/JKB
계열사	계열사/NNG
현황	현황/NNG
자료를	자료/NNG+를/JKO
내면서	내/VV+면서/EC
19개	19/SN+개/NNB
친족	친족/NNG
소유	소유/NNG
회사들을	회사/NNG+들/XSN+을/JKO
누락했다.	누락/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.43.9.4
이들 친족 회사 가운데 6곳은 계열사간 상호출자를 금지한 공정거래법을 위반해 함께 경고처분이 내려졌다.

이들	이/NP+들/XSN
친족	친족/NNG
회사	회사/NNG
가운데	가운데/NNG
6곳은	6/SN+곳/NNG+은/JX
계열사간	계열사/NNG+간/NNB
상호출자를	상호/NNG+출자/NNG+를/JKO
금지한	금지/NNG+하/XSV+ㄴ/ETM
공정거래법을	공정/NNG+거래법/NNG+을/JKO
위반해	위반/NNG+하/XSV+아/EC
함께	함께/MAG
