# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.36
metadata : {}


# id : NWRW1800000026.36.1.1
[소녀 벗기는 사회](上)선정적 뮤직 비디오, 인터넷·휴대폰 등 통해 침투시청; 어른은 몰라… 청소년 파고든 음란 '뮤비(뮤직 비디오)'

[소녀	[/SS+소녀/NNG
벗기는	벗기/VV+는/ETM
사회](上)선정적	사회/NNG+]/SS+(/SS+上/SH+)/SS+선정/NNG+적/XSN
뮤직	뮤직/NNG
비디오,	비디오/NNG+,/SP
인터넷·휴대폰	인터넷/NNG+·/SP+휴대폰/NNG
등	등/NNB
통해	통하/VV+아/EC
침투시청;	침투/NNG+시청/NNG+;/SP
어른은	어른/NNG+은/JX
몰라…	모르/VV+아/EF+…/SE
청소년	청소년/NNG
파고든	파고들/VV+ㄴ/ETM
음란	음란/NNG
'뮤비(뮤직	'/SS+뮤비/NNG+(/SS+뮤직/NNG
비디오)'	비디오/NNG+)/SS+'/SS


# id : NWRW1800000026.36.2.1
아빠 내 춤 어때?

아빠	아빠/NNG
내	나/NP+의/JKG
춤	춤/NNG
어때?	어떻/VA+어/EF+?/SF


# id : NWRW1800000026.36.3.1
서울 서초동에 사는 회사원 김영환(38·가명)씨는 지난 20일 집에서 저녁 식사를 마친 뒤, 8세 딸이 재롱을 떠는 모습을 보고 기겁을 했다.

서울	서울/NNP
서초동에	서초동/NNP+에/JKB
사는	살/VV+는/ETM
회사원	회사원/NNG
김영환(38·가명)씨는	김영환/NNP+(/SS+38/SN+·/SP+가명/NNG+)/SS+씨/NNB+는/JX
지난	지나/VV+ㄴ/ETM
20일	20/SN+일/NNB
집에서	집/NNG+에서/JKB
저녁	저녁/NNG
식사를	식사/NNG+를/JKO
마친	마치/VV+ㄴ/ETM
뒤,	뒤/NNG+,/SP
8세	8/SN+세/NNB
딸이	딸/NNG+이/JKS
재롱을	재롱/NNG+을/JKO
떠는	떨/VV+는/ETM
모습을	모습/NNG+을/JKO
보고	보/VV+고/EC
기겁을	기겁/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.36.3.2
뜻 모를 '주문' 같은 노래를 부르며 두 다리를 벌리고 엉덩이를 번쩍 들어 올린 뒤 윗옷을 벗는 듯한 자세를 취하더니 다시 상체를 바닥에 대고 쭉 앞으로 뻗었다가 뒤로 누우며 뒹굴었기 때문이다.

뜻	뜻/NNG
모를	모르/VV+ㄹ/ETM
'주문'	'/SS+주문/NNG+'/SS
같은	같/VA+은/ETM
노래를	노래/NNG+를/JKO
부르며	부르/VV+며/EC
두	두/MMN
다리를	다리/NNG+를/JKO
벌리고	벌리/VV+고/EC
엉덩이를	엉덩이/NNG+를/JKO
번쩍	번쩍/MAG
들어	들/VV+어/EC
올린	올리/VV+ㄴ/ETM
뒤	뒤/NNG
윗옷을	윗옷/NNG+을/JKO
벗는	벗/VV+는/ETM
듯한	듯/NNB+하/XSA+ㄴ/ETM
자세를	자세/NNG+를/JKO
취하더니	취하/VV+더니/EC
다시	다시/MAG
상체를	상체/NNG+를/JKO
바닥에	바닥/NNG+에/JKB
대고	대/VV+고/EC
쭉	쭉/MAG
앞으로	앞/NNG+으로/JKB
뻗었다가	뻗/VV+었/EP+다가/EC
뒤로	뒤/NNG+로/JKB
누우며	눕/VV+으며/EC
뒹굴었기	뒹굴/VV+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.36.3.3
아내는 "브라운아이드걸스의 '아브라카다브라' 춤"이라고 했다.

아내는	아내/NNG+는/JX
"브라운아이드걸스의	"/SS+브라운아이드걸스/NNP+의/JKG
'아브라카다브라'	'/SS+아브라카다브라/NNP+'/SS
춤"이라고	춤/NNG+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.36.4.1
인터넷에 들어가 검색했더니 수십개 뮤직비디오가 화면에 올라왔다.

인터넷에	인터넷/NNG+에/JKB
들어가	들어가/VV+아/EC
검색했더니	검색/NNG+하/XSV+았/EP+더니/EC
수십개	수십/NR+개/NNB
뮤직비디오가	뮤직비디오/NNG+가/JKS
화면에	화면/NNG+에/JKB
올라왔다.	올라오/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.36.4.2
'클릭'해 보니 젊은 남녀가 뒤엉켜 옷을 벗기며 성행위를 벌이는 듯한 장면이 이어지다가 갑자기 춤추던 여성들이 한 여성의 온몸을 위아래로 쓰다듬는 장면이 나왔다.

'클릭'해	'/SS+클릭/NNG+'/SS+하/VV+아/EC
보니	보/VX+니/EC
젊은	젊/VA+은/ETM
남녀가	남녀/NNG+가/JKS
뒤엉켜	뒤엉키/VV+어/EC
옷을	옷/NNG+을/JKO
벗기며	벗기/VV+며/EC
성행위를	성행위/NNG+를/JKO
벌이는	벌이/VV+는/ETM
듯한	듯/NNB+하/XSA+ㄴ/ETM
장면이	장면/NNG+이/JKS
이어지다가	이어지/VV+다가/EC
갑자기	갑자기/MAG
춤추던	춤추/VV+던/ETM
여성들이	여성/NNG+들/XSN+이/JKS
한	한/MMN
여성의	여성/NNG+의/JKG
온몸을	온몸/NNG+을/JKO
위아래로	위아래/NNG+로/JKB
쓰다듬는	쓰다듬/VV+는/ETM
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.36.4.3
그리고 딸이 따라 하던 문제의 그 안무가 나왔다.

그리고	그리고/MAJ
딸이	딸/NNG+이/JKS
따라	따르/VV+아/EC
하던	하/VV+던/ETM
문제의	문제/NNG+의/JKG
그	그/MMD
안무가	안무/NNG+가/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.36.4.4
여자끼리 입맞추려는 모습도 나왔다.

여자끼리	여자/NNG+끼리/XSN
입맞추려는	입/NNG+맞추/VV+려는/ETM
모습도	모습/NNG+도/JX
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.36.4.5
김씨는 "어떻게 애가 이런 걸 보고, 춤을 따라 하는 걸 그냥 두느냐"며 아내에게 버럭 소리를 질렀다.

김씨는	김/NNP+씨/NNB+는/JX
"어떻게	"/SS+어떻/VA+게/EC
애가	애/NNG+가/JKS
이런	이런/MMD
걸	거/NNB+ㄹ/JKO
보고,	보/VV+고/EC+,/SP
춤을	춤/NNG+을/JKO
따라	따르/VV+아/EC
하는	하/VV+는/ETM
그냥	그냥/MAG
두느냐"며	두/VV+느냐/EF+"/SS+며/EC
아내에게	아내/NNG+에게/JKB
버럭	버럭/MAG
소리를	소리/NNG+를/JKO
질렀다.	지르/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.36.5.1
본지가 서울 노량진 비상 에듀 학원과 미아동 비상 아이비츠 학원에 다니는 중고생 151명(고교생 86명, 중학생 65명)에게 설문조사를 벌인 결과, '아브라카다브라' 뮤직 비디오를 본 학생은 109명(72%)에 달했다.

본지가	본지/NNG+가/JKS
서울	서울/NNP
노량진	노량진/NNP
비상	비상/NNP
에듀	에듀/NNP
학원과	학원/NNG+과/JC
미아동	미아동/NNP
아이비츠	아이비츠/NNP
학원에	학원/NNG+에/JKB
다니는	다니/VV+는/ETM
중고생	중/NNG+고/NNG+생/XSN
151명(고교생	151/SN+명/NNB+(/SS+고교/NNG+생/XSN
86명,	86/SN+명/NNB+,/SP
중학생	중학/NNG+생/XSN
65명)에게	65/SN+명/NNB+)/SS+에게/JKB
설문조사를	설문/NNG+조사/NNG+를/JKO
벌인	벌이/VV+ㄴ/ETM
결과,	결과/NNG+,/SP
'아브라카다브라'	'/SS+아브라카다브라/NNP+'/SS
뮤직	뮤직/NNG
비디오를	비디오/NNG+를/JKO
본	보/VV+ㄴ/ETM
학생은	학생/NNG+은/JX
109명(72%)에	109/SN+명/NNB+(/SS+72/SN+%/SW+)/SS+에/JKB
달했다.	달하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.36.5.2
성 관계를 연상시키는 장면이 가득한 박진영의 '노 러브 노 모어(No Love No More)', 아이비의 '터치 미(Touch Me)' 뮤직 비디오를 본 학생도 각각 42명, 35명이었다.

성	성/NNG
