# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.298
metadata : {}


# id : NWRW1800000025.298.1.1
세종연-한경연 통합 ‘배경’ 논란

세종연-한경연	세종연/NNP+-/SO+한경연/NNP
통합	통합/NNG
‘배경’	‘/SS+배경/NNG+’/SS
논란	논란/NNG


# id : NWRW1800000025.298.2.1
통일·외교·안보 분야의 공익연구기관인 세종연구소와 전국경제인연합회(전경련) 산하 한국경제연구원의 통합 움직임을 두고 21일 국회 외교통상통일위원회 국정감사에서 정부 개입 논란이 벌어졌다.

통일·외교·안보	통일/NNG+·/SP+외교/NNG+·/SP+안보/NNG
분야의	분야/NNG+의/JKG
공익연구기관인	공익/NNG+연구/NNG+기관/NNG+이/VCP+ㄴ/ETM
세종연구소와	세종연구소/NNP+와/JC
전국경제인연합회(전경련)	전국경제인연합회/NNP+(/SS+전경련/NNP+)/SS
산하	산하/NNG
한국경제연구원의	한국경제연구원/NNP+의/JKG
통합	통합/NNG
움직임을	움직임/NNG+을/JKO
두고	두/VV+고/EC
21일	21/SN+일/NNB
국회	국회/NNG
외교통상통일위원회	외교/NNG+통상/NNG+통일/NNG+위원회/NNG
국정감사에서	국정/NNG+감사/NNG+에서/JKB
정부	정부/NNG
개입	개입/NNG
논란이	논란/NNG+이/JKS
벌어졌다.	벌어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.298.2.2
이 문제는 유명환 전 외교통상부 장관과 조석래 전경련 회장, 공로명 세종재단 이사장이 올해 2월 초 만나 두 기관의 통합 문제를 논의했다는 소식이 알려지면서 불거졌다.

이	이/MMD
문제는	문제/NNG+는/JX
유명환	유명환/NNP
전	전/MMD
외교통상부	외교/NNG+통상부/NNG
장관과	장관/NNG+과/JC
조석래	조석래/NNP
전경련	전경련/NNP
회장,	회장/NNG+,/SP
공로명	공로명/NNP
세종재단	세종재단/NNP
이사장이	이사장/NNG+이/JKS
올해	올해/NNG
2월	2/SN+월/NNB
초	초/NNB
만나	만나/VV+아/EC
두	두/MMN
기관의	기관/NNG+의/JKG
통합	통합/NNG
문제를	문제/NNG+를/JKO
논의했다는	논의/NNG+하/XSV+았/EP+다는/ETM
소식이	소식/NNG+이/JKS
알려지면서	알려지/VV+면서/EC
