# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.214
metadata : {}


# id : NWRW1800000024.214.1.1
나눔·사랑 필요한 곳이면 어디든 가지요

나눔·사랑	나누/VV+ㅁ/ETN+·/SP+사랑/NNG
필요한	필요/NNG+하/XSA+ㄴ/ETM
곳이면	곳/NNG+이/VCP+면/EC
어디든	어디/NP+든/JX
가지요	가/VV+지요/EF


# id : NWRW1800000024.214.2.1
“움직이는 ‘아름다운 가게’ 보셨나요?”

“움직이는	“/SS+움직이/VV+는/ETM
‘아름다운	‘/SS+아름답/VA+ㄴ/ETM
가게’	가게/NNG+’/SS
보셨나요?”	보/VV+시/EP+었/EP+나/EF+요/JX+?/SF+”/SS


# id : NWRW1800000024.214.3.1
기증한 물품을 팔아 홀로 사는 노인과 결손가정 등을 돕는 아름다운 가게가 버스로 변신했다.

기증한	기증/NNG+하/XSV+ㄴ/ETM
물품을	물품/NNG+을/JKO
팔아	팔/VV+아/EC
홀로	홀로/MAG
사는	살/VV+는/ETM
노인과	노인/NNG+과/JC
결손가정	결손/NNG+가정/NNG
등을	등/NNB+을/JKO
돕는	돕/VV+는/ETM
아름다운	아름답/VA+ㄴ/ETM
가게가	가게/NNG+가/JKS
버스로	버스/NNG+로/JKB
변신했다.	변신/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.214.4.1
한국마사회 제주경마본부가 45인승 버스를 ‘아름다운 가게 제주경마공원점’으로 꾸며 27일 오전 제주경마공원 내 청동마상 앞에서 개점식을 연다.

한국마사회	한국마사회/NNP
제주경마본부가	제주경마본부/NNP+가/JKS
45인승	45인승/NNG
버스를	버스/NNG+를/JKO
‘아름다운	‘/SS+아름답/VA+ㄴ/ETM
가게	가게/NNG
제주경마공원점’으로	제주경마공원점/NNP+’/SS+으로/JKB
꾸며	꾸미/VV+어/EC
27일	27/SN+일/NNB
오전	오전/NNG
제주경마공원	제주경마공원/NNP
내	내/NNB
청동마상	청동/NNG+마상/NNG
앞에서	앞/NNG+에서/JKB
개점식을	개점식/NNG+을/JKO
연다.	열/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.214.4.2
이 아름다운 가게는 전국에서 유일하게 이동식으로 운영된다.

이	이/MMD
아름다운	아름답/VA+ㄴ/ETM
가게는	가게/NNG+는/JX
전국에서	전국/NNG+에서/JKB
유일하게	유일/NNG+하/XSA+게/EC
이동식으로	이동식/NNG+으로/JKB
운영된다.	운영/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000024.214.5.1
제주경마본부가 버스에 아름다운 가게를 낸 것은 경마공원 안에 있는 기존의 가게가 일주일에 이틀만 열려 매출 실적이 크게 늘지 않기 때문이다.

제주경마본부가	제주경마본부/NNP+가/JKS
버스에	버스/NNG+에/JKB
아름다운	아름답/VA+ㄴ/ETM
가게를	가게/NNG+를/JKO
낸	내/VV+ㄴ/ETM
것은	것/NNB+은/JX
경마공원	경마/NNG+공원/NNG
안에	안/NNG+에/JKB
있는	있/VA+는/ETM
기존의	기존/NNG+의/JKG
가게가	가게/NNG+가/JKS
일주일에	일주일/NNG+에/JKB
이틀만	이틀/NNG+만/JX
열려	열리/VV+어/EC
매출	매출/NNG
실적이	실적/NNG+이/JKS
크게	크/VA+게/EC
늘지	늘/VV+지/EC
않기	않/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.214.5.2
2007년 3월 경마공원 안에 개점한 아름다운 가게는 지금까지 2천여만원의 수익을 올려 95가구와 5개 단체에 생필품과 성금을 전달했다.

2007년	2007/SN+년/NNB
3월	3/SN+월/NNB
경마공원	경마/NNG+공원/NNG
안에	안/NNG+에/JKB
개점한	개점/NNG+하/XSV+ㄴ/ETM
아름다운	아름답/VA+ㄴ/ETM
가게는	가게/NNG+는/JX
지금까지	지금/NNG+까지/JX
2천여만원의	2/SN+천/NR+여/XSN+만/NR+원/NNB+의/JKG
수익을	수익/NNG+을/JKO
올려	올리/VV+어/EC
95가구와	95/SN+가구/NNG+와/JC
5개	5/SN+개/NNB
단체에	단체/NNG+에/JKB
생필품과	생필품/NNG+과/JC
성금을	성금/NNG+을/JKO
전달했다.	전달/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.214.5.3
고민하던 경마본부 쪽은 아예 시민들을 적극적으로 찾아가고, 이색적으로 보이도록 하기 위해 이동형 가게를 생각해냈다.

고민하던	고민/NNG+하/XSV+던/ETM
경마본부	경마/NNG+본부/NNG
쪽은	쪽/NNB+은/JX
아예	아예/MAG
시민들을	시민/NNG+들/XSN+을/JKO
적극적으로	적극/NNG+적/XSN+으로/JKB
찾아가고,	찾아가/VV+고/EC+,/SP
이색적으로	이색/NNG+적/XSN+으로/JKB
보이도록	보이/VV+도록/EC
하기	하/VX+기/ETN
위해	위하/VV+아/EC
이동형	이동/NNG+형/XSN
가게를	가게/NNG+를/JKO
