# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.193
metadata : {}


# id : NWRW1800000028.193.1.1
“월드컵 한국경기날, 여기로 모여라

“월드컵	“/SS+월드컵/NNG
한국경기날,	한국/NNP+경기/NNG+날/NNG+,/SP
여기로	여기/NP+로/JKB
모여라	모이/VV+어라/EF


# id : NWRW1800000028.193.2.1
2010 남아공월드컵 한국 경기가 열리는 날, 영남에서도 지역 곳곳에서 거리응원이 펼쳐진다.

2010	2010/SN
남아공월드컵	남아공/NNP+월드컵/NNG
한국	한국/NNP
경기가	경기/NNG+가/JKS
열리는	열리/VV+는/ETM
날,	날/NNG+,/SP
영남에서도	영남/NNP+에서/JKB+도/JX
지역	지역/NNG
곳곳에서	곳곳/NNG+에서/JKB
거리응원이	거리/NNG+응원/NNG+이/JKS
펼쳐진다.	펼쳐지/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.193.2.2
2002년과 2006년에 견줘 월드컵 열기는 다소 덜 달아올랐지만 거리응원장은 곳곳에 준비되고 있다.

2002년과	2002/SN+년/NNB+과/JC
2006년에	2006/SN+년/NNB+에/JKB
견줘	견주/VV+어/EC
월드컵	월드컵/NNG
열기는	열기/NNG+는/JX
다소	다소/MAG
덜	덜/MAG
달아올랐지만	달아오르/VV+았/EP+지만/EC
거리응원장은	거리/NNG+응원장/NNG+은/JX
곳곳에	곳곳/NNG+에/JKB
준비되고	준비/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.193.3.1
부산에선 2002년 한·일월드컵 때 한국팀이 첫승을 올린 아시아드 주경기장과 해운대 백사장, 롯데백화점 광복동지점, 부산역 광장, 부산대 도시철도역 온천천변, 스포원파크, 태종대유원지 광장 등 시내 곳곳에서 대규모 응원이 펼쳐진다.

부산에선	부산/NNP+에서/JKB+ㄴ/JX
2002년	2002/SN+년/NNB
한·일월드컵	한·일/NNP+월드컵/NNG
때	때/NNG
한국팀이	한국/NNP+팀/NNG+이/JKS
첫승을	첫/MMN+승/NNG+을/JKO
