# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.117
metadata : {}


# id : NWRW1800000054.117.1.1
박정환, 한·중 1위 대결서 커제 격파

박정환,	박정환/NNP+,/SP
한·중	한·중/NNP
1위	1/SN+위/NNB
대결서	대결/NNG+서/JKB
커제	커제/NNP
격파	격파/NNG


# id : NWRW1800000054.117.2.1
몽백합배 16강전서 백 2집반 승… 공식전 통산 5승 4패로 앞서

몽백합배	몽백합/NNG+배/NNB
16강전서	16/SN+강전/NNB+서/JKB
백	백/NNG
2집반	2/SN+집/NNG+반/NNG
승…	승/NNG+…/SE
공식전	공식전/NNG
통산	통산/NNG
5승	5/SN+승/NNB
4패로	4/SN+패/NNB+로/JKB
앞서	앞서/VV+어/EF


# id : NWRW1800000054.117.3.1
박정환(24) 9단이 한·중 바둑 톱스타 대결에서 통쾌한 승리를 따냈다.

박정환(24)	박정환/NNP+(/SS+24/SN+)/SS
9단이	9/SN+단/NNG+이/JKS
한·중	한·중/NNP
바둑	바둑/NNG
톱스타	톱스타/NNG
대결에서	대결/NNG+에서/JKB
통쾌한	통쾌/NNG+하/XSA+ㄴ/ETM
승리를	승리/NNG+를/JKO
따냈다.	따내/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.117.3.2
박 9단은 24일 중국 안후이(安徽)성 퉁링(銅陵)서 벌어진 제3회 몽백합배 세계바둑오픈 16강전서 커제(柯潔·20) 9단과 격돌, 5시간 10분에 걸친 대접전 끝에 320수 만에 백으로 2집 반승했다.

박	박/NNP
9단은	9/SN+단/NNG+은/JX
24일	24/SN+일/NNB
중국	중국/NNP
안후이(安徽)성	안후이/NNP+(/SS+安徽/SH+)/SS+성/NNG
퉁링(銅陵)서	퉁링/NNP+(/SS+銅陵/SH+)/SS+서/JKB
벌어진	벌어지/VV+ㄴ/ETM
제3회	제/XPN+3/SN+회/NNB
몽백합배	몽백합/NNG+배/NNB
세계바둑오픈	세계/NNG+바둑/NNG+오픈/NNG
16강전서	16/SN+강전/NNB+서/JKB
커제(柯潔·20)	커제/NNP+(/SS+柯潔/SH+·/SP+20/SN+)/SS
9단과	9/SN+단/NNG+과/JKB
격돌,	격돌/NNG+,/SP
5시간	5/SN+시간/NNB
10분에	10/SN+분/NNB+에/JKB
걸친	걸치/VV+ㄴ/ETM
대접전	대/XPN+접전/NNG
끝에	끝/NNG+에/JKB
320수	320/SN+수/NNB
만에	만/NNB+에/JKB
백으로	백/NNG+으로/JKB
2집	2/SN+집/NNG
반승했다.	반/NNG+승/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.117.3.3
박정환은 현재 45개월 연속, 현역 세계 2관왕인 커제는 23개월 연속 자국 랭킹 1위를 지켜온 양국 간판스타들이다.

박정환은	박정환/NNP+은/JX
현재	현재/MAG
45개월	45/SN+개월/NNB
연속,	연속/NNG+,/SP
현역	현역/NNG
세계	세계/NNG
2관왕인	2관왕/NNG+이/VCP+ㄴ/ETM
커제는	커제/NNP+는/JX
23개월	23/SN+개월/NNB
연속	연속/NNG
자국	자국/NNG
랭킹	랭킹/NNG
1위를	1/SN+위/NNB+를/JKO
