# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.46
metadata : {}


# id : NWRW1800000025.46.1.1
[밴쿠버 스펀지]위 부담 적게 分단위 식사… 빙속 ‘과학적 밥심’

[밴쿠버	[/SS+밴쿠버/NNP
스펀지]위	스펀지/NNG+]/SS+위/NNG
부담	부담/NNG
적게	적/VA+게/EC
分단위	分/SH+단위/NNG
식사…	식사/NNG+…/SE
빙속	빙속/NNG
‘과학적	‘/SS+과학/NNG+적/XSN
밥심’	밥심/NNG+’/SS


# id : NWRW1800000025.46.2.1
지난해 4월 태릉선수촌.

지난해	지난해/NNG
4월	4/SN+월/NNB
태릉선수촌.	태릉선수촌/NNP+./SF


# id : NWRW1800000025.46.2.2
스피드스케이팅 대표팀 김관규 감독과 선수 17명이 한 강의실에 모였다.

스피드스케이팅	스피드/NNG+스케이팅/NNG
대표팀	대표/NNG+팀/NNG
김관규	김관규/NNP
감독과	감독/NNG+과/JC
선수	선수/NNG
17명이	17/SN+명/NNB+이/JKS
한	한/MMN
강의실에	강의실/NNG+에/JKB
모였다.	모이/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.46.2.3
강의 주제는 ‘시즌, 비시즌별 식사 스케줄 계획’.

강의	강의/NNG
주제는	주제/NNG+는/JX
‘시즌,	‘/SS+시즌/NNG+,/SP
비시즌별	비/XPN+시즌/NNG+별/XSN
식사	식사/NNG
스케줄	스케줄/NNG
계획’.	계획/NNG+’/SS+./SF


# id : NWRW1800000025.46.2.4
강사로 나선 25년 경력의 태릉선수촌 조성숙 영양사는 깜짝 놀랐다.

강사로	강사/NNG+로/JKB
나선	나서/VV+ㄴ/ETM
25년	25/SN+년/NNB
경력의	경력/NNG+의/JKG
태릉선수촌	태릉선수촌/NNP
조성숙	조성숙/NNP
영양사는	영양사/NNG+는/JX
깜짝	깜짝/MAG
놀랐다.	놀라/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.46.2.5
선수들이 그의 말을 열심히 받아 적는 등 수업 열기가 너무나 뜨거웠기 때문이다.

선수들이	선수/NNG+들/XSN+이/JKS
그의	그/NP+의/JKG
말을	말/NNG+을/JKO
열심히	열심히/MAG
받아	받/VV+아/EC
적는	적/VV+는/ETM
등	등/NNB
수업	수업/NNG
열기가	열기/NNG+가/JKS
너무나	너무나/MAG
뜨거웠기	뜨겁/VA+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000025.46.2.6
그는 “젊은 선수들은 강의가 끝난 후 질문도 많이 하는 등 관심이 남달랐다.

그는	그/NP+는/JX
“젊은	“/SS+젊/VA+은/ETM
선수들은	선수/NNG+들/XSN+은/JX
강의가	강의/NNG+가/JKS
끝난	끝나/VV+ㄴ/ETM
후	후/NNG
질문도	질문/NNG+도/JX
많이	많이/MAG
하는	하/VV+는/ETM
등	등/NNB
관심이	관심/NNG+이/JKS
남달랐다.	남다르/VA+았/EP+다/EF+./SF


# id : NWRW1800000025.46.2.7
강의시간도 예정보다 30분 이상 길어졌다”며 웃었다.

강의시간도	강의/NNG+시간/NNG+도/JX
예정보다	예정/NNG+보다/JKB
30분	30/SN+분/NNB
이상	이상/NNG
길어졌다”며	길어지/VV+었/EP+다/EF+”/SS+며/EC
웃었다.	웃/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.46.3.1
밴쿠버 겨울올림픽에서 연일 국민에게 기쁨을 선사하며 효자 종목으로 떠오른 스피드스케이팅 선수들의 전략적인 식이요법이 이번 대회 값진 성과의 배경으로 지목돼 눈길을 끈다.

밴쿠버	밴쿠버/NNP
겨울올림픽에서	겨울/NNG+올림픽/NNG+에서/JKB
연일	연일/MAG
국민에게	국민/NNG+에게/JKB
기쁨을	기쁨/NNG+을/JKO
선사하며	선사/NNG+하/XSV+며/EC
효자	효자/NNG
종목으로	종목/NNG+으로/JKB
떠오른	떠오르/VV+ㄴ/ETM
스피드스케이팅	스피드/NNG+스케이팅/NNG
선수들의	선수/NNG+들/XSN+의/JKG
전략적인	전략/NNG+적/XSN+이/VCP+ㄴ/ETM
식이요법이	식이/NNG+요법/NNG+이/JKS
이번	이번/NNG
대회	대회/NNG
값진	값지/VA+ㄴ/ETM
성과의	성과/NNG+의/JKG
배경으로	배경/NNG+으로/JKB
지목돼	지목/NNG+되/XSV+어/EC
눈길을	눈길/NNG+을/JKO
끈다.	끌/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.46.4.1
대표팀 ‘음식 전도사’는 역시 김관규 감독.

대표팀	대표/NNG+팀/NNG
‘음식	‘/SS+음식/NNP
전도사’는	전도사/NNG+’/SS+는/JX
역시	역시/MAG
김관규	김관규/NNP
감독.	감독/NNG+./SF


# id : NWRW1800000025.46.4.2
김 감독은 “0.01초 차로 승부가 갈리기 때문에 컨디션 조절의 핵심은 음식”이라고 할 만큼 식이요법을 중요시 여긴다.

김	김/NNP
감독은	감독/NNG+은/JX
“0.01초	“/SS+0/SN+./SP+01/SN+초/NNB
차로	차/NNG+로/JKB
승부가	승부/NNG+가/JKS
갈리기	갈리/VV+기/ETN
때문에	때문/NNB+에/JKB
컨디션	컨디션/NNG
조절의	조절/NNG+의/JKG
핵심은	핵심/NNG+은/JX
음식”이라고	음식/NNG+”/SS+이라고/JKQ
할	하/VV+ㄹ/ETM
만큼	만큼/NNB
식이요법을	식이/NNG+요법/NNG+을/JKO
중요시	중요/NNG+시/XSN
여긴다.	여기/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.46.4.3
김 감독은 트레이너와 함께 여러 차례 태릉선수촌 영양사들과 상의해 식단을 짰다.

김	김/NNP
감독은	감독/NNG+은/JX
트레이너와	트레이너/NNG+와/JKB
함께	함께/MAG
여러	여러/MMN
차례	차례/NNG
태릉선수촌	태릉선수촌/NNP
영양사들과	영양사/NNG+들/XSN+과/JKB
상의해	상의/NNG+하/XSV+아/EC
식단을	식단/NNG+을/JKO
짰다.	짜/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.46.4.4
체격이 작은 동양 선수들이 다리가 길고 힘이 좋은 서양 선수들과 경쟁하려면 1Cal까지 섬세하게 관리해야 한다는 게 그의 생각.

체격이	체격/NNG+이/JKS
작은	작/VA+은/ETM
동양	동양/NNG
선수들이	선수/NNG+들/XSN+이/JKS
다리가	다리/NNG+가/JKS
길고	길/VA+고/EC
힘이	힘/NNG+이/JKS
좋은	좋/VA+은/ETM
서양	서양/NNG
선수들과	선수/NNG+들/XSN+과/JKB
경쟁하려면	경쟁/NNG+하/XSV+려면/EC
1Cal까지	1/SN+Cal/SW+까지/JX
섬세하게	섬세하/VA+게/EC
관리해야	관리/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
게	거/NNB+이/JKS
그의	그/NP+의/JKG
생각.	생각/NNG+./SF


# id : NWRW1800000025.46.4.5
김 감독은 캐나다에 입성한 뒤에도 시간을 분 단위로 쪼개 식사 계획을 짰다.

김	김/NNP
감독은	감독/NNG+은/JX
캐나다에	캐나다/NNP+에/JKB
입성한	입성/NNG+하/XSV+ㄴ/ETM
뒤에도	뒤/NNG+에/JKB+도/JX
시간을	시간/NNG+을/JKO
분	분/NNG
단위로	단위/NNG+로/JKB
쪼개	쪼개/VV+어/EC
식사	식사/NNG
계획을	계획/NNG+을/JKO
짰다.	짜/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.46.4.6
실제 남자 500m, 1000m에서 잇달아 금, 은메달을 수확하며 ‘국민 남동생’으로 떠오른 모태범(21)은 “위장에 부담을 주지 않으면서 든든한 식사를 한 게 경기 당일 컨디션을 최고로 끌어올리는 데 큰 도움이 됐다”고 전했다.

실제	실제/MAG
남자	남자/NNG
500m,	500/SN+m/SW+,/SP
1000m에서	1000/SN+m/SW+에서/JKB
잇달아	잇달/VV+아/EC
금,	금/NNG+,/SP
은메달을	은메달/NNG+을/JKO
수확하며	수확/NNG+하/XSV+며/EC
‘국민	‘/SS+국민/NNG
남동생’으로	남동생/NNG+’/SS+으로/JKB
떠오른	떠오르/VV+ㄴ/ETM
모태범(21)은	모태범/NNP+(/SS+21/SN+)/SS+은/JX
“위장에	“/SS+위장/NNG+에/JKB
부담을	부담/NNG+을/JKO
주지	주/VV+지/EC
않으면서	않/VX+으면서/EC
든든한	든든하/VA+ㄴ/ETM
식사를	식사/NNG+를/JKO
한	하/VV+ㄴ/ETM
게	거/NNB+이/JKS
경기	경기/NNG
당일	당일/NNG
컨디션을	컨디션/NNG+을/JKO
최고로	최고/NNG+로/JKB
끌어올리는	끌어올리/VV+는/ETM
데	데/NNB
큰	크/VA+ㄴ/ETM
도움이	도움/NNG+이/JKC
됐다”고	되/VV+었/EP+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.46.5.1
특히 금빛 레이스를 펼친 1989년생 동갑내기 모태범과 이상화는 식이요법에서도 금메달감이었다.

특히	특히/MAG
금빛	금빛/NNG
레이스를	레이스/NNG+를/JKO
펼친	펼치/VV+ㄴ/ETM
1989년생	1989/SN+년/NNB+생/XSN
동갑내기	동갑내기/NNG
모태범과	모태범/NNP+과/JC
이상화는	이상화/NNP+는/JX
식이요법에서도	식이/NNG+요법/NNG+에서/JKB+도/JX
금메달감이었다.	금메달감/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000025.46.5.2
모태범은 삼겹살을 먹는 회식 자리에서도 혼자 닭 가슴살을 먹는 등 한 끼 식사도 소홀히 하지 않았다.

모태범은	모태범/NNP+은/JX
삼겹살을	삼겹살/NNG+을/JKO
먹는	먹/VV+는/ETM
회식	회식/NNG
자리에서도	자리/NNG+에서/JKB+도/JX
혼자	혼자/NNG
닭	닭/NNG
가슴살을	가슴살/NNG+을/JKO
등	등/NNB
한	한/MMN
끼	끼/NNG
식사도	식사/NNG+도/JX
소홀히	소홀히/MAG
하지	하/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000025.46.5.3
각종 영양제도 시간에 맞게 꼭 챙겨 먹는 그를 두고 동료 선수들은 ‘애늙은이’란 별명까지 붙여줬다.

각종	각종/NNG
영양제도	영양제/NNG+도/JX
시간에	시간/NNG+에/JKB
맞게	맞/VV+게/EC
꼭	꼭/MAG
챙겨	챙기/VV+어/EC
먹는	먹/VV+는/ETM
그를	그/NP+를/JKO
두고	두/VV+고/EC
동료	동료/NNG
선수들은	선수/NNG+들/XSN+은/JX
‘애늙은이’란	‘/SS+애늙은이/NNG+’/SS+이/VCP+란/ETM
별명까지	별명/NNG+까지/JX
붙여줬다.	붙이/VV+어/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000025.46.6.1
이상화도 마찬가지.

이상화도	이상화/NNP+도/JX
마찬가지.	마찬가지/NNG+./SF


# id : NWRW1800000025.46.6.2
보통 여자 선수들이 비시즌에는 체중을 줄이려고 하는 반면에 이상화는 언제나 ‘적당히’가 없었다.

보통	보통/MAG
여자	여자/NNG
선수들이	선수/NNG+들/XSN+이/JKS
비시즌에는	비/XPN+시즌/NNG+에/JKB+는/JX
체중을	체중/NNG+을/JKO
줄이려고	줄이/VV+려고/EC
하는	하/VX+는/ETM
반면에	반면/NNG+에/JKB
이상화는	이상화/NNP+는/JX
언제나	언제나/MAG
‘적당히’가	‘/SS+적당히/MAG+’/SS+가/JKS
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000025.46.6.3
대표팀 김용수 코치는 “상화는 식사의 양과 질 모두 여자 선수 가운데 단연 돋보였다.

대표팀	대표/NNG+팀/NNG
김용수	김용수/NNP
코치는	코치/NNG+는/JX
“상화는	“/SS+상화/NNP+는/JX
식사의	식사/NNG+의/JKG
양과	양/NNG+과/JC
질	질/NNG
모두	모두/MAG
여자	여자/NNG
선수	선수/NNG
가운데	가운데/NNG
단연	단연/MAG
돋보였다.	돋보이/VV+었/EP+다/EF+./SF


