# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.12
metadata : {}


# id : NWRW1800000032.12.1.1
채권ETF, 수수료 부담 확 줄였다

채권ETF,	채권/NNG+ETF/SL+,/SP
수수료	수수료/NNG
부담	부담/NNG
확	확/MAG
줄였다	줄이/VV+었/EP+다/EF


# id : NWRW1800000032.12.2.1
매매 활성화 위해 ‘거래·청산결제수수료’ 1년간 면제

매매	매매/NNG
활성화	활성/NNG+화/XSN
위해	위하/VV+아/EC
‘거래·청산결제수수료’	‘/SS+거래/NNG+·/SP+청산/NNG+결제/NNG+수수료/NNG+’/SS
1년간	1/SN+년/NNB+간/XSN
면제	면제/NNG


# id : NWRW1800000032.12.3.1
기초자산 지수에 연동해 가격이 변하는 상장지수펀드(ETF)는 거래소에서 주식처럼 사고팔 수 있는 투자상품이다.

기초자산	기초/NNG+자산/NNG
지수에	지수/NNG+에/JKB
연동해	연동/NNG+하/XSV+아/EC
가격이	가격/NNG+이/JKS
변하는	변하/VV+는/ETM
상장지수펀드(ETF)는	상장/NNG+지수/NNG+펀드/NNG+(/SS+ETF/SL+)/SS+는/JX
거래소에서	거래소/NNG+에서/JKB
주식처럼	주식/NNG+처럼/JKB
사고팔	사고팔/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
투자상품이다.	투자/NNG+상품/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.12.3.2
이 가운데 채권을 기초자산으로 하는 채권이티에프의 경우 주식이티에프나 상품이티에프에 비해 인지도가 낮다.

이	이/MMD
가운데	가운데/NNG
채권을	채권/NNG+을/JKO
기초자산으로	기초/NNG+자산/NNG+으로/JKB
하는	하/VV+는/ETM
채권이티에프의	채권/NNG+이티에프/NNG+의/JKG
경우	경우/NNG
주식이티에프나	주식/NNG+이티에프/NNG+나/JC
상품이티에프에	상품/NNG+이티에프/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
인지도가	인지도/NNG+가/JKS
낮다.	낮/VA+다/EF+./SF


# id : NWRW1800000032.12.3.3
하루 평균 거래대금(2010년 기준)은 약 44억원으로 주식관련 이티에프에 견줘 15분의 1 정도밖에 안 된다.

하루	하루/NNG
평균	평균/NNG
거래대금(2010년	거래/NNG+대금/NNG+(/SS+2010/SN+년/NNB
기준)은	기준/NNG+)/SS+은/JX
약	약/MMA
44억원으로	44/SN+억/NR+원/NNB+으로/JKB
주식관련	주식/NNG+관련/NNG
이티에프에	이티에프/NNG+에/JKB
견줘	견주/VV+어/EC
15분의	15/SN+분/XSN+의/JKG
1	1/SN
정도밖에	정도/NNG+밖에/JX
안	안/MAG
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000032.12.4.1
이유는 다른 상품에 비해 불리한 점이 있다는 것이다.

이유는	이유/NNG+는/JX
다른	다른/MMD
상품에	상품/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
불리한	불리/NNG+하/XSA+ㄴ/ETM
점이	점/NNG+이/JKS
있다는	있/VA+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.12.4.2
채권 실물은 이자소득세(15.4%)만 물면 되지만, 채권이티에프의 경우 수익(이자+자본손익) 전체에 배당소득세(15.4%)를 부과한다.

채권	채권/NNG
실물은	실물/NNG+은/JX
이자소득세(15.4%)만	이자/NNG+소득세/NNG+(/SS+15/SN+./SP+4/SN+%/SW+)/SS+만/JX
물면	물/VV+면/EC
되지만,	되/VV+지만/EC+,/SP
채권이티에프의	채권/NNG+이티에프/NNG+의/JKG
경우	경우/NNG
수익(이자+자본손익)	수익/NNG+(/SS+이자/NNG++/SW+자본/NNG+손익/NNG+)/SS
전체에	전체/NNG+에/JKB
배당소득세(15.4%)를	배당/NNG+소득세/NNG+(/SS+15/SN+./SP+4/SN+%/SW+)/SS+를/JKO
부과한다.	부과/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000032.12.4.3
국채선물에 비해서도 15배 이상의 수수료를 부과하고 있어 수수료 측면에서도 불리하다.

국채선물에	국채/NNG+선물/NNG+에/JKB
비해서도	비/NNG+하/XSV+아서/EC+도/JX
15배	15/SN+배/NNG
이상의	이상/NNG+의/JKG
수수료를	수수료/NNG+를/JKO
부과하고	부과/NNG+하/XSV+고/EC
있어	있/VX+어/EC
수수료	수수료/NNG
측면에서도	측면/NNG+에서/JKB+도/JX
불리하다.	불리/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000032.12.5.1
한국거래소는 채권이티에프의 거래 활성화를 위해 거래소가 부과하는 수수료를 다음달 1일부터 1년 동안 한시 면제하기로 했다.

한국거래소는	한국거래소/NNP+는/JX
채권이티에프의	채권/NNG+이티에프/NNG+의/JKG
거래	거래/NNG
활성화를	활성/NNG+화/XSN+를/JKO
위해	위하/VV+아/EC
거래소가	거래소/NNG+가/JKS
부과하는	부과/NNG+하/XSV+는/ETM
수수료를	수수료/NNG+를/JKO
다음달	다음/NNG+달/NNG
1일부터	1/SN+일/NNB+부터/JX
1년	1/SN+년/NNB
동안	동안/NNG
한시	한시/NNG
면제하기로	면제/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.12.5.2
면제기간 연장 여부는 시장 상황에 따라 추후 결정한다.

면제기간	면제/NNG+기간/NNG
연장	연장/NNG
여부는	여부/NNG+는/JX
시장	시장/NNG
상황에	상황/NNG+에/JKB
따라	따르/VV+아/EC
추후	추후/NNG
결정한다.	결정/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000032.12.5.3
이 기간에 국내 채권을 기초자산으로 거래소에 상장된 모든 채권이티에프의 수수료를 면제해준다.

이	이/MMD
기간에	기간/NNG+에/JKB
국내	국내/NNG
채권을	채권/NNG+을/JKO
기초자산으로	기초/NNG+자산/NNG+으로/JKB
거래소에	거래소/NNG+에/JKB
상장된	상장/NNG+되/XSV+ㄴ/ETM
모든	모든/MMN
채권이티에프의	채권/NNG+이티에프/NNG+의/JKG
수수료를	수수료/NNG+를/JKO
면제해준다.	면제/NNG+하/XSV+아/EC+주/VX+ㄴ다/EF+./SF


