# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.189
metadata : {}


# id : NWRW1800000030.189.1.1
든든하다 김동욱! 인삼공사戰 21점, 삼성 4연승 이끌어

든든하다	든든하/VA+다/EF
김동욱!	김동욱/NNP+!/SF
인삼공사戰	인삼공사/NNP+戰/SH
21점,	21/SN+점/NNB+,/SP
삼성	삼성/NNP
4연승	4/SN+연승/NNG
이끌어	이끌/VV+어/EF


# id : NWRW1800000030.189.2.1
"질 때까지 안 깎을래요." 프로농구 삼성의 포워드 김동욱(30)은 6일 인삼공사와 홈경기에서 95대88 승리를 거두고 이렇게 말했다.

"질	"/SS+지/VV+ㄹ/ETM
때까지	때/NNG+까지/JX
안	안/MAG
깎을래요."	깎/VV+을래/EF+요/JX+./SF+"/SS
프로농구	프로/NNG+농구/NNG
삼성의	삼성/NNP+의/JKG
포워드	포워드/NNG
김동욱(30)은	김동욱/NNP+(/SS+30/SN+)/SS+은/JX
6일	6/SN+일/NNB
인삼공사와	인삼공사/NNP+와/JC
홈경기에서	홈경기/NNG+에서/JKB
95대88	95/SN+대/NNB+88/SN
승리를	승리/NNG+를/JKO
거두고	거두/VV+고/EC
이렇게	이렇/VA+게/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.189.2.2
그의 얼굴엔 새해 첫날부터 깎지 않은 수염이 덥수룩하게 자라 있었다.

그의	그/NP+의/JKG
얼굴엔	얼굴/NNG+에/JKB+ㄴ/JX
새해	새해/NNG
첫날부터	첫날/NNG+부터/JX
깎지	깎/VV+지/EC
않은	않/VX+은/ETM
수염이	수염/NNG+이/JKS
덥수룩하게	덥수룩하/VA+게/EC
자라	자라/VV+아/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000030.189.2.3
그는 지난 1일 오리온스전부터 네 경기째 이어진 팀의 연승이 끝날 때까지 면도하지 않겠다고 했다.

그는	그/NP+는/JX
지난	지나/VV+ㄴ/ETM
1일	1/SN+일/NNB
오리온스전부터	오리온스전/NNG+부터/JX
네	네/MMN
경기째	경기/NNG+째/XSN
이어진	이어지/VV+ㄴ/ETM
팀의	팀/NNG+의/JKG
연승이	연승/NNG+이/JKS
끝날	끝나/VV+ㄹ/ETM
때까지	때/NNG+까지/JX
면도하지	면도/NNG+하/XSV+지/EC
