# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.210
metadata : {}


# id : NWRW1800000029.210.1.1
자살 KAIST 교수 논문 국제학술지 표지논문에

자살	자살/NNG
KAIST	KAIST/SL
교수	교수/NNG
논문	논문/NNG
국제학술지	국제/NNG+학술지/NNG
표지논문에	표지/NNG+논문/NNG+에/JKB


# id : NWRW1800000029.210.2.1
‘홍합의 바위 밀착’ 모방

‘홍합의	‘/SS+홍합/NNG+의/JKG
바위	바위/NNG
밀착’	밀착/NNG+’/SS
모방	모방/NNG


# id : NWRW1800000029.210.3.1
초고강도 탄소섬유 개발… “생전 통보받고 기뻐했는데…”

초고강도	초/XPN+고/XPN+강도/NNG
탄소섬유	탄소/NNG+섬유/NNG
개발…	개발/NNG+…/SE
“생전	“/SS+생전/NNG
통보받고	통보/NNG+받/XSV+고/EC
기뻐했는데…”	기뻐하/VV+았/EP+는데/EC+…/SE+”/SS


# id : NWRW1800000029.210.4.1
지난달 스스로 목숨을 끊은 KAIST P 교수의 유고(遺稿) 논문이 유명 학술지의 표지논문(사진)으로 게재됐다.

지난달	지난달/NNG
스스로	스스로/MAG
목숨을	목숨/NNG+을/JKO
끊은	끊/VV+은/ETM
KAIST	KAIST/SL
P	P/SL
교수의	교수/NNG+의/JKG
유고(遺稿)	유고/NNG+(/SS+遺稿/SH+)/SS
논문이	논문/NNG+이/JKS
유명	유명/NNG
학술지의	학술지/NNG+의/JKG
표지논문(사진)으로	표지/NNG+논문/NNG+(/SS+사진/NNG+)/SS+으로/JKB
게재됐다.	게재/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000029.210.4.2
이 논문은 3월 초 게재 승인이 떨어져 P 교수는 이 사실을 알고 있었던 것으로 전해졌다.

이	이/MMD
논문은	논문/NNG+은/JX
3월	3/SN+월/NNB
초	초/NNB
게재	게재/NNG
승인이	승인/NNG+이/JKS
떨어져	떨어지/VV+어/EC
P	P/SL
교수는	교수/NNG+는/JX
사실을	사실/NNG+을/JKO
알고	알/VV+고/EC
있었던	있/VX+었/EP+던/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000029.210.5.1
P 교수가 KAIST 신소재공학과 홍순형 교수, 화학과 이해신 교수와 함께 연구한 것은 홍합의 생체구조를 모방한 초고강도 전도성 섬유 제조기술이다.

P	P/SL
교수가	교수/NNG+가/JKS
KAIST	KAIST/SL
신소재공학과	신/XPN+소재/NNG+공학과/NNG
홍순형	홍순형/NNP
교수,	교수/NNG+,/SP
화학과	화학과/NNG
이해신	이해신/NNP
교수와	교수/NNG+와/JKB
함께	함께/MAG
연구한	연구/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
홍합의	홍합/NNG+의/JKG
생체구조를	생체/NNG+구조/NNG+를/JKO
모방한	모방/NNG+하/XSV+ㄴ/ETM
초고강도	초/XPN+고/XPN+강도/NNG
전도성	전도/NNG+성/XSN
섬유	섬유/NNG
제조기술이다.	제조/NNG+기술/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.210.5.2
이 내용은 재료분야 유명 학술지인 ‘어드밴스드 머티리얼스(Advanced Materials)’ 3일자 표지논문으로 소개됐다.

이	이/MMD
내용은	내용/NNG+은/JX
재료분야	재료/NNG+분야/NNG
유명	유명/NNG
학술지인	학술지/NNG+이/VCP+ㄴ/ETM
‘어드밴스드	‘/SS+어드밴스드/NNG
머티리얼스(Advanced	머티리얼스/NNG+(/SS+Advanced/SL
Materials)’	Materials/SL+)/SS+’/SS
3일자	3/SN+일/NNB+자/NNG
표지논문으로	표지/NNG+논문/NNG+으로/JKB
소개됐다.	소개/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000029.210.5.3
P 교수는 이 논문의 연구 책임자로 참여했다.

P	P/SL
교수는	교수/NNG+는/JX
이	이/MMD
논문의	논문/NNG+의/JKG
연구	연구/NNG
책임자로	책임자/NNG+로/JKB
참여했다.	참여/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.210.6.1
홍합은 실 같은 조직을 뻗어 바위에 달라붙는다.

홍합은	홍합/NNG+은/JX
실	실/NNG
같은	같/VA+은/ETM
조직을	조직/NNG+을/JKO
뻗어	뻗/VV+어/EC
바위에	바위/NNG+에/JKB
달라붙는다.	달라붙/VV+는다/EF+./SF


# id : NWRW1800000029.210.6.2
콜라겐 섬유와 카테콜아민이라는 성분이 그물처럼 얽혀 있어 태풍에도 떨어지지 않을 정도로 접착력이 강하다.

콜라겐	콜라겐/NNG
섬유와	섬유/NNG+와/JC
카테콜아민이라는	카테콜아민/NNG+이/VCP+라는/ETM
성분이	성분/NNG+이/JKS
그물처럼	그물/NNG+처럼/JKB
얽혀	얽히/VV+어/EC
있어	있/VX+어/EC
태풍에도	태풍/NNG+에/JKB+도/JX
떨어지지	떨어지/VV+지/EC
않을	않/VX+을/ETM
정도로	정도/NNG+로/JKB
접착력이	접착력/NNG+이/JKS
강하다.	강하/VA+다/EF+./SF


# id : NWRW1800000029.210.6.3
연구진은 이를 모방해 콜라겐 섬유 대신 탄소나노튜브를, 카테콜아민 대신 고분자 접착제를 써 새로운 탄소나노튜브 섬유를 개발했다.

연구진은	연구진/NNG+은/JX
이를	이/NP+를/JKO
모방해	모방/NNG+하/XSV+아/EC
콜라겐	콜라겐/NNG
섬유	섬유/NNG
대신	대신/NNG
탄소나노튜브를,	탄소/NNG+나노/NNG+튜브/NNG+를/JKO+,/SP
카테콜아민	카테콜아민/NNG
고분자	고/XPN+분자/NNG
접착제를	접착제/NNG+를/JKO
써	쓰/VV+어/EC
새로운	새롭/VA+ㄴ/ETM
탄소나노튜브	탄소/NNG+나노/NNG+튜브/NNG
섬유를	섬유/NNG+를/JKO
개발했다.	개발/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.210.6.4
이 교수는 “탄소나노튜브는 길이가 수 나노미터(nm·1nm는 10억분의 1m)에 불과해 상용화가 어렵지만 이번 연구로 수 m로 만들 수 있게 됐다”며 “P 교수가 논문 게재 사실을 알고 매우 기뻐했다”고 말했다.

이	이/MMD
교수는	교수/NNG+는/JX
“탄소나노튜브는	“/SS+탄소/NNG+나노/NNG+튜브/NNG+는/JX
길이가	길이/NNG+가/JKS
수	수/NNB
나노미터(nm·1nm는	나노미터/NNB+(/SS+nm/SW+·/SP+1/SN+nm/SW+는/JX
10억분의	10/SN+억/NR+분/XSN+의/JKG
1m)에	1/SN+m/SW+)/SS+에/JKB
불과해	불과/MAG+하/XSA+아/EC
상용화가	상용/NNG+화/XSN+가/JKS
어렵지만	어렵/VA+지만/EC
이번	이번/NNG
연구로	연구/NNG+로/JKB
m로	m/SW+로/JKB
만들	만들/VV+ㄹ/ETM
있게	있/VA+게/EC
됐다”며	되/VV+었/EP+다/EF+”/SS+며/EC
“P	“/SS+P/SL
교수가	교수/NNG+가/JKS
논문	논문/NNG
게재	게재/NNG
사실을	사실/NNG+을/JKO
알고	알/VV+고/EC
매우	매우/MAG
기뻐했다”고	기뻐하/VV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.210.7.1
P 교수는 올해 1월 KAIST로부터 ‘올해의 KAIST인상’을, 2009년에는 미국 생체재료학회로부터 ‘클렘슨상’ 등을 수상해 바이오 재료 분야의 세계 최고 석학으로 평가받았지만 연구비 유용 혐의를 받게 되자 지난달 10일 대전 자택에서 자살했다.

P	P/SL
교수는	교수/NNG+는/JX
올해	올해/NNG
1월	1/SN+월/NNB
KAIST로부터	KAIST/SL+로부터/JKB
‘올해의	‘/SS+올해/NNG+의/JKG
KAIST인상’을,	KAIST인/NNG+상/NNG+’/SS+을/JKO+,/SP
2009년에는	2009/SN+년/NNB+에/JKB+는/JX
미국	미국/NNP
