# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.317
metadata : {}


# id : NWRW1800000025.317.1.1
개인 보증보험 연대보증인 안세워도 된다

개인	개인/NNG
보증보험	보증/NNG+보험/NNG
연대보증인	연대/NNG+보증인/NNG
안세워도	안/MAG+세우/VV+어도/EC
된다	되/VV+ㄴ다/EF


# id : NWRW1800000025.317.2.1
내년부터 자영업자를 포함한 개인은 보증보험에 가입할 때 연대보증인을 세우지 않아도 된다.

내년부터	내년/NNG+부터/JX
자영업자를	자영업자/NNG+를/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
개인은	개인/NNG+은/JX
보증보험에	보증/NNG+보험/NNG+에/JKB
가입할	가입/NNG+하/XSV+ㄹ/ETM
때	때/NNG
연대보증인을	연대/NNG+보증인/NNG+을/JKO
세우지	세우/VV+지/EC
않아도	않/VX+아도/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.317.2.2
또 기업들은 보증계약을 할 때 부족한 자금만큼만 연대보증약정을 맺는 부분연대보증제도가 도입된다.

또	또/MAG
기업들은	기업/NNG+들/XSN+은/JX
보증계약을	보증/NNG+계약/NNG+을/JKO
할	하/VV+ㄹ/ETM
때	때/NNG
부족한	부족/NNG+하/XSA+ㄴ/ETM
자금만큼만	자금/NNG+만큼/JKB+만/JX
연대보증약정을	연대/NNG+보증/NNG+약정/NNG+을/JKO
맺는	맺/VV+는/ETM
부분연대보증제도가	부분/NNG+연대/NNG+보증/NNG+제도/NNG+가/JKS
도입된다.	도입/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.317.3.1
금융감독원과 서울보증보험은 중소기업과 서민층을 지원하기 위해 이 같은 내용의 연대보증제도 개선 방안을 확정하고 내년 1월부터 단계적으로 시행하기로 했다고 7일 밝혔다.

금융감독원과	금융/NNG+감독원/NNG+과/JC
서울보증보험은	서울보증보험/NNP+은/JX
중소기업과	중소기업/NNG+과/JC
서민층을	서민/NNG+층/XSN+을/JKO
지원하기	지원/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
이	이/NP
같은	같/VA+은/ETM
내용의	내용/NNG+의/JKG
연대보증제도	연대/NNG+보증/NNG+제도/NNG
개선	개선/NNG
방안을	방안/NNG+을/JKO
확정하고	확정/NNG+하/XSV+고/EC
내년	내년/NNG
1월부터	1/SN+월/NNB+부터/JX
단계적으로	단계/NNG+적/XSN+으로/JKB
시행하기로	시행/NNG+하/XSV+기/ETN+로/JKB
했다고	하/VV+았/EP+다고/EC
7일	7/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.317.3.2
2008년부터 은행들이 가계대출과 자영업자 대출에 대한 연대보증제도를 단계적으로 폐지해온 데 비해 보증보험에 대한 연대보증제도는 남아있었으나 이번 조치로 연대보증을 요구하는 관행이 크게 줄어들 것으로 전망된다.

2008년부터	2008/SN+년/NNB+부터/JX
은행들이	은행/NNG+들/XSN+이/JKS
가계대출과	가계/NNG+대출/NNG+과/JC
자영업자	자영업자/NNG
대출에	대출/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
연대보증제도를	연대/NNG+보증/NNG+제도/NNG+를/JKO
단계적으로	단계/NNG+적/XSN+으로/JKB
폐지해온	폐지/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
데	데/NNB
비해	비/NNG+하/XSV+아/EC
보증보험에	보증/NNG+보험/NNG+에/JKB
연대보증제도는	연대/NNG+보증/NNG+제도/NNG+는/JX
남아있었으나	남/VV+아/EC+있/VX+었/EP+으나/EC
이번	이번/NNG
조치로	조치/NNG+로/JKB
연대보증을	연대/NNG+보증/NNG+을/JKO
요구하는	요구/NNG+하/XSV+는/ETM
관행이	관행/NNG+이/JKS
크게	크/VA+게/EC
줄어들	줄어들/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망된다.	전망/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.317.4.1
금감원 관계자는 “최근 3년간 110만여 건, 63조4000억 원의 보증계약에 연대보증인이 세워져 연대보증에 대한 의존도가 매우 높았다”며 “이번 개선안이 시행되면 연대보증을 통한 보증계약이 18%가량 줄어들 것”이라고 말했다.

금감원	금감원/NNG
관계자는	관계자/NNG+는/JX
“최근	“/SS+최근/NNG
3년간	3/SN+년/NNB+간/XSN
110만여	110/SN+만/NR+여/XSN
건,	건/NNB+,/SP
63조4000억	63/SN+조/NR+4000/SN+억/NR
원의	원/NNB+의/JKG
