# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.240
metadata : {}


# id : NWRW1800000033.240.1.1
[핀 포인트]축구 ‘전북’ 따로, 지자체 ‘전북’ 따로

[핀	[/SS+핀/NNG
포인트]축구	포인트/NNG+]/SS+축구/NNG
‘전북’	‘/SS+전북/NNP+’/SS
따로,	따로/MAG+,/SP
지자체	지자체/NNG
따로	따로/MAG


# id : NWRW1800000033.240.2.1
“야! 8000여 명이면 수도권에선 수만 명이지.

“야!	“/SS+야/IC+!/SF
8000여	8000/SN+여/XSN
명이면	명/NNB+이/VCP+면/EC
수도권에선	수도/NNG+권/XSN+에서/JKB+ㄴ/JX
수만	수만/NR
명이지.	명/NNB+이/VCP+지/EF+./SF


# id : NWRW1800000033.240.2.2
안 그래?”

안	안/MAG
그래?”	그렇/VA+어/EF+?/SF+”/SS


# id : NWRW1800000033.240.3.1
26일 전주월드컵경기장에서 열린 수원 삼성과의 K리그 경기를 3-1 승리로 마친 전북 현대 관계자들이 하는 푸념이었다.

26일	26/SN+일/NNB
전주월드컵경기장에서	전주월드컵경기장/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
수원	수원/NNP
삼성과의	삼성/NNP+과/JKB+의/JKG
K리그	K/SL+리그/NNG
경기를	경기/NNG+를/JKO
3-1	3/SN+-/SO+1/SN
승리로	승리/NNG+로/JKB
마친	마치/VV+ㄴ/ETM
전북	전북/NNP
현대	현대/NNP
관계자들이	관계자/NNG+들/XSN+이/JKS
하는	하/VV+는/ETM
푸념이었다.	푸념/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.240.3.2
약 2000만 명이 몰려 있는 수도권 인구에 대비해 많이 왔다는 얘기다.

약	약/MMA
2000만	2000/SN+만/NR
명이	명/NNB+이/JKS
몰려	몰리/VV+어/EC
있는	있/VX+는/ETM
수도권	수도/NNG+권/XSN
인구에	인구/NNG+에/JKB
대비해	대비/NNG+하/XSV+아/EC
많이	많이/MAG
왔다는	오/VV+았/EP+다는/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.240.3.3
전주시가 약 60만 명, 전라북도가 약 180만 명이니 그럴 만도 했다.

전주시가	전주시/NNP+가/JKS
약	약/MMA
60만	60/SN+만/NR
명,	명/NNB+,/SP
전라북도가	전라북도/NNP+가/JKS
180만	180/SN+만/NR
명이니	명/NNB+이/VCP+니/EC
그럴	그렇/VA+ㄹ/ETM
만도	만/NNB+도/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.240.3.4
전북 관계자들은 “전북도와 전주시가 좀만 도와주면 더 많이 올 수 있는데…”라며 하소연했다.

전북	전북/NNP
관계자들은	관계자/NNG+들/XSN+은/JX
“전북도와	“/SS+전북도/NNP+와/JC
전주시가	전주시/NNP+가/JKS
좀만	좀/MAG+만/JX
도와주면	도와주/VV+면/EC
더	더/MAG
많이	많이/MAG
올	오/VV+ㄹ/ETM
수	수/NNB
있는데…”라며	있/VV+는데/EC+…/SE+”/SS+이/VCP+라며/EC
하소연했다.	하소연/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.240.4.1
전주월드컵경기장은 전주시 덕진구 반월동으로 시 외곽에 있다.

전주월드컵경기장은	전주월드컵경기장/NNP+은/JX
전주시	전주시/NNP
덕진구	덕진구/NNP
반월동으로	반월동/NNP+으로/JKB
시	시/NNG
외곽에	외곽/NNG+에/JKB
있다.	있/VV+다/EF+./SF


# id : NWRW1800000033.240.4.2
자동차가 아니면 찾기 쉽지 않다.

자동차가	자동차/NNG+가/JKS
아니면	아니/VCN+면/EC
찾기	찾/VV+기/ETN
쉽지	쉽/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000033.240.4.3
버스가 있지만 오후 9시면 끊겨 팬들이 돌아가는 게 힘들어 평일 저녁 경기에는 잘 찾지 않는단다.

버스가	버스/NNG+가/JKS
있지만	있/VV+지만/EC
오후	오후/NNG
9시면	9/SN+시/NNB+이/VCP+면/EC
끊겨	끊기/VV+어/EC
팬들이	팬/NNG+들/XSN+이/JKS
돌아가는	돌아가/VV+는/ETM
게	거/NNB+이/JKS
힘들어	힘들/VA+어/EC
평일	평일/NNG
저녁	저녁/NNG
경기에는	경기/NNG+에/JKB+는/JX
잘	잘/MAG
찾지	찾/VV+지/EC
않는단다.	않/VX+는단다/EF+./SF


# id : NWRW1800000033.240.4.4
최소한 지자체가 버스 회사를 설득해 경기가 열리는 날만이라도 운행을 연장해주는 모습을 보였으면 좋겠다는 것이다.

최소한	최소한/NNG
지자체가	지자체/NNG+가/JKS
버스	버스/NNG
회사를	회사/NNG+를/JKO
설득해	설득/NNG+하/XSV+아/EC
경기가	경기/NNG+가/JKS
열리는	열리/VV+는/ETM
날만이라도	날/NNG+만/JX+이/VCP+라도/EC
운행을	운행/NNG+을/JKO
연장해주는	연장/NNG+하/XSV+아/EC+주/VX+는/ETM
모습을	모습/NNG+을/JKO
보였으면	보이/VV+었/EP+으면/EC
좋겠다는	좋/VA+겠/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.240.4.5
버스 노선도 원래는 없었는데 전북이 시에 간청해 몇 년 전 만들었다고.

버스	버스/NNG
노선도	노선/NNG+도/JX
원래는	원래/NNG+는/JX
없었는데	없/VA+었/EP+는데/EC
전북이	전북/NNP+이/JKS
시에	시/NNG+에/JKB
간청해	간청/NNG+하/XSV+아/EC
몇	몇/NR
년	년/NNB
전	전/NNG
만들었다고.	만들/VV+었/EP+다고/EC+./SF


# id : NWRW1800000033.240.4.6
전북은 버스를 놓친 팬들을 시내까지 데려다주는 서비스까지 해야 하는 형편이다.

전북은	전북/NNP+은/JX
버스를	버스/NNG+를/JKO
놓친	놓치/VV+ㄴ/ETM
팬들을	팬/NNG+들/XSN+을/JKO
시내까지	시내/NNG+까지/JX
데려다주는	데리/VV+어다/EC+주/VX+는/ETM
서비스까지	서비스/NNG+까지/JX
해야	하/VV+아야/EC
하는	하/VX+는/ETM
형편이다.	형편/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.240.5.1
전북의 한 관계자는 “올해가 ‘전북 방문의 해’다.

전북의	전북/NNP+의/JKG
한	한/MMN
관계자는	관계자/NNG+는/JX
“올해가	“/SS+올해/NNG+가/JKS
‘전북	‘/SS+전북/NNP
방문의	방문/NNG+의/JKG
해’다.	해/NNG+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000033.240.5.2
2006년 아시아축구연맹(AFC) 챔피언스리그에서 우승했고 지난해 K리그에서 우승하는 등 전북이 이 지역을 알리는 데 큰 역할을 하는데 지자체는 이에 대한 인식이 전혀 없다”고 말했다.

2006년	2006/SN+년/NNB
아시아축구연맹(AFC)	아시아축구연맹/NNP+(/SS+AFC/SL+)/SS
챔피언스리그에서	챔피언스리그/NNG+에서/JKB
우승했고	우승/NNG+하/XSV+았/EP+고/EC
지난해	지난해/NNG
K리그에서	K/SL+리그/NNG+에서/JKB
우승하는	우승/NNG+하/XSV+는/ETM
등	등/NNB
전북이	전북/NNP+이/JKS
이	이/MMD
지역을	지역/NNG+을/JKO
알리는	알리/VV+는/ETM
데	데/NNB
큰	크/VA+ㄴ/ETM
역할을	역할/NNG+을/JKO
하는데	하/VV+는데/EC
지자체는	지자체/NNG+는/JX
이에	이/NP+에/JKB
대한	대하/VV+ㄴ/ETM
인식이	인식/NNG+이/JKS
전혀	전혀/MAG
없다”고	없/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.240.5.3
