# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.376
metadata : {}


# id : NWRW1800000025.376.1.1
[연평도 사격훈련 단행]인천∼서해5도 여객선 운항 전면중단

[연평도	[/SS+연평도/NNP
사격훈련	사격/NNG+훈련/NNG
단행]인천∼서해5도	단행/NNG+]/SS+인천/NNP+∼/SO+서해5도/NNP
여객선	여객선/NNG
운항	운항/NNG
전면중단	전면/NNG+중단/NNG


# id : NWRW1800000025.376.2.1
우리 군이 20일 연평도에서 해상 사격훈련을 재개함에 따라 서해 5도 전역에 주민 대피령이 내려진 가운데 북한의 추가 도발에 대비해 여객선 운항과 어선의 조업도 전면 통제됐다.

우리	우리/NP
군이	군/NNG+이/JKS
20일	20/SN+일/NNB
연평도에서	연평도/NNP+에서/JKB
해상	해상/NNG
사격훈련을	사격/NNG+훈련/NNG+을/JKO
재개함에	재개/NNG+하/XSV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
서해	서해/NNP
5도	5/SN+도/NNG
전역에	전역/NNG+에/JKB
주민	주민/NNG
대피령이	대피령/NNG+이/JKS
내려진	내려지/VV+ㄴ/ETM
가운데	가운데/NNG
북한의	북한/NNP+의/JKG
추가	추가/NNG
도발에	도발/NNG+에/JKB
대비해	대비/NNG+하/XSV+아/EC
여객선	여객선/NNG
운항과	운항/NNG+과/JC
어선의	어선/NNG+의/JKG
조업도	조업/NNG+도/JX
전면	전면/NNG
통제됐다.	통제/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000025.376.2.2
인천해양경찰서는 이날 오전 군의 통제 요청에 따라 인천 연안부두에서 연평도와 백령도, 대청도 등 서해 5도를 오가는 2개 항로의 여객선 운항을 모두 중단시켰다.

인천해양경찰서는	인천해양경찰서/NNP+는/JX
이날	이날/NNG
오전	오전/NNG
군의	군/NNG+의/JKG
통제	통제/NNG
요청에	요청/NNG+에/JKB
따라	따르/VV+아/EC
인천	인천/NNP
연안부두에서	연안/NNG+부두/NNG+에서/JKB
연평도와	연평도/NNP+와/JC
백령도,	백령도/NNP+,/SP
대청도	대청도/NNP
등	등/NNB
서해	서해/NNP
5도를	5/SN+도/NNG+를/JKO
오가는	오가/VV+는/ETM
2개	2/SN+개/NNB
항로의	항로/NNG+의/JKG
여객선	여객선/NNG
운항을	운항/NNG+을/JKO
모두	모두/MAG
중단시켰다.	중단/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000025.376.2.3
인천 연안을 오가는 나머지 10개 항로의 여객선도 짙은 안개 때문에 통제됐다.

인천	인천/NNP
연안을	연안/NNG+을/JKO
오가는	오가/VV+는/ETM
나머지	나머지/NNG
10개	10/SN+개/NNB
항로의	항로/NNG+의/JKG
여객선도	여객선/NNG+도/JX
짙은	짙/VA+은/ETM
안개	안개/NNG
때문에	때문/NNB+에/JKB
통제됐다.	통제/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000025.376.2.4
이들 항로의 여객선 운항 재개 여부는 추후 군과의 협의를 통해 결정한다는 방침이다.

이들	이/NP+들/XSN
항로의	항로/NNG+의/JKG
여객선	여객선/NNG
운항	운항/NNG
재개	재개/NNG
여부는	여부/NNG+는/JX
추후	추후/NNG
