# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.143
metadata : {}


# id : NWRW1800000024.143.1.1
속속 드러나는 ‘멕시코 부실대응’

속속	속속/MAG
드러나는	드러나/VV+는/ETM
‘멕시코	‘/SS+멕시코/NNP
부실대응’	부실/NNG+대응/NNG+’/SS


# id : NWRW1800000024.143.2.1
돼지인플루엔자가 전세계로 확산되고 있지만 왜 멕시코에서만 150명이 넘는 사망자가 발생한 것일까?

돼지인플루엔자가	돼지/NNG+인플루엔자/NNG+가/JKS
전세계로	전/MMN+세계/NNG+로/JKB
확산되고	확산/NNG+되/XSV+고/EC
있지만	있/VX+지만/EC
왜	왜/MAG
멕시코에서만	멕시코/NNP+에서/JKB+만/JX
150명이	150/SN+명/NNB+이/JKS
넘는	넘/VV+는/ETM
사망자가	사망자/NNG+가/JKS
발생한	발생/NNG+하/XSV+ㄴ/ETM
것일까?	것/NNB+이/VCP+ㄹ까/EF+?/SF


# id : NWRW1800000024.143.3.1
유독 멕시코에서만 사망자가 크게 늘고 있다.

유독	유독/MAG
멕시코에서만	멕시코/NNP+에서/JKB+만/JX
사망자가	사망자/NNG+가/JKS
크게	크/VA+게/EC
늘고	늘/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.143.3.2
미국, 캐나다, 영국 등에선 감염환자가 확인됐지만, 대부분 빠르게 회복되고 있다.

미국,	미국/NNP+,/SP
캐나다,	캐나다/NNP+,/SP
영국	영국/NNP
등에선	등/NNB+에서/JKB+ㄴ/JX
감염환자가	감염/NNG+환자/NNG+가/JKS
확인됐지만,	확인/NNG+되/XSV+었/EP+지만/EC+,/SP
대부분	대/XPN+부분/NNG
빠르게	빠르/VA+게/EC
회복되고	회복/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.143.3.3
<뉴욕 타임스>는 이런 현상이 “가장 미스터리한 부분이다.

<뉴욕	</SS+뉴욕/NNP
타임스>는	타임스/NNP+>/SS+는/JX
이런	이런/MMD
현상이	현상/NNG+이/JKS
“가장	“/SS+가장/MAG
미스터리한	미스터리/NNG+하/XSA+ㄴ/ETM
부분이다.	부분/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.143.3.4
어떤 생물학적 근거를 찾기 어렵다”고 28일(현지시각) 보도했다.

어떤	어떤/MMD
생물학적	생물학/NNG+적/XSN
근거를	근거/NNG+를/JKO
찾기	찾/VV+기/ETN
어렵다”고	어렵/VA+다/EF+”/SS+고/JKQ
