# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.226
metadata : {}


# id : NWRW1800000025.226.1.1
‘서울대 졸업’ 장애인 23명중 취업 3명뿐

‘서울대	‘/SS+서울대/NNP
졸업’	졸업/NNG+’/SS
장애인	장애인/NNG
23명중	23/SN+명/NNB+중/NNB
취업	취업/NNG
3명뿐	3/SN+명/NNB+뿐/JX


# id : NWRW1800000025.226.2.1
장애인 특별전형으로 서울대에 입학한 학생에게도 취업의 벽은 높았다.

장애인	장애인/NNG
특별전형으로	특별/NNG+전형/NNG+으로/JKB
서울대에	서울대/NNP+에/JKB
입학한	입학/NNG+하/XSV+ㄴ/ETM
학생에게도	학생/NNG+에게/JKB+도/JX
취업의	취업/NNG+의/JKG
벽은	벽/NNG+은/JX
높았다.	높/VA+았/EP+다/EF+./SF


# id : NWRW1800000025.226.2.2
동아일보가 2002∼2004년에 장애인 특별전형으로 입학한 서울대생 25명의 진로 현황을 조사한 결과 23명 중 취업을 한 학생은 3명(기업체 2, 공무원 1명)뿐인 것으로 나타났다.

동아일보가	동아일보/NNP+가/JKS
2002∼2004년에	2002/SN+∼/SO+2004/SN+년/NNB+에/JKB
장애인	장애인/NNG
특별전형으로	특별/NNG+전형/NNG+으로/JKB
입학한	입학/NNG+하/XSV+ㄴ/ETM
서울대생	서울대/NNP+생/XSN
25명의	25/SN+명/NNB+의/JKG
진로	진로/NNG
현황을	현황/NNG+을/JKO
조사한	조사/NNG+하/XSV+ㄴ/ETM
결과	결과/NNG
23명	23/SN+명/NNB
중	중/NNB
취업을	취업/NNG+을/JKO
한	하/VV+ㄴ/ETM
학생은	학생/NNG+은/JX
3명(기업체	3/SN+명/NNB+(/SS+기업체/NNG
2,	2/SN+,/SP
공무원	공무원/NNG
1명)뿐인	1/SN+명/NNB+)/SS+뿐/JX+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.226.2.3
일반 기업체에 5명이 취업했지만 올해 입사한 2명을 제외하고 3명은 모두 입사 1년 만에 무직 상태가 됐다.

일반	일반/NNG
기업체에	기업체/NNG+에/JKB
5명이	5/SN+명/NNB+이/JKS
취업했지만	취업/NNG+하/XSV+았/EP+지만/EC
올해	올해/NNG
입사한	입사/NNG+하/XSV+ㄴ/ETM
2명을	2/SN+명/NNB+을/JKO
제외하고	제외/NNG+하/XSV+고/EC
3명은	3/SN+명/NNB+은/JX
모두	모두/MAG
입사	입사/NNG
1년	1/SN+년/NNB
만에	만/NNB+에/JKB
무직	무직/NNG
상태가	상태/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.226.3.1
소아마비로 거동이 불편한 A 씨(법학과·38)는 졸업과 동시에 유명 외국계 기업에 입사했다.

소아마비로	소아마비/NNG+로/JKB
거동이	거동/NNG+이/JKS
불편한	불편/NNG+하/XSA+ㄴ/ETM
A	A/SL
