# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.128
metadata : {}


# id : NWRW1800000028.128.1.1
살아있을거란 희망 버렸지만, 주검이라도…

살아있을거란	살/VV+아/EC+있/VX+을/ETM+거/NNB+이/VCP+란/ETM
희망	희망/NNG
버렸지만,	버리/VV+었/EP+지만/EC+,/SP
주검이라도…	주검/NNG+이라도/JX+…/SE


# id : NWRW1800000028.128.2.1
천안함 침몰 이후 지난 15일까지 주검으로 귀환한 38명과 달리 실종 병사 8명은 아직 돌아오지 못했다.

천안함	천안함/NNP
침몰	침몰/NNG
이후	이후/NNG
지난	지나/VV+ㄴ/ETM
15일까지	15/SN+일/NNB+까지/JX
주검으로	주검/NNG+으로/JKB
귀환한	귀환/NNG+하/XSV+ㄴ/ETM
38명과	38/SN+명/NNB+과/JKB
달리	달리/MAG
실종	실종/NNG
병사	병사/NNG
8명은	8/SN+명/NNB+은/JX
아직	아직/MAG
돌아오지	돌아오/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000028.128.2.2
주검을 찾은 가족들의 오열이 이틀째 이어진 16일, 경기 평택시 해군 2함대 사령부 임시 숙소에서 이들 여덟 가족은 외롭고 참담한 시간을 보냈다.

주검을	주검/NNG+을/JKO
찾은	찾/VV+은/ETM
가족들의	가족/NNG+들/XSN+의/JKG
오열이	오열/NNG+이/JKS
이틀째	이틀/NNG+째/XSN
이어진	이어지/VV+ㄴ/ETM
16일,	16/SN+일/NNB+,/SP
경기	경기/NNP
평택시	평택시/NNP
해군	해군/NNG
2함대	2/SN+함대/NNG
사령부	사령부/NNG
임시	임시/NNG
숙소에서	숙소/NNG+에서/JKB
이들	이/NP+들/XSN
여덟	여덟/NR
가족은	가족/NNG+은/JX
외롭고	외롭/VA+고/EC
참담한	참담/NNG+하/XSA+ㄴ/ETM
시간을	시간/NNG+을/JKO
보냈다.	보내/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.128.3.1
박경수 중사의 사촌형 박경식씨는 “참담하다.

박경수	박경수/NNP
중사의	중사/NNG+의/JKG
사촌형	사촌/NNG+형/NNG
박경식씨는	박경식/NNP+씨/NNB+는/JX
“참담하다.	“/SS+참담/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000028.128.3.2
같이 있던 사람들이 주검이라도 찾는 게 정말 부러울 정도다.

같이	같이/MAG
있던	있/VA+던/ETM
사람들이	사람/NNG+들/XSN+이/JKS
주검이라도	주검/NNG+이라도/JX
찾는	찾/VV+는/ETM
게	거/NNB+이/JKS
정말	정말/MAG
