# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.414
metadata : {}


# id : NWRW1800000036.414.1.1
“과학기술 기반 일자리 창출”…박근혜, 창조경제론 제시

“과학기술	“/SS+과학/NNG+기술/NNG
기반	기반/NNG
일자리	일자리/NNG
창출”…박근혜,	창출/NNG+”/SS+…/SE+박근혜/NNP+,/SP
창조경제론	창조/NNG+경제/NNG+론/XSN
제시	제시/NNG


# id : NWRW1800000036.414.2.1
[한겨레] 대선후보 경제정책 비교

[한겨레]	[/SS+한겨레/NNP+]/SS
대선후보	대선/NNG+후보/NNG
경제정책	경제/NNG+정책/NNG
비교	비교/NNG


# id : NWRW1800000036.414.3.1
관광산업에 정보기술 접목

관광산업에	관광/NNG+산업/NNG+에/JKB
정보기술	정보/NNG+기술/NNG
접목	접목/NNG


# id : NWRW1800000036.414.4.1
미래창조과학부 신설 공약

미래창조과학부	미래/NNG+창조/NNG+과학부/NNG
신설	신설/NNG
공약	공약/NNG


# id : NWRW1800000036.414.5.1
“경제민주화·복지 사라졌다”

“경제민주화·복지	“/SS+경제/NNG+민주/NNG+화/XSN+·/SP+복지/NNG
사라졌다”	사라지/VV+었/EP+다/EF+”/SS


# id : NWRW1800000036.414.6.1
박근혜 새누리당 대통령 후보가 18일 과학기술과 정보기술(IT)을 산업 전반에 접목시켜 일자리를 창출하는 개념의 ‘창조경제론’을 새로운 경제발전 패러다임으로 제시했다.

박근혜	박근혜/NNP
새누리당	새누리당/NNP
대통령	대통령/NNG
후보가	후보/NNG+가/JKS
18일	18/SN+일/NNB
과학기술과	과학/NNG+기술/NNG+과/JC
정보기술(IT)을	정보/NNG+기술/NNG+(/SS+IT/SL+)/SS+을/JKO
산업	산업/NNG
전반에	전반/NNG+에/JKB
접목시켜	접목/NNG+시키/XSV+어/EC
일자리를	일자리/NNG+를/JKO
창출하는	창출/NNG+하/XSV+는/ETM
개념의	개념/NNG+의/JKG
‘창조경제론’을	‘/SS+창조/NNG+경제/NNG+론/XSN+’/SS+을/JKO
새로운	새롭/VA+ㄴ/ETM
경제발전	경제/NNG+발전/NNG
패러다임으로	패러다임/NNG+으로/JKB
제시했다.	제시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.414.6.2
문재인 민주통합당 후보의 공정경제론, 안철수 후보의 혁신경제론과 비교될 것으로 보인다.

문재인	문재인/NNP
민주통합당	민주통합당/NNP
후보의	후보/NNG+의/JKG
공정경제론,	공정/NNG+경제/NNG+론/XSN+,/SP
안철수	안철수/NNP
혁신경제론과	혁신/NNG+경제/NNG+론/XSN+과/JKB
비교될	비교/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.414.7.1
박 후보는 이날 여의도 당사에서 기자회견을 열어 “미래 대한민국의 경제를 이끌어갈 새로운 경제발전 패러다임으로 창조경제론을 제안한다”며 미래창조과학부 신설, 소프트웨어산업 육성, 개방·공유형 ‘창조정부’ 구현, 벤처기업 국외 진출 및 젊은층의 국외 취업 장려 등을 공약으로 제시했다.

박	박/NNP
후보는	후보/NNG+는/JX
이날	이날/NNG
여의도	여의도/NNP
당사에서	당사/NNG+에서/JKB
기자회견을	기자/NNG+회견/NNG+을/JKO
열어	열/VV+어/EC
“미래	“/SS+미래/NNG
대한민국의	대한민국/NNP+의/JKG
경제를	경제/NNG+를/JKO
이끌어갈	이끌/VV+어/EC+가/VX+ㄹ/ETM
새로운	새롭/VA+ㄴ/ETM
경제발전	경제/NNG+발전/NNG
