# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.259
metadata : {}


# id : NWRW1800000030.259.1.1
[조선일보에 비친 ‘모던 조선’] (28) 열차에 뛰어들어 자살한 동성연애 커플

[조선일보에	[/SS+조선일보/NNP+에/JKB
비친	비치/VV+ㄴ/ETM
‘모던	‘/SS+모던/NNG
조선’]	조선/NNP+’/SS+]/SS
(28)	(/SS+28/SN+)/SS
열차에	열차/NNG+에/JKB
뛰어들어	뛰어들/VV+어/EC
자살한	자살/NNG+하/XSV+ㄴ/ETM
동성연애	동성연애/NNG
커플	커플/NNG


# id : NWRW1800000030.259.2.1
봄빛이 완연했던 1931년 4월 8일 오후, 영등포역 부근 철길에서 두 여자가 손을 잡고 달리는 열차에 뛰어들었다.

봄빛이	봄빛/NNG+이/JKS
완연했던	완연하/VA+았/EP+던/ETM
1931년	1931/SN+년/NNB
4월	4/SN+월/NNB
8일	8/SN+일/NNB
오후,	오후/NNG+,/SP
영등포역	영등포역/NNP
부근	부근/NNG
철길에서	철길/NNG+에서/JKB
두	두/MMN
여자가	여자/NNG+가/JKS
손을	손/NNG+을/JKO
잡고	잡/VV+고/EC
달리는	달리/VV+는/ETM
열차에	열차/NNG+에/JKB
뛰어들었다.	뛰어들/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.259.2.2
이 사건의 진상이 뒤늦게 알려지면서 경성은 발칵 뒤집혔다.

이	이/MMD
사건의	사건/NNG+의/JKG
진상이	진상/NNG+이/JKS
뒤늦게	뒤늦/VA+게/EC
알려지면서	알려지/VV+면서/EC
경성은	경성/NNP+은/JX
발칵	발칵/MAG
뒤집혔다.	뒤집히/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.259.2.3
두 여성이 동성연애하던 사이이며, 모두 내로라하는 장안 명문집안의 딸들이었기 때문이다.

두	두/MMN
여성이	여성/NNG+이/JKS
동성연애하던	동성연애/NNG+하/XSV+던/ETM
사이이며,	사이/NNG+이/VCP+며/EC+,/SP
모두	모두/MAG
내로라하는	내로라하/VV+는/ETM
장안	장안/NNG
명문집안의	명문/NNG+집안/NNG+의/JKG
딸들이었기	딸/NNG+들/XSN+이/VCP+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.259.2.4
10일자 조선일보는 이렇게 전했다.

10일자	10/SN+일/NNB+자/NNG
조선일보는	조선일보/NNP+는/JX
이렇게	이렇/VA+게/EC
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.259.3.1
"팔일 오후 네시 사십오분 경인선 오류동역을 출발한 경성행 열차가 영등포 정거장 부근 경부선 분기점에 달했을 때, 두 명의 여성이 서로 붙들고 뛰어들어 무참히 즉사했다… 그들은 종로 덕흥서림 주인 김동진의 딸 김용주(19)와 '세부란스' 병원 홍석후 박사의 딸 홍옥임(21)으로 판명되었다.

"팔일	"/SS+팔/NR+일/NNB
오후	오후/NNG
네시	네/MMN+시/NNB
사십오분	사십오/NR+분/NNB
경인선	경인선/NNP
오류동역을	오류동역/NNP+을/JKO
출발한	출발/NNG+하/XSV+ㄴ/ETM
경성행	경성행/NNG
열차가	열차/NNG+가/JKS
영등포	영등포/NNP
정거장	정거장/NNG
부근	부근/NNG
경부선	경부선/NNP
분기점에	분기점/NNG+에/JKB
달했을	달하/VV+았/EP+을/ETM
때,	때/NNG+,/SP
두	두/MMN
명의	명/NNB+의/JKG
여성이	여성/NNG+이/JKS
서로	서로/MAG
붙들고	붙들/VV+고/EC
뛰어들어	뛰어들/VV+어/EC
무참히	무참히/MAG
즉사했다…	즉사/NNG+하/XSV+았/EP+다/EF+…/SE
그들은	그/NP+들/XSN+은/JX
종로	종로/NNP
덕흥서림	덕흥서림/NNP
주인	주인/NNG
김동진의	김동진/NNP+의/JKG
딸	딸/NNG
김용주(19)와	김용주/NNP+(/SS+19/SN+)/SS+와/JC
'세부란스'	'/SS+세부란스/NNP+'/SS
병원	병원/NNG
홍석후	홍석후/NNP
박사의	박사/NNG+의/JKG
홍옥임(21)으로	홍옥임/NNP+(/SS+21/SN+)/SS+으로/JKB
판명되었다.	판명/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000030.259.3.2
그들은 동덕여고보 동창으로, 마침내 동성연애로 양춘(陽春)을 등지고 철도자살을 하게 된 모양이더라." 한 명은 우리나라 안과와 이비인후과 개척자의 고명딸이자 음악가 홍난파의 조카였다.

그들은	그/NP+들/XSN+은/JX
동덕여고보	동덕여고보/NNP
동창으로,	동창/NNG+으로/JKB+,/SP
마침내	마침내/MAG
동성연애로	동성연애/NNG+로/JKB
양춘(陽春)을	양춘/NNG+(/SS+陽春/SH+)/SS+을/JKO
등지고	등지/VV+고/EC
철도자살을	철도/NNG+자살/NNG+을/JKO
하게	하/VV+게/EC
된	되/VV+ㄴ/ETM
모양이더라."	모양/NNB+이/VCP+더라/EF+./SF+"/SS
한	한/MMN
명은	명/NNB+은/JX
우리나라	우리나라/NNG
안과와	안과/NNG+와/JC
이비인후과	이비인후과/NNG
개척자의	개척자/NNG+의/JKG
고명딸이자	고명딸/NNG+이/VCP+자/EC
음악가	음악가/NNG
홍난파의	홍난파/NNP+의/JKG
조카였다.	조카/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.259.3.3
다른 한 명은 경성의 대형서점이자 출판사인 덕흥서림 주인의 딸로, 고양 부호의 맏며느리이자 휘문고보 출신의 예비 비행사의 처였다.

다른	다른/MMD
한	한/MMN
명은	명/NNB+은/JX
경성의	경성/NNP+의/JKG
대형서점이자	대형/NNG+서점/NNG+이/VCP+자/EC
출판사인	출판사/NNG+이/VCP+ㄴ/ETM
덕흥서림	덕흥서림/NNP
주인의	주인/NNG+의/JKG
딸로,	딸/NNG+로/JKB+,/SP
고양	고양/NNP
부호의	부호/NNG+의/JKG
맏며느리이자	맏/XPN+며느리/NNG+이/VCP+자/EC
휘문고보	휘문고보/NNP
출신의	출신/NNG+의/JKG
예비	예비/NNG
비행사의	비행사/NNG+의/JKG
처였다.	처/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.259.4.1
조선일보는 이 전대미문의 사건을 이튿날(4월 11일)부터 5회에 걸친 시리즈 기사로 분석했다.

조선일보는	조선일보/NNP+는/JX
이	이/MMD
전대미문의	전대미문/NNG+의/JKG
사건을	사건/NNG+을/JKO
이튿날(4월	이튿날/NNG+(/SS+4/SN+월/NNB
11일)부터	11/SN+일/NNB+)/SS+부터/JX
5회에	5/SN+회/NNB+에/JKB
걸친	걸치/VV+ㄴ/ETM
시리즈	시리즈/NNG
기사로	기사/NNG+로/JKB
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.259.4.2
'철로(鐵路)의 이슬 된 이륜(二輪)의 물망초(勿忘草)'라는 상자 제목을 단 첫 기사는 '이번 동성연애 자살 사건은 여자가 원치 않는 결혼을 강요당한 데 있다'고 그 원인을 밝히고, 두 사람의 가정과 학창생활 등을 조목조목 따졌다.

'철로(鐵路)의	'/SS+철로/NNG+(/SS+鐵路/SH+)/SS+의/JKG
이슬	이슬/NNG
된	되/VV+ㄴ/ETM
이륜(二輪)의	이륜/NNG+(/SS+二輪/SH+)/SS+의/JKG
물망초(勿忘草)'라는	물망초/NNG+(/SS+勿忘草/SH+)/SS+'/SS+이/VCP+라는/ETM
상자	상자/NNG
제목을	제목/NNG+을/JKO
단	달/VV+ㄴ/ETM
첫	첫/MMN
기사는	기사/NNG+는/JX
'이번	'/SS+이번/NNG
동성연애	동성연애/NNG
자살	자살/NNG
사건은	사건/NNG+은/JX
여자가	여자/NNG+가/JKS
원치	원/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
결혼을	결혼/NNG+을/JKO
강요당한	강요/NNG+당하/XSV+ㄴ/ETM
데	데/NNB
있다'고	있/VA+다/EF+'/SS+고/JKQ
그	그/MMD
원인을	원인/NNG+을/JKO
밝히고,	밝히/VV+고/EC+,/SP
두	두/MMN
사람의	사람/NNG+의/JKG
