# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.25
metadata : {}


# id : NWRW1800000029.25.1.1
한국GM, 신형SUV ‘캡티바’ 공개

한국GM,	한국GM/NNP+,/SP
신형SUV	신형/NNG+SUV/SL
‘캡티바’	‘/SS+캡티바/NNP+’/SS
공개	공개/NNG


# id : NWRW1800000029.25.2.1
쉐보레 변경후 네번째 신차… 가격은 2500만~3500만원선

쉐보레	쉐보레/NNP
변경후	변경/NNG+후/NNG
네번째	네/MMN+번/NNB+째/XSN
신차…	신차/NNG+…/SE
가격은	가격/NNG+은/JX
2500만~3500만원선	2500/SN+만/NR+~/SO+3500/SN+만/NR+원/NNB+선/NNG


# id : NWRW1800000029.25.3.1
한국GM은 5일 신형 스포츠유틸리티차량(SUV) ‘캡티바(Captiva)’를 공개했다.

한국GM은	한국GM/NNP+은/JX
5일	5/SN+일/NNB
신형	신형/NNG
스포츠유틸리티차량(SUV)	스포츠/NNG+유틸리티/NNG+차량/NNG+(/SS+SUV/SL+)/SS
‘캡티바(Captiva)’를	‘/SS+캡티바/NNP+(/SS+Captiva/SL+)/SS+’/SS+를/JKO
공개했다.	공개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.25.3.2
한국GM이 ‘GM대우’에서 ‘쉐보레’로 브랜드를 변경한 이후 내놓은 네 번째 신차다.

한국GM이	한국GM/NNP+이/JKS
‘GM대우’에서	‘/SS+GM대우/NNP+’/SS+에서/JKB
‘쉐보레’로	‘/SS+쉐보레/NNP+’/SS+로/JKB
브랜드를	브랜드/NNG+를/JKO
변경한	변경/NNG+하/XSV+ㄴ/ETM
이후	이후/NNG
내놓은	내놓/VV+은/ETM
네	네/MMN
번째	번/NNB+째/XSN
신차다.	신차/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.25.4.1
이날 GM은 서울 광진구 광장동 워커힐호텔에서 ‘윈스톰’의 후속 모델인 캡티바를 발표하고 이날부터 사전 예약을 받기 시작해 15일부터 판매를 시작할 예정이다.

