# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.64
metadata : {}


# id : NWRW1800000052.64.1.1
휴대폰요금 ‘호갱’ 탈피 5계명

휴대폰요금	휴대폰/NNG+요금/NNG
‘호갱’	‘/SS+호갱/NNG+’/SS
탈피	탈피/NNG
5계명	5/SN+계명/NNG


# id : NWRW1800000052.64.2.1
“당장 114로 전화하세요.

“당장	“/SS+당장/NNG
114로	114/SN+로/JKB
전화하세요.	전화/NNG+하/XSV+시/EP+어요/EF+./SF


# id : NWRW1800000052.64.2.2
다음달 요금 홀쭉해집니다”

다음달	다음/NNG+달/NNG
요금	요금/NNG
홀쭉해집니다”	홀쭉하/VA+아/EC+지/VX+ㅂ니다/EF+”/SS


# id : NWRW1800000052.64.3.1
이통사 지점·직영점서도 적정 요금제 확인 가능

이통사	이통사/NNG
지점·직영점서도	지점/NNG+·/SP+직영점/NNG+서/JKB+도/JX
적정	적정/NNG
요금제	요금/NNG+제/XSN
확인	확인/NNG
가능	가능/NNG


# id : NWRW1800000052.64.4.1
“당장 고객센터로 전화를 걸어 상담원한테 현재 가입한 요금제가 적정한지 살펴달라고 하세요.

“당장	“/SS+당장/NNG
고객센터로	고객/NNG+센터/NNG+로/JKB
전화를	전화/NNG+를/JKO
걸어	걸/VV+어/EC
상담원한테	상담원/NNG+한테/JKB
현재	현재/MAG
가입한	가입/NNG+하/XSV+ㄴ/ETM
요금제가	요금/NNG+제/XSN+가/JKS
적정한지	적정/NNG+하/XSA+ㄴ지/EC
살펴달라고	살피/VV+어/EC+달/VX+라고/EC
하세요.	하/VV+시/EP+어요/EF+./SF


# id : NWRW1800000052.64.4.2
스마트폰에서 114번으로 걸면 됩니다.”

스마트폰에서	스마트폰/NNG+에서/JKB
114번으로	114/SN+번/NNB+으로/JKB
걸면	걸/VV+면/EC
됩니다.”	되/VV+ㅂ니다/EF+./SF+”/SS


# id : NWRW1800000052.64.5.1
한 이동통신사 임원이 ‘특별히’ 알려주는 ‘호갱’(호구 고객이란 뜻) 신세에서 벗어나는 방법이다.

한	한/MMN
이동통신사	이동/NNG+통신사/NNG
임원이	임원/NNG+이/JKS
‘특별히’	‘/SS+특별히/MAG+’/SS
알려주는	알리/VV+어/EC+주/VX+는/ETM
‘호갱’(호구	‘/SS+호갱/NNG+’/SS+(/SS+호구/NNG
고객이란	고객/NNG+이/VCP+란/ETM
뜻)	뜻/NNG+)/SS
신세에서	신세/NNG+에서/JKB
벗어나는	벗어나/VV+는/ETM
방법이다.	방법/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.64.5.2
잘하면 월 통신요금을 적게는 몇천원에서 많게는 몇만원까지 줄일 수 있단다.

잘하면	잘/MAG+하/XSV+면/EC
월	월/NNG
통신요금을	통신/NNG+요금/NNG+을/JKO
적게는	적/VA+게/EC+는/JX
몇천원에서	몇천/NR+원/NNB+에서/JKB
많게는	많/VA+게/EC+는/JX
몇만원까지	몇만/NR+원/NNB+까지/JX
줄일	줄이/VV+ㄹ/ETM
수	수/NNB
있단다.	있/VA+단다/EF+./SF


# id : NWRW1800000052.64.5.3
20일 나온 대신증권의 통신시장 전망 보고서를 통해 데이터 ‘무제한 요금제’ 가입자 838만명 중 절반가량이 기본 제공 데이터를 절반도 쓰지 않으면서 다달이 5만9천원 이상 비싼 요금을 꼬박꼬박 물고 있는 것으로 나타나 논란이 일자 나온 말이다.

20일	20/SN+일/NNB
나온	나오/VV+ㄴ/ETM
대신증권의	대신증권/NNP+의/JKG
통신시장	통신/NNG+시장/NNG
전망	전망/NNG
보고서를	보고서/NNG+를/JKO
통해	통하/VV+아/EC
데이터	데이터/NNG
‘무제한	‘/SS+무/XPN+제한/NNG
요금제’	요금/NNG+제/XSN+’/SS
가입자	가입자/NNG
838만명	838/SN+만/NR+명/NNB
중	중/NNB
절반가량이	절반/NNG+가량/XSN+이/JKS
기본	기본/NNG
제공	제공/NNG
데이터를	데이터/NNG+를/JKO
절반도	절반/NNG+도/JX
쓰지	쓰/VV+지/EC
않으면서	않/VX+으면서/EC
다달이	다달이/MAG
5만9천원	5/SN+만/NR+9/SN+천/NR+원/NNB
이상	이상/NNG
비싼	비싸/VA+ㄴ/ETM
요금을	요금/NNG+을/JKO
꼬박꼬박	꼬박꼬박/MAG
물고	물/VV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
나타나	나타나/VV+아/EC
논란이	논란/NNG+이/JKS
일자	일/VV+자/EC
말이다.	말/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.64.5.4
다달이 2만9천원 이상을 내는 음성통화 무제한 요금제 가입자들 중에도 이용량보다 비싼 요금제에 가입한 경우가 많은 점을 감안할 때, 이런 처지의 가입자는 더 많을 것으로 추산된다.

다달이	다달이/MAG
2만9천원	2/SN+만/NR+9/SN+천/NR+원/NNB
이상을	이상/NNG+을/JKO
내는	내/VV+는/ETM
음성통화	음성/NNG+통화/NNG
무제한	무/XPN+제한/NNG
요금제	요금/NNG+제/XSN
가입자들	가입자/NNG+들/XSN
중에도	중/NNB+에/JKB+도/JX
이용량보다	이용량/NNG+보다/JKB
비싼	비싸/VA+ㄴ/ETM
요금제에	요금/NNG+제/XSN+에/JKB
가입한	가입/NNG+하/XSV+ㄴ/ETM
경우가	경우/NNG+가/JKS
많은	많/VA+은/ETM
점을	점/NNG+을/JKO
감안할	감안/NNG+하/XSV+ㄹ/ETM
때,	때/NNG+,/SP
이런	이런/MMD
처지의	처지/NNG+의/JKG
가입자는	가입자/NNG+는/JX
더	더/MAG
많을	많/VA+을/ETM
것으로	것/NNB+으로/JKB
추산된다.	추산/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000052.64.5.5
