# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.98
metadata : {}


# id : NWRW1800000049.98.1.1
中, 또 사드 보복… 1월 한국행 부정기 항공편 중단

中,	中/SH+,/SP
또	또/MAG
사드	사드/NNG
보복…	보복/NNG+…/SE
1월	1/SN+월/NNB
한국행	한국행/NNG
부정기	부/XPN+정기/NNG
항공편	항공편/NNG
중단	중단/NNG


# id : NWRW1800000049.98.2.1
중국인 관광객 유치 차질 불가피

중국인	중국인/NNG
관광객	관광객/NNG
유치	유치/NNG
차질	차질/NNG
불가피	불가피/XR


# id : NWRW1800000049.98.3.1
중국이 사드(THAAD·고고도미사일방어체계) 한반도 배치 추진을 이유로 한국 항공사들이 신청한 내년 1월 부정기 항공편(전세기) 운항 신청을 모두 불허한 것으로 30일 알려졌다.

중국이	중국/NNP+이/JKS
사드(THAAD·고고도미사일방어체계)	사드/NNG+(/SS+THAAD/SL+·/SP+고/XPN+고도/NNG+미사일/NNG+방어/NNG+체계/NNG+)/SS
한반도	한반도/NNP
배치	배치/NNG
추진을	추진/NNG+을/JKO
이유로	이유/NNG+로/JKB
한국	한국/NNP
항공사들이	항공사/NNG+들/XSN+이/JKS
신청한	신청/NNG+하/XSV+ㄴ/ETM
내년	내년/NNG
1월	1/SN+월/NNB
부정기	부/XPN+정기/NNG
항공편(전세기)	항공편/NNG+(/SS+전세기/NNG+)/SS
운항	운항/NNG
신청을	신청/NNG+을/JKO
모두	모두/MAG
불허한	불허/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
30일	30/SN+일/NNB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.98.3.2
1월에는 중국의 춘제(春節·설날) 특수도 있어 한국으로 향하는 전세기 운항이 중단될 경우 중국인 관광객(遊客·유커) 유치에도 차질이 빚어질 것으로 보인다.

1월에는	1/SN+월/NNB+에/JKB+는/JX
중국의	중국/NNP+의/JKG
춘제(春節·설날)	춘제/NNG+(/SS+春節/SH+·/SP+설날/NNG+)/SS
특수도	특수/NNG+도/JX
있어	있/VA+어/EC
한국으로	한국/NNP+으로/JKB
향하는	향하/VV+는/ETM
전세기	전세기/NNG
운항이	운항/NNG+이/JKS
중단될	중단/NNG+되/XSV+ㄹ/ETM
경우	경우/NNG
중국인	중국인/NNG
관광객(遊客·유커)	관광객/NNG+(/SS+遊客/SH+·/SP+유커/NNG+)/SS
유치에도	유치/NNG+에/JKB+도/JX
차질이	차질/NNG+이/JKS
빚어질	빚어지/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.98.4.1
국토교통부와 항공업계에 따르면 중국 민항국은 아시아나 진에어 제주항공 3개사가 신청한 한국행 부정기편에 대해 28일 밤 불승인 통보를 보냈다.

국토교통부와	국토/NNG+교통부/NNG+와/JC
항공업계에	항공업/NNG+계/XSN+에/JKB
따르면	따르/VV+면/EC
중국	중국/NNP
민항국은	민항국/NNG+은/JX
아시아나	아시아나/NNP
진에어	진에어/NNP
제주항공	제주항공/NNP
3개사가	3/SN+개사/NNB+가/JKS
신청한	신청/NNG+하/XSV+ㄴ/ETM
한국행	한국행/NNG
부정기편에	부정기편/NNG+에/JKB
대해	대하/VV+아/EC
28일	28/SN+일/NNB
밤	밤/NNG
불승인	불/XPN+승인/NNG
통보를	통보/NNG+를/JKO
보냈다.	보내/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.98.4.2
중국 민항국은 항공사들의 문의에도 불허 사유를 명확하게 밝히지 않고 있다.

중국	중국/NNP
민항국은	민항국/NNG+은/JX
항공사들의	항공사/NNG+들/XSN+의/JKG
문의에도	문의/NNG+에/JKB+도/JX
불허	불허/NNG
사유를	사유/NNG+를/JKO
명확하게	명확하/VA+게/EC
밝히지	밝히/VV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.98.4.3
베이징(北京)의 소식통들은 사드 배치에 대한 보복 외에는 달리 이유가 없다고 설명했다.

베이징(北京)의	베이징/NNP+(/SS+北京/SH+)/SS+의/JKG
소식통들은	소식통/NNG+들/XSN+은/JX
사드	사드/NNG
배치에	배치/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
보복	보복/NNG
외에는	외/NNB+에/JKB+는/JX
달리	달리/MAG
이유가	이유/NNG+가/JKS
없다고	없/VA+다고/EC
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.98.5.1
