# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.134
metadata : {}


# id : NWRW1800000045.134.1.1
웃음기 덜어낸 코믹스타 “더하기보다 빼는 과정이었어요”

웃음기	웃음/NNG+기/XSN
덜어낸	덜/VV+어/EC+내/VX+ㄴ/ETM
코믹스타	코믹/NNG+스타/NNG
“더하기보다	“/SS+더/MAG+하/XSV+기/ETN+보다/JKB
빼는	빼/VV+는/ETM
과정이었어요”	과정/NNG+이/VCP+었/EP+어요/EF+”/SS


# id : NWRW1800000045.134.2.1
18일 개봉 ‘극비수사’서 金도사역 유해진

18일	18/SN+일/NNB
개봉	개봉/NNG
‘극비수사’서	‘/SS+극비/NNG+수사/NNG+’/SS+서/JKB
金도사역	金/SH+도사/NNG+역/NNG
유해진	유해진/NNP


# id : NWRW1800000045.134.3.1
영화 ‘극비수사’는 소신(所信)에 관한 영화다.

영화	영화/NNG
‘극비수사’는	‘/SS+극비/NNG+수사/NNG+’/SS+는/JX
소신(所信)에	소신/NNG+(/SS+所信/SH+)/SS+에/JKB
관한	관하/VV+ㄴ/ETM
영화다.	영화/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.134.3.2
겉으로는 형사 공길용(김윤석)과 도사 김중산(유해진)이 유괴된 아이를 찾는 수사물이지만 그 안에는 세상이 모두 아니라고 할 때도 자신들이 믿는 바를 굳건히 지켜 나가는 이들의 이야기가 담겨 있다.

겉으로는	겉/NNG+으로/JKB+는/JX
형사	형사/NNG
공길용(김윤석)과	공길용/NNP+(/SS+김윤석/NNP+)/SS+과/JC
도사	도사/NNG
김중산(유해진)이	김중산/NNP+(/SS+유해진/NNP+)/SS+이/JKS
유괴된	유괴/NNG+되/XSV+ㄴ/ETM
아이를	아이/NNG+를/JKO
찾는	찾/VV+는/ETM
수사물이지만	수사물/NNG+이/VCP+지만/EC
그	그/MMD
안에는	안/NNG+에/JKB+는/JX
세상이	세상/NNG+이/JKS
모두	모두/MAG
아니라고	아니/VCN+라고/EC
할	하/VV+ㄹ/ETM
때도	때/NNG+도/JX
자신들이	자신/NNG+들/XSN+이/JKS
믿는	믿/VV+는/ETM
바를	바/NNB+를/JKO
굳건히	굳건히/MAG
지켜	지키/VV+어/EC
나가는	나가/VX+는/ETM
이들의	이/NNB+들/XSN+의/JKG
이야기가	이야기/NNG+가/JKS
담겨	담기/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.134.3.3
그중 김중산은 자신에 대한 세상의 비난을 인내하면서도 끝까지 포기하지 않는 인물로 그려진다.

그중	그중/NNG
김중산은	김중산/NNP+은/JX
자신에	자신/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
세상의	세상/NNG+의/JKG
비난을	비난/NNG+을/JKO
인내하면서도	인내/NNG+하/XSV+면서/EC+도/JX
끝까지	끝/NNG+까지/JX
포기하지	포기/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
인물로	인물/NNG+로/JKB
그려진다.	그리/VV+어/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000045.134.4.1
그런 김중산을 연기하기 위해 유해진(45)은 관객의 기대를 배신해야 했다.

그런	그런/MMD
김중산을	김중산/NNP+을/JKO
연기하기	연기/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
유해진(45)은	유해진/NNP+(/SS+45/SN+)/SS+은/JX
관객의	관객/NNG+의/JKG
기대를	기대/NNG+를/JKO
배신해야	배신/NNG+하/XSV+아야/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000045.134.4.2
코믹 연기로 이름난 그지만 이번엔 웃음기를 덜어냈다.

코믹	코믹/NNG
연기로	연기/NNG+로/JKB
이름난	이름나/VV+ㄴ/ETM
그지만	그/NP+이/VCP+지만/EC
이번엔	이번/NNG+에/JKB+ㄴ/JX
웃음기를	웃음/NNG+기/XSN+를/JKO
덜어냈다.	덜/VV+어/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000045.134.4.3
11일 오후 서울 삼청동의 한 카페에서 만난 그는 “더하기보다 빼는 과정이었다”고 했다.

11일	11/SN+일/NNB
오후	오후/NNG
서울	서울/NNP
삼청동의	삼청동/NNP+의/JKG
한	한/MMN
카페에서	카페/NNG+에서/JKB
만난	만나/VV+ㄴ/ETM
그는	그/NP+는/JX
“더하기보다	“/SS+더/MAG+하/XSV+기/ETN+보다/JKB
빼는	빼/VV+는/ETM
과정이었다”고	과정/NNG+이/VCP+었/EP+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.134.4.4
“유괴 사건인데 웃기기는 어렵지 않겠어요?

“유괴	“/SS+유괴/NNG
사건인데	사건/NNG+이/VCP+ㄴ데/EC
웃기기는	웃기/VV+기/ETN+는/JX
어렵지	어렵/VA+지/EC
않겠어요?	않/VX+겠/EP+어요/EF+?/SF


# id : NWRW1800000045.134.4.5
‘담백한 연기’라는 평을 듣고 싶었어요.

‘담백한	‘/SS+담백하/VA+ㄴ/ETM
연기’라는	연기/NNG+’/SS+이/VCP+라는/ETM
평을	평/NNG+을/JKO
듣고	듣/VV+고/EC
싶었어요.	싶/VX+었/EP+어요/EF+./SF


# id : NWRW1800000045.134.4.6
아쉽다는 분들도 있던데 그건 다른 작품에서 채워 드리면 되죠.

아쉽다는	아쉽/VA+다는/ETM
분들도	분/NNB+들/XSN+도/JX
있던데	있/VA+던데/EC
그건	그거/NP+ㄴ/JX
다른	다른/MMD
작품에서	작품/NNG+에서/JKB
채워	채우/VV+어/EC
드리면	드리/VX+면/EC
되죠.	되/VV+죠/EF+./SF


# id : NWRW1800000045.134.4.7
허허허….”

허허허….”	허허허/IC+…/SE+./SF+”/SS


# id : NWRW1800000045.134.5.1
현재 생존해 있는 인물을 연기한다는 부담감도 있었다.

현재	현재/MAG
생존해	생존/NNG+하/XSV+아/EC
있는	있/VX+는/ETM
인물을	인물/NNG+을/JKO
연기한다는	연기/NNG+하/XSV+ㄴ다는/ETM
부담감도	부담감/NNG+도/JX
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000045.134.5.2
“전화통화만 몇 번 하고 촬영 끝날 때까지 (김중산 씨를) 직접 뵙지 않았어요.

“전화통화만	“/SS+전화/NNG+통화/NNG+만/JX
몇	몇/NR
번	번/NNB
하고	하/VV+고/EC
촬영	촬영/NNG
끝날	끝나/VV+ㄹ/ETM
때까지	때/NNG+까지/JX
(김중산	(/SS+김중산/NNP
씨를)	씨/NNB+를/JKO+)/SS
직접	직접/MAG
뵙지	뵙/VV+지/EC
않았어요.	않/VX+았/EP+어요/EF+./SF


# id : NWRW1800000045.134.5.3
안 그러면 제가 그분 행동을 따라 할 것 같더라고요.

안	안/MAG
그러면	그러면/MAJ
제가	제/NP+가/JKS
그분	그분/NP
행동을	행동/NNG+을/JKO
따라	따르/VV+아/EC
할	하/VV+ㄹ/ETM
것	것/NNB
같더라고요.	같/VA+더라고/EF+요/JX+./SF


# id : NWRW1800000045.134.5.4
부산 출신이신 분을 충청도 출신으로 바꿨는데, 그 역시 제 억양이 영화를 보는 데 걸림돌이 돼선 안 된다고 생각해서였어요.”

부산	부산/NNP
출신이신	출신/NNG+이/VCP+시/EP+ㄴ/ETM
분을	분/NNB+을/JKO
충청도	충청도/NNP
출신으로	출신/NNG+으로/JKB
바꿨는데,	바꾸/VV+었/EP+는데/EC+,/SP
그	그/MMD
역시	역시/MAG
제	저/NP+의/JKG
억양이	억양/NNG+이/JKS
영화를	영화/NNG+를/JKO
보는	보/VV+는/ETM
데	데/NNB
걸림돌이	걸림돌/NNG+이/JKC
돼선	되/VV+어서/EC+ㄴ/JX
안	안/MAG
된다고	되/VV+ㄴ다고/EC
생각해서였어요.”	생각/NNG+하/XSV+아서/EC+이/VCP+었/EP+어요/EF+./SF+”/SS


# id : NWRW1800000045.134.6.1
묵묵히 공 형사를 돕는 영화 속 김중산은 최근 출연했던 TV 예능프로 ‘삼시세끼―어촌편’에서 비친 유해진의 평소 모습이나 주연보다는 조연을 맡아 왔던 그의 이력과도 닮아 있다.

묵묵히	묵묵히/MAG
공	공/NNP
형사를	형사/NNG+를/JKO
돕는	돕/VV+는/ETM
영화	영화/NNG
속	속/NNG
김중산은	김중산/NNP+은/JX
최근	최근/NNG
출연했던	출연/NNG+하/XSV+았/EP+던/ETM
TV	TV/SL
예능프로	예능/NNG+프로/NNG
‘삼시세끼―어촌편’에서	‘/SS+삼시/NNG+세끼/NNG+―/SS+어촌/NNG+편/NNB+’/SS+에서/JKB
비친	비치/VV+ㄴ/ETM
유해진의	유해진/NNP+의/JKG
평소	평소/NNG
모습이나	모습/NNG+이나/JC
주연보다는	주연/NNG+보다/JKB+는/JX
조연을	조연/NNG+을/JKO
맡아	맡/VV+아/EC
왔던	오/VX+았/EP+던/ETM
그의	그/NP+의/JKG
이력과도	이력/NNG+과/JKB+도/JX
닮아	닮/VV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.134.6.2
그는 “누가 뭘 강요하면 아무것도 못 하는 성격인데 나영석 PD가 워낙 편안하게 해줬다”고 했다.

그는	그/NP+는/JX
“누가	“/SS+누구/NP+가/JKS
뭘	뭐/NP+ㄹ/JKO
강요하면	강요/NNG+하/XSV+면/EC
아무것도	아무것/NNG+도/JX
못	못/MAG
하는	하/VV+는/ETM
성격인데	성격/NNG+이/VCP+ㄴ데/EC
나영석	나영석/NNP
PD가	PD/SL+가/JKS
워낙	워낙/MAG
편안하게	편안/NNG+하/XSA+게/EC
해줬다”고	하/VX+아/EC+주/VX+었/EP+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.134.6.3
‘삼시세끼’에 나온 등산 취미는 평소 늘 고집하는 습관이기도 하다.

‘삼시세끼’에	‘/SS+삼시/NNG+세끼/NNG+’/SS+에/JKB
나온	나오/VV+ㄴ/ETM
등산	등산/NNG
취미는	취미/NNG+는/JX
평소	평소/NNG
늘	늘/MAG
고집하는	고집/NNG+하/XSV+는/ETM
습관이기도	습관/NNG+이/VCP+기/ETN+도/JX
하다.	하/VX+다/EF+./SF


# id : NWRW1800000045.134.6.4
“지방 촬영장에 도착하면 매니저가 제일 먼저 하는 일이 숙소와 가장 가까운 산을 조사하는 거예요.

“지방	“/SS+지방/NNG
촬영장에	촬영장/NNG+에/JKB
도착하면	도착/NNG+하/XSV+면/EC
매니저가	매니저/NNG+가/JKS
제일	제일/MAG
먼저	먼저/MAG
하는	하/VV+는/ETM
일이	일/NNG+이/JKS
숙소와	숙소/NNG+와/JKB
가장	가장/MAG
가까운	가깝/VA+ㄴ/ETM
산을	산/NNG+을/JKO
조사하는	조사/NNG+하/XSV+는/ETM
거예요.	거/NNB+이/VCP+에요/EF+./SF


# id : NWRW1800000045.134.6.5
산을 오르면서 저를 다잡고, 다음 촬영 생각도 좀 하고….

산을	산/NNG+을/JKO
오르면서	오르/VV+면서/EC
저를	저/NP+를/JKO
다잡고,	다잡/VV+고/EC+,/SP
다음	다음/NNG
촬영	촬영/NNG
생각도	생각/NNG+도/JX
좀	좀/MAG
하고….	하/VV+고/EC+…/SE+./SF


# id : NWRW1800000045.134.6.6
등산은 저에 대한 최소한의 예의예요.”

등산은	등산/NNG+은/JX
저에	저/NP+에/JKB
대한	대하/VV+ㄴ/ETM
최소한의	최소한/NNG+의/JKG
예의예요.”	예의/NNG+이/VCP+에요/EF+./SF+”/SS


# id : NWRW1800000045.134.7.1
그는 18일 개봉하는 ‘극비수사’ 외에도 올여름 ‘소수의견’(25일) ‘베테랑’(7월 중)의 개봉도 앞두고 있다.

그는	그/NP+는/JX
18일	18/SN+일/NNB
개봉하는	개봉/NNG+하/XSV+는/ETM
‘극비수사’	‘/SS+극비/NNG+수사/NNG+’/SS
외에도	외/NNB+에/JKB+도/JX
올여름	올여름/NNG
‘소수의견’(25일)	‘/SS+소수/NNG+의견/NNG+’/SS+(/SS+25/SN+일/NNB+)/SS
‘베테랑’(7월	‘/SS+베테랑/NNG+’/SS+(/SS+7/SN+월/NNB
중)의	중/NNB+)/SS+의/JKG
개봉도	개봉/NNG+도/JX
앞두고	앞두/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.134.7.2
법대 출신 도사를 맡은 데 이어 ‘소수의견’에서는 변호사, ‘베테랑’에서는 기업 상무를 연기했다.

법대	법대/NNG
출신	출신/NNG
도사를	도사/NNG+를/JKO
맡은	맡/VV+은/ETM
데	데/NNB
이어	잇/VV+어/EC
‘소수의견’에서는	‘/SS+소수/NNG+의견/NNG+’/SS+에서/JKB+는/JX
변호사,	변호사/NNG+,/SP
‘베테랑’에서는	‘/SS+베테랑/NNG+’/SS+에서/JKB+는/JX
기업	기업/NNG
상무를	상무/NNG+를/JKO
연기했다.	연기/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.134.7.3
양아치, 트럭운전사 등을 연기했던 예전과 사뭇 다르다.

양아치,	양아치/NNG+,/SP
트럭운전사	트럭/NNG+운전사/NNG
등을	등/NNB+을/JKO
연기했던	연기/NNG+하/XSV+았/EP+던/ETM
예전과	예전/NNG+과/JKB
사뭇	사뭇/MAG
다르다.	다르/VA+다/EF+./SF


# id : NWRW1800000045.134.7.4
이미지 변신을 노리는 걸까.

이미지	이미지/NNG
변신을	변신/NNG+을/JKO
노리는	노리/VV+는/ETM
걸까.	거/NNB+이/VCP+ㄹ까/EF+./SF


# id : NWRW1800000045.134.7.5
“억지로 그렇게 하려다 오히려 깡통 차죠.

“억지로	“/SS+억지로/MAG
그렇게	그렇/VA+게/EC
하려다	하/VV+려다/EC
오히려	오히려/MAG
깡통	깡통/NNG
차죠.	차/VV+죠/EF+./SF


# id : NWRW1800000045.134.7.6
그냥 제가 나이를 먹었다는 얘기일 겁니다.

그냥	그냥/MAG
제가	제/NP+가/JKS
나이를	나이/NNG+를/JKO
먹었다는	먹/VV+었/EP+다는/ETM
얘기일	얘기/NNG+이/VCP+ㄹ/ETM
겁니다.	거/NNB+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000045.134.7.7
지금 나이에 제가 양아치를 하면 안 어울리잖아요.”

지금	지금/MAG
나이에	나이/NNG+에/JKB
제가	제/NP+가/JKS
양아치를	양아치/NNG+를/JKO
하면	하/VV+면/EC
안	안/MAG
어울리잖아요.”	어울리/VV+잖아/EF+요/JX+./SF+”/SS


# id : NWRW1800000045.134.8.1
1999년 ‘주유소 습격사건’으로 얼굴을 알리기 시작해 15년이 넘도록 그는 한 해에 두세 작품 이상 출연하며 쉼 없이 달려 왔다.

1999년	1999/SN+년/NNB
