# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.192
metadata : {}


# id : NWRW1800000037.192.1.1
[‘복지첨병’ 사회복지사 그들이 지쳐간다]<下>좌절하는 미래의 첨병들

[‘복지첨병’	[/SS+‘/SS+복지/NNG+첨병/NNG+’/SS
사회복지사	사회/NNG+복지사/NNG
그들이	그/NP+들/XSN+이/JKS
지쳐간다]<下>좌절하는	지치/VV+어/EC+가/VX+ㄴ다/EF+]/SS+</SS+下/SH+>/SS+좌절/NNG+하/XSV+는/ETM
미래의	미래/NNG+의/JKG
첨병들	첨병/NNG+들/XSN


# id : NWRW1800000037.192.2.1
실습 나가면 열악한 환경에 ‘악’… 복지없는 복지사 포기 속출

실습	실습/NNG
나가면	나가/VV+면/EC
열악한	열악하/VA+ㄴ/ETM
환경에	환경/NNG+에/JKB
‘악’…	‘/SS+악/IC+’/SS+…/SE
복지없는	복지/NNG+없/VA+는/ETM
복지사	복지사/NNG
포기	포기/NNG
속출	속출/NNG


# id : NWRW1800000037.192.3.1
“실습이 끝나고 ‘이건 내 일이 아니다’라고 생각했죠.

“실습이	“/SS+실습/NNG+이/JKS
끝나고	끝나/VV+고/EC
‘이건	‘/SS+이거/NP+ㄴ/JX
내	나/NP+의/JKG
일이	일/NNG+이/JKC
아니다’라고	아니/VCN+다/EF+’/SS+라고/JKQ
생각했죠.	생각/NNG+하/XSV+았/EP+죠/EF+./SF


# id : NWRW1800000037.192.3.2
사회복지사도 엄연히 전문가인데, 한없이 퍼주는 자원봉사자로만 여기는 한국 사회에서는 제대로 인정받기 힘들다고 느꼈어요.”

사회복지사도	사회/NNG+복지사/NNG+도/JX
엄연히	엄연히/MAG
전문가인데,	전문가/NNG+이/VCP+ㄴ데/EC+,/SP
한없이	한없이/MAG
퍼주는	푸/VV+어/EC+주/VV+는/ETM
자원봉사자로만	자원봉사자/NNG+로/JKB+만/JX
여기는	여기/VV+는/ETM
한국	한국/NNP
사회에서는	사회/NNG+에서/JKB+는/JX
제대로	제대로/MAG
인정받기	인정/NNG+받/XSV+기/ETN
힘들다고	힘들/VA+다고/EC
느꼈어요.”	느끼/VV+었/EP+어요/EF+./SF+”/SS


# id : NWRW1800000037.192.4.1
서울의 모 대학 사회복지학과 출신 노모 씨(25·여)는 2010년 서울 서대문구 대현동의 한 사회복지관에서 실습을 마쳤다.

서울의	서울/NNP+의/JKG
모	모/MMD
대학	대학/NNG
사회복지학과	사회/NNG+복지학과/NNG
출신	출신/NNG
노모	노/NNP+모/NP
씨(25·여)는	씨/NNB+(/SS+25/SN+·/SP+여/NNG+)/SS+는/JX
2010년	2010/SN+년/NNB
서울	서울/NNP
서대문구	서대문구/NNP
대현동의	대현동/NNP+의/JKG
한	한/MMN
사회복지관에서	사회/NNG+복지관/NNG+에서/JKB
실습을	실습/NNG+을/JKO
마쳤다.	마치/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.192.4.2
사회복지사가 되기 위해 필요한 현장 실습 160시간을 꽉 채웠다.

사회복지사가	사회/NNG+복지사/NNG+가/JKC
되기	되/VV+기/ETN
위해	위하/VV+아/EC
필요한	필요/NNG+하/XSA+ㄴ/ETM
현장	현장/NNG
실습	실습/NNG
160시간을	160/SN+시간/NNB+을/JKO
꽉	꽉/MAG
채웠다.	채우/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.192.4.3
세상을 바꾸겠다는 포부를 갖고 사회복지사를 꿈꿨지만 현장에서 바라본 현실은 처참함, 그 자체였다.

세상을	세상/NNG+을/JKO
바꾸겠다는	바꾸/VV+겠/EP+다는/ETM
포부를	포부/NNG+를/JKO
갖고	갖/VV+고/EC
사회복지사를	사회/NNG+복지사/NNG+를/JKO
꿈꿨지만	꿈꾸/VV+었/EP+지만/EC
현장에서	현장/NNG+에서/JKB
바라본	바라보/VV+ㄴ/ETM
현실은	현실/NNG+은/JX
처참함,	처참하/VA+ㅁ/ETN+,/SP
그	그/MMD
자체였다.	자체/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.192.4.4
오전 9시∼오후 6시로 규정된 근무시간은 서류에서만 있는 일일 뿐 매일 4∼5시간은 더 일하고 있었다.

오전	오전/NNG
9시∼오후	9/SN+시/NNB+∼/SO+오후/NNG
6시로	6/SN+시/NNB+로/JKB
규정된	규정/NNG+되/XSV+ㄴ/ETM
근무시간은	근무/NNG+시간/NNG+은/JX
서류에서만	서류/NNG+에서/JKB+만/JX
있는	있/VA+는/ETM
일일	일/NNG+이/VCP+ㄹ/ETM
뿐	뿐/NNB
매일	매일/MAG
4∼5시간은	4/SN+∼/SO+5/SN+시간/NNB+은/JX
더	더/MAG
일하고	일/NNG+하/XSV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000037.192.4.5
이런 격무 속에서 100만 원대 월급을 받으며 살아가는 복지사들이 오히려 복지가 필요한 계층으로 보였다.

이런	이런/MMD
격무	격무/NNG
속에서	속/NNG+에서/JKB
100만	100/SN+만/NR
원대	원/NNB+대/XSN
월급을	월급/NNG+을/JKO
받으며	받/VV+으며/EC
살아가는	살아가/VV+는/ETM
복지사들이	복지사/NNG+들/XSN+이/JKS
오히려	오히려/MAG
복지가	복지/NNG+가/JKS
필요한	필요/NNG+하/XSA+ㄴ/ETM
계층으로	계층/NNG+으로/JKB
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.192.4.6
현실을 목격하곤 대기업으로 진로를 바꾼 노 씨의 말이다.

현실을	현실/NNG+을/JKO
목격하곤	목격/NNG+하/XSV+곤/EC
대기업으로	대/XPN+기업/NNG+으로/JKB
진로를	진로/NNG+를/JKO
바꾼	바꾸/VV+ㄴ/ETM
노	노/NNP
씨의	씨/NNB+의/JKG
말이다.	말/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.192.5.1
“사회복지학을 공부하면서 ‘좀 더 살기 좋은 세상을 만들자’는 목표를 세웠어요.

“사회복지학을	“/SS+사회/NNG+복지학/NNG+을/JKO
공부하면서	공부/NNG+하/XSV+면서/EC
‘좀	‘/SS+좀/MAG
더	더/MAG
살기	살/VV+기/ETN
좋은	좋/VA+은/ETM
세상을	세상/NNG+을/JKO
만들자’는	만들/VV+자/EF+’/SS+는/ETM
목표를	목표/NNG+를/JKO
세웠어요.	세우/VV+었/EP+어요/EF+./SF


# id : NWRW1800000037.192.5.2
하지만 이렇게 힘든 삶을 참아가며 일할 필요가 있는지 회의감이 들었죠.”

하지만	하지만/MAJ
이렇게	이렇/VA+게/EC
힘든	힘들/VA+ㄴ/ETM
삶을	삶/NNG+을/JKO
참아가며	참/VV+아/EC+가/VX+며/EC
일할	일/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있는지	있/VA+는지/EC
회의감이	회의감/NNG+이/JKS
들었죠.”	들/VV+었/EP+죠/EF+./SF+”/SS


# id : NWRW1800000037.192.6.1
졸업 전 복지센터에서 실습을 끝낸 학생 중 적지 않은 수가 현장의 고통을 생생히 관찰하고는 사회복지사의 꿈을 접는다.

졸업	졸업/NNG
전	전/NNG
복지센터에서	복지/NNG+센터/NNG+에서/JKB
실습을	실습/NNG+을/JKO
끝낸	끝내/VV+ㄴ/ETM
학생	학생/NNG
중	중/NNB
적지	적/VA+지/EC
않은	않/VX+은/ETM
수가	수/NNG+가/JKS
현장의	현장/NNG+의/JKG
고통을	고통/NNG+을/JKO
생생히	생생히/MAG
관찰하고는	관찰/NNG+하/XSV+고/EC+는/JX
사회복지사의	사회/NNG+복지사/NNG+의/JKG
꿈을	꿈/NNG+을/JKO
접는다.	접/VV+는다/EF+./SF


# id : NWRW1800000037.192.6.2
미래 한국의 복지 첨병인 사회복지학과 학생들이 어깨너머로 지켜본 것만으로도 복지사의 삶은 너무 험난했다.

미래	미래/NNG
한국의	한국/NNP+의/JKG
복지	복지/NNG
첨병인	첨병/NNG+이/VCP+ㄴ/ETM
사회복지학과	사회/NNG+복지학과/NNG
학생들이	학생/NNG+들/XSN+이/JKS
어깨너머로	어깨너머/NNG+로/JKB
지켜본	지켜보/VV+ㄴ/ETM
것만으로도	것/NNB+만/JX+으로/JKB+도/JX
복지사의	복지사/NNG+의/JKG
삶은	삶/NNG+은/JX
너무	너무/MAG
험난했다.	험난하/VA+았/EP+다/EF+./SF


# id : NWRW1800000037.192.7.1
김영화 경북대 사회복지학과 교수는 “한때 사회복지학과가 전망 좋다고 손꼽힐 때가 있었지만 옛말”이라고 했다.

김영화	김영화/NNP
경북대	경북대/NNP
사회복지학과	사회/NNG+복지학과/NNG
교수는	교수/NNG+는/JX
“한때	“/SS+한때/MAG
사회복지학과가	사회/NNG+복지학과/NNG+가/JKS
전망	전망/NNG
좋다고	좋/VA+다고/EC
손꼽힐	손꼽히/VV+ㄹ/ETM
때가	때/NNG+가/JKS
있었지만	있/VA+었/EP+지만/EC
옛말”이라고	옛말/NNG+”/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.192.7.2
국가가 복지정책을 늘리면서 사회복지 수요가 늘고 정책은 쏟아졌지만 사회복지사 처우는 나아진 게 없기 때문이다.

국가가	국가/NNG+가/JKS
복지정책을	복지/NNG+정책/NNG+을/JKO
늘리면서	늘리/VV+면서/EC
사회복지	사회/NNG+복지/NNG
수요가	수요/NNG+가/JKS
늘고	늘/VV+고/EC
정책은	정책/NNG+은/JX
쏟아졌지만	쏟아지/VV+었/EP+지만/EC
사회복지사	사회/NNG+복지사/NNG
처우는	처우/NNG+는/JX
나아진	나아지/VV+ㄴ/ETM
게	거/NNB+이/JKS
없기	없/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.192.7.3
김 교수는 “실습 다녀온 학생들이 이상과 현실 사이에서 고민하다 꿈을 포기하는 사례가 적지 않다”고 말했다.

김	김/NNP
교수는	교수/NNG+는/JX
“실습	“/SS+실습/NNG
다녀온	다녀오/VV+ㄴ/ETM
학생들이	학생/NNG+들/XSN+이/JKS
이상과	이상/NNG+과/JKB
현실	현실/NNG
사이에서	사이/NNG+에서/JKB
고민하다	고민/NNG+하/XSV+다/EC
꿈을	꿈/NNG+을/JKO
포기하는	포기/NNG+하/XSV+는/ETM
사례가	사례/NNG+가/JKS
적지	적/VA+지/EC
않다”고	않/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.192.8.1
복지 서비스는 정신력과 육체적 에너지가 모두 필요하다.

복지	복지/NNG
서비스는	서비스/NNG+는/JX
정신력과	정신력/NNG+과/JC
육체적	육체/NNG+적/XSN
에너지가	에너지/NNG+가/JKS
모두	모두/MAG
필요하다.	필요/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000037.192.8.2
그 어느 직업보다 ‘젊은 피’가 절실한 이유다.

그	그/MMD
어느	어느/MMD
직업보다	직업/NNG+보다/JKB
‘젊은	‘/SS+젊/VA+은/ETM
피’가	피/NNG+’/SS+가/JKS
절실한	절실하/VA+ㄴ/ETM
이유다.	이유/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.192.8.3
일선 사회복지사와 교수, 사회복지사협회가 공통적으로 지적하는 부분은 ‘얄팍한 연봉’이다.

일선	일선/NNG
사회복지사와	사회/NNG+복지사/NNG+와/JC
교수,	교수/NNG+,/SP
사회복지사협회가	사회복지사협회/NNP+가/JKS
공통적으로	공통/NNG+적/XSN+으로/JKB
지적하는	지적/NNG+하/XSV+는/ETM
부분은	부분/NNG+은/JX
‘얄팍한	‘/SS+얄팍하/VA+ㄴ/ETM
연봉’이다.	연봉/NNG+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000037.192.8.4
지방자치단체별 편차도 크다.

지방자치단체별	지방/NNG+자치/NNG+단체/NNG+별/XSN
편차도	편차/NNG+도/JX
크다.	크/VA+다/EF+./SF


# id : NWRW1800000037.192.8.5
민간시설에서 활동하는 사회복지사 임금은 기준을 알 수도 없을 정도로 제각각이다.

민간시설에서	민간/NNG+시설/NNG+에서/JKB
활동하는	활동/NNG+하/XSV+는/ETM
사회복지사	사회/NNG+복지사/NNG
임금은	임금/NNG+은/JX
기준을	기준/NNG+을/JKO
알	알/VV+ㄹ/ETM
수도	수/NNB+도/JX
없을	없/VA+을/ETM
정도로	정도/NNG+로/JKB
제각각이다.	제각각/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.192.8.6
10년차 복지사 월급이 200만 원도 안 될 정도로 전반적인 연봉 수준이 낮은 것도 문제다.

10년차	10/SN+년/NNB+차/NNB
복지사	복지사/NNG
월급이	월급/NNG+이/JKS
200만	200/SN+만/NR
원도	원/NNB+도/JX
안	안/MAG
될	되/VV+ㄹ/ETM
정도로	정도/NNG+로/JKB
전반적인	전반/NNG+적/XSN+이/VCP+ㄴ/ETM
연봉	연봉/NNG
수준이	수준/NNG+이/JKS
낮은	낮/VA+은/ETM
것도	것/NNB+도/JX
문제다.	문제/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.192.8.7
이봉주 서울대 사회복지학과 교수는 “초봉도 낮은 데다 임금이 올라가는 속도도 상당히 늦어 경력이 쌓일수록 사기가 떨어지고 이직률이 높아진다”고 말했다.

이봉주	이봉주/NNP
서울대	서울대/NNP
사회복지학과	사회/NNG+복지학과/NNG
교수는	교수/NNG+는/JX
“초봉도	“/SS+초봉/NNG+도/JX
낮은	낮/VA+은/ETM
데다	데/NNB+다/JX
임금이	임금/NNG+이/JKS
올라가는	올라가/VV+는/ETM
속도도	속도/NNG+도/JX
상당히	상당히/MAG
늦어	늦/VA+어/EC
경력이	경력/NNG+이/JKS
쌓일수록	쌓이/VV+ㄹ수록/EC
사기가	사기/NNG+가/JKS
떨어지고	떨어지/VV+고/EC
