# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.201
metadata : {}


# id : NWRW1800000033.201.1.1
‘性접대’ 구설 도로공사, 이번엔 일감 몰아주기 의혹

‘性접대’	‘/SS+性/SH+접대/NNG+’/SS
구설	구설/NNG
도로공사,	도로공사/NNP+,/SP
이번엔	이번/NNG+에/JKB+ㄴ/JX
일감	일감/NNG
몰아주기	몰아주기/NNG
의혹	의혹/NNG


# id : NWRW1800000033.201.2.1
과적단속 시스템 입찰과정 퇴직자 고문재직 업체측 5년동안 175억 납품 독점 농수산식품유통公도 적발

과적단속	과적/NNG+단속/NNG
시스템	시스템/NNG
입찰과정	입찰/NNG+과정/NNG
퇴직자	퇴직자/NNG
고문재직	고문/NNG+재직/NNG
업체측	업체/NNG+측/NNB
5년동안	5/SN+년/NNB+동안/NNG
175억	175/SN+억/NR
납품	납품/NNG
독점	독점/NNG
농수산식품유통公도	농수산/NNG+식품/NNG+유통/NNG+公/SH+도/JX
적발	적발/NNG


# id : NWRW1800000033.201.3.1
대기업의 자회사 일감 몰아주기가 사회 문제로 대두된 가운데 한국농수산식품유통공사(aT)와 한국도로공사 등 공기업들의 일감 몰아주기도 만연한 것으로 드러났다.

대기업의	대/XPN+기업/NNG+의/JKG
자회사	자회사/NNG
일감	일감/NNG
몰아주기가	몰아주기/NNG+가/JKS
사회	사회/NNG
문제로	문제/NNG+로/JKB
대두된	대두/NNG+되/XSV+ㄴ/ETM
가운데	가운데/NNG
한국농수산식품유통공사(aT)와	한국농수산식품유통공사/NNP+(/SS+aT/SL+)/SS+와/JC
한국도로공사	한국도로공사/NNP
등	등/NNB
공기업들의	공기업/NNG+들/XSN+의/JKG
몰아주기도	몰아주기/NNG+도/JX
만연한	만연/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.201.4.1
농수산물의 공매를 담당하는 aT는 자사의 은퇴자들이 재직하는 회사에 13년간 독점으로 217억 원 상당의 일감을 몰아준 것으로 나타났다.

농수산물의	농수산물/NNG+의/JKG
공매를	공매/NNG+를/JKO
담당하는	담당/NNG+하/XSV+는/ETM
aT는	aT/SL+는/JX
자사의	자사/NNG+의/JKG
은퇴자들이	은퇴자/NNG+들/XSN+이/JKS
재직하는	재직/NNG+하/XSV+는/ETM
회사에	회사/NNG+에/JKB
13년간	13/SN+년/NNB+간/XSN
독점으로	독점/NNG+으로/JKB
217억	217/SN+억/NR
원	원/NNB
상당의	상당/NNG+의/JKG
일감을	일감/NNG+을/JKO
몰아준	몰아주/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.201.4.2
aT가 26일 국회 농림수산식품위원회 소속 새누리당 홍문표 의원실에 제출한 자료에 따르면 aT 출신 인사가 대표이사인 C업체는 1999년부터 올해까지 aT의 농수산물 비축창고 위탁 업무를 독점해 왔다.

aT가	aT/SL+가/JKS
26일	26/SN+일/NNB
국회	국회/NNG
농림수산식품위원회	농림/NNG+수산/NNG+식품/NNG+위원회/NNG
소속	소속/NNG
새누리당	새누리당/NNP
홍문표	홍문표/NNP
의원실에	의원실/NNG+에/JKB
제출한	제출/NNG+하/XSV+ㄴ/ETM
자료에	자료/NNG+에/JKB
따르면	따르/VV+면/EC
aT	aT/SL
출신	출신/NNG
인사가	인사/NNG+가/JKS
대표이사인	대표/NNG+이사/NNG+이/VCP+ㄴ/ETM
C업체는	C/SL+업체/NNG+는/JX
1999년부터	1999/SN+년/NNB+부터/JX
올해까지	올해/NNG+까지/JX
aT의	aT/SL+의/JKG
농수산물	농수산물/NNG
비축창고	비축/NNG+창고/NNG
위탁	위탁/NNG
업무를	업무/NNG+를/JKO
독점해	독점/NNG+하/XSV+아/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.201.5.1
C업체의 등기이사와 직원도 aT 출신이 대다수다.

C업체의	C/SL+업체/NNG+의/JKG
등기이사와	등기/NNG+이사/NNG+와/JC
직원도	직원/NNG+도/JX
aT	aT/SL
출신이	출신/NNG+이/JKS
대다수다.	대/XPN+다수/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.201.5.2
같은 업종에 더 경쟁력을 갖춘 업체가 많지만 aT는 수의계약을 통해 이 업체에 특혜를 줬다고 홍 의원 측은 지적했다.

같은	같/VA+은/ETM
업종에	업종/NNG+에/JKB
더	더/MAG
경쟁력을	경쟁력/NNG+을/JKO
갖춘	갖추/VV+ㄴ/ETM
업체가	업체/NNG+가/JKS
많지만	많/VA+지만/EC
aT는	aT/SL+는/JX
수의계약을	수의/NNG+계약/NNG+을/JKO
통해	통하/VV+아/EC
이	이/MMD
업체에	업체/NNG+에/JKB
특혜를	특혜/NNG+를/JKO
줬다고	주/VV+었/EP+다고/EC
홍	홍/NNP
의원	의원/NNG
측은	측/NNB+은/JX
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.201.5.3
aT는 C업체와의 위탁계약서에 ‘사무실 무상 지원’까지 명기했다.

aT는	aT/SL+는/JX
C업체와의	C/SL+업체/NNG+와/JKB+의/JKG
위탁계약서에	위탁/NNG+계약서/NNG+에/JKB
‘사무실	‘/SS+사무실/NNG
무상	무상/NNG
지원’까지	지원/NNG+’/SS+까지/JX
명기했다.	명기/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.201.5.4
aT는 일감 몰아주기 논란에 대해 “경쟁입찰을 하는 것이 비효율적이라고 판단했다”고 해명했다.

aT는	aT/SL+는/JX
일감	일감/NNG
몰아주기	몰아주기/NNG
논란에	논란/NNG+에/JKB
대해	대하/VV+아/EC
“경쟁입찰을	“/SS+경쟁/NNG+입찰/NNG+을/JKO
하는	하/VV+는/ETM
것이	것/NNB+이/JKS
비효율적이라고	비/XPN+효율/NNG+적/XSN+이/VCP+라고/EC
판단했다”고	판단/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
해명했다.	해명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.201.6.1
한국도로공사도 과적단속 시스템 입찰 과정에서 자사 출신 임원들이 고문으로 있는 업체에 5년 동안 납품계약을 몰아준 것으로 드러났다.

한국도로공사도	한국도로공사/NNP+도/JX
과적단속	과적/NNG+단속/NNG
시스템	시스템/NNG
입찰	입찰/NNG
과정에서	과정/NNG+에서/JKB
자사	자사/NNG
출신	출신/NNG
임원들이	임원/NNG+들/XSN+이/JKS
고문으로	고문/NNG+으로/JKB
있는	있/VA+는/ETM
업체에	업체/NNG+에/JKB
5년	5/SN+년/NNB
동안	동안/NNG
납품계약을	납품/NNG+계약/NNG+을/JKO
몰아준	몰아주/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.201.6.2
민주통합당 이윤석 의원실은 2008년부터 올해 8월까지 도로공사 과적단속 시스템 선정 결과를 분석한 결과 H업체가 과적단속 시스템을 독점 납품해 왔다고 밝혔다.

민주통합당	민주통합당/NNP
이윤석	이윤석/NNP
의원실은	의원실/NNG+은/JX
2008년부터	2008/SN+년/NNB+부터/JX
올해	올해/NNG
8월까지	8/SN+월/NNB+까지/JX
도로공사	도로공사/NNP
과적단속	과적/NNG+단속/NNG
시스템	시스템/NNG
선정	선정/NNG
결과를	결과/NNG+를/JKO
분석한	분석/NNG+하/XSV+ㄴ/ETM
결과	결과/NNG
H업체가	H/SL+업체/NNG+가/JKS
시스템을	시스템/NNG+을/JKO
독점	독점/NNG
납품해	납품/NNG+하/XSV+아/EC
왔다고	오/VX+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.201.6.3
연간 35억 원 규모다.

연간	연간/NNG
35억	35/SN+억/NR
원	원/NNB
규모다.	규모/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.201.6.4
이 업체에는 도로공사에서 과적단속 업무를 맡았던 임원 두 명이 고문으로 있다.

이	이/MMD
업체에는	업체/NNG+에/JKB+는/JX
도로공사에서	도로공사/NNP+에서/JKB
과적단속	과적/NNG+단속/NNG
업무를	업무/NNG+를/JKO
맡았던	맡/VV+았/EP+던/ETM
임원	임원/NNG
두	두/MMN
명이	명/NNB+이/JKS
고문으로	고문/NNG+으로/JKB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.201.7.1
성능시험 과정의 형평성도 문제로 지적된다.

성능시험	성능/NNG+시험/NNG
과정의	과정/NNG+의/JKG
형평성도	형평/NNG+성/XSN+도/JX
문제로	문제/NNG+로/JKB
지적된다.	지적/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.201.7.2
도로공사는 경쟁입찰 과정에서 유독 H업체에만 성능시험 기회를 더 주거나 아예 성능시험도 없이 수의계약으로 납품 계약을 한 것으로 밝혀졌다.

도로공사는	도로공사/NNP+는/JX
경쟁입찰	경쟁/NNG+입찰/NNG
과정에서	과정/NNG+에서/JKB
유독	유독/MAG
H업체에만	H/SL+업체/NNG+에/JKB+만/JX
성능시험	성능/NNG+시험/NNG
기회를	기회/NNG+를/JKO
더	더/MAG
주거나	주/VV+거나/EC
아예	아예/MAG
성능시험도	성능/NNG+시험/NNG+도/JX
없이	없이/MAG
수의계약으로	수의/NNG+계약/NNG+으로/JKB
납품	납품/NNG
계약을	계약/NNG+을/JKO
한	하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
밝혀졌다.	밝혀지/VV+었/EP+다/EF+./SF


