# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.77
metadata : {}


# id : NWRW1800000025.77.1.1
[횡설수설/권순택]룸살롱식 국제결혼

[횡설수설/권순택]룸살롱식	[/SS+횡설수설/NNG+//SP+권순택/NNP+]/SS+룸살롱식/NNG
국제결혼	국제결혼/NNG


# id : NWRW1800000025.77.2.1
‘베트남 숫처녀와 결혼’ ‘절대 도망가지 않습니다’ ‘초혼 재혼 장애인 포함 100% 성사’ ‘비용은 후불 카드 결제’ ‘신부 입국 안 될 때 전액 환불’.

‘베트남	‘/SS+베트남/NNP
숫처녀와	숫처녀/NNG+와/JKB
결혼’	결혼/NNG+’/SS
‘절대	‘/SS+절대/NNG
도망가지	도망가/VV+지/EC
않습니다’	않/VX+습니다/EF+’/SS
‘초혼	‘/SS+초혼/NNG
재혼	재혼/NNG
장애인	장애인/NNG
포함	포함/NNG
100%	100/SN+%/SW
성사’	성사/NNG+’/SS
‘비용은	‘/SS+비용/NNG+은/JX
후불	후불/NNG
카드	카드/NNG
결제’	결제/NNG+’/SS
‘신부	‘/SS+신부/NNG
입국	입국/NNG
안	안/MAG
될	되/VV+ㄹ/ETM
때	때/NNG
전액	전액/NNG
환불’.	환불/NNG+’/SS+./SF


# id : NWRW1800000025.77.2.2
지금은 거의 사라졌지만 국제결혼 중개업자들이 전국 곳곳에 내걸었던 낯 뜨거운 광고 문구들이다.

지금은	지금/NNG+은/JX
거의	거의/MAG
사라졌지만	사라지/VV+었/EP+지만/EC
국제결혼	국제결혼/NNG
중개업자들이	중개업자/NNG+들/XSN+이/JKS
전국	전국/NNG
곳곳에	곳곳/NNG+에/JKB
내걸었던	내걸/VV+었/EP+던/ETM
낯	낯/NNG
뜨거운	뜨겁/VA+ㄴ/ETM
광고	광고/NNG
문구들이다.	문구/NNG+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000025.77.2.3
베트남 캄보디아 같은 동남아 국가에서는 한국인 남성 1명이 수십 명의 여성을 놓고 신붓감을 고르는 이른바 ‘룸살롱식(式) 맞선’까지 등장했다.

베트남	베트남/NNP
캄보디아	캄보디아/NNP
같은	같/VA+은/ETM
동남아	동남아/NNP
국가에서는	국가/NNG+에서/JKB+는/JX
한국인	한국인/NNG
남성	남성/NNG
1명이	1/SN+명/NNB+이/JKS
수십	수십/NR
명의	명/NNB+의/JKG
여성을	여성/NNG+을/JKO
놓고	놓/VV+고/EC
신붓감을	신붓감/NNG+을/JKO
고르는	고르/VV+는/ETM
이른바	이른바/MAG
‘룸살롱식(式)	‘/SS+룸살롱식/NNG+(/SS+式/SH+)/SS
맞선’까지	맞선/NNG+’/SS+까지/JX
등장했다.	등장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.77.2.4
한국의 퇴폐 문화를 흉내 낸 것이다.

한국의	한국/NNP+의/JKG
퇴폐	퇴폐/NNG
문화를	문화/NNG+를/JKO
흉내	흉내/NNG
낸	내/VV+ㄴ/ETM
