# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.242
metadata : {}


# id : NWRW1800000052.242.1.1
대전 옛 충남도지사실 본래 모습으로 시민에게

대전	대전/NNP
옛	옛/MMA
충남도지사실	충남도지사실/NNP
본래	본래/NNG
모습으로	모습/NNG+으로/JKB
시민에게	시민/NNG+에게/JKB


# id : NWRW1800000052.242.2.1
[한겨레]

[한겨레]	[/SS+한겨레/NNP+]/SS


# id : NWRW1800000052.242.3.1
옛 충남도청사 안의 도지사 집무실이 도청 이전 직전의 모습을 되찾아 시민에게 개방됐다.

옛	옛/MMA
충남도청사	충남도청사/NNP
안의	안/NNG+의/JKG
도지사	도지사/NNG
집무실이	집무실/NNG+이/JKS
도청	도청/NNG
이전	이전/NNG
직전의	직전/NNG+의/JKG
모습을	모습/NNG+을/JKO
되찾아	되찾/VV+아/EC
시민에게	시민/NNG+에게/JKB
개방됐다.	개방/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000052.242.4.1
충남도와 충남역사문화연구원은 특별전시실로 사용되던 대전의 옛 충남도지사실을 원형 복원해 지난 11일부터 일반에 재개방했다고 15일 밝혔다.

충남도와	충남도/NNP+와/JC
충남역사문화연구원은	충남역사문화연구원/NNP+은/JX
특별전시실로	특별/NNG+전시실/NNG+로/JKB
사용되던	사용/NNG+되/XSV+던/ETM
대전의	대전/NNP+의/JKG
옛	옛/MMA
충남도지사실을	충남도지사실/NNP+을/JKO
원형	원형/NNG
복원해	복원/NNG+하/XSV+아/EC
지난	지나/VV+ㄴ/ETM
11일부터	11/SN+일/NNB+부터/JX
일반에	일반/NNG+에/JKB
재개방했다고	재/XPN+개방/NNG+하/XSV+았/EP+다고/EC
15일	15/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.242.4.2
옛 충남도지사실은 2012년 12월 충남도청이 내포신도시로 옮긴 뒤 1970∼1980년대 도 공무원들이 사용하던 행정 장비와 문서들을 전시하는 특별전시실로 꾸며져 사용됐다.

옛	옛/MMA
충남도지사실은	충남도지사실/NNP+은/JX
2012년	2012/SN+년/NNB
12월	12/SN+월/NNB
충남도청이	충남도청/NNP+이/JKS
내포신도시로	내포신도시/NNP+로/JKB
옮긴	옮기/VV+ㄴ/ETM
뒤	뒤/NNG
1970∼1980년대	1970/SN+∼/SO+1980/SN+년대/NNB
도	도/NNG
공무원들이	공무원/NNG+들/XSN+이/JKS
사용하던	사용/NNG+하/XSV+던/ETM
행정	행정/NNG
장비와	장비/NNG+와/JC
문서들을	문서/NNG+들/XSN+을/JKO
전시하는	전시/NNG+하/XSV+는/ETM
특별전시실로	특별/NNG+전시실/NNG+로/JKB
꾸며져	꾸미/VV+어/EC+지/VX+어/EC
사용됐다.	사용/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000052.242.4.3
옛 충남도청사 본관(등록문화재 18호)은 우리나라의 대표적인 근대문화유산으로 꼽힌다.

옛	옛/MMA
충남도청사	충남도청사/NNP
본관(등록문화재	본관/NNG+(/SS+등록/NNG+문화재/NNG
18호)은	18/SN+호/NNB+)/SS+은/JX
우리나라의	우리나라/NNG+의/JKG
대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
근대문화유산으로	근대/NNG+문화유산/NNG+으로/JKB
꼽힌다.	꼽히/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.242.5.1
옛 충남도청사는 1932년 일제의 식민정책으로 충남 공주에서 대전으로 도청을 이전하면서 2층 벽돌 건물로 지어졌다.

옛	옛/MMA
충남도청사는	충남도청사/NNP+는/JX
1932년	1932/SN+년/NNB
일제의	일제/NNG+의/JKG
식민정책으로	식민/NNG+정책/NNG+으로/JKB
충남	충남/NNP
공주에서	공주/NNP+에서/JKB
대전으로	대전/NNP+으로/JKB
도청을	도청/NNG+을/JKO
이전하면서	이전/NNG+하/XSV+면서/EC
2층	2/SN+층/NNG
벽돌	벽돌/NNG
건물로	건물/NNG+로/JKB
지어졌다.	짓/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000052.242.5.2
한국전쟁 때는 정부청사로 쓰이기도 했다.

한국전쟁	한국/NNP+전쟁/NNG
때는	때/NNG+는/JX
정부청사로	정부/NNG+청사/NNG+로/JKB
쓰이기도	쓰이/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000052.242.5.3
1960년 3층으로 증축한 뒤 여러 차례 개보수가 이뤄지긴 했지만 원형을 잘 유지하고 있는 20세기 초 건축물이다.

1960년	1960/SN+년/NNB
3층으로	3/SN+층/NNG+으로/JKB
증축한	증축/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
여러	여러/MMN
차례	차례/NNG
개보수가	개보수/NNG+가/JKS
이뤄지긴	이뤄지/VV+기/ETN+ㄴ/JX
했지만	하/VX+았/EP+지만/EC
원형을	원형/NNG+을/JKO
잘	잘/MAG
유지하고	유지/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
20세기	20/SN+세기/NNG
초	초/NNB
건축물이다.	건축물/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.242.6.1
충남도 관계자는 “도지사실은 옛 충남도청의 핵심 공간인 만큼 본래 모습 그대로 보존해야 한다는 의견이 꾸준히 제기돼 이번에 복원하게 됐다.

충남도	충남도/NNP
관계자는	관계자/NNG+는/JX
“도지사실은	“/SS+도지사실/NNG+은/JX
옛	옛/MMA
충남도청의	충남도청/NNP+의/JKG
핵심	핵심/NNG
공간인	공간/NNG+이/VCP+ㄴ/ETM
만큼	만큼/NNB
본래	본래/NNG
모습	모습/NNG
그대로	그대로/MAG
보존해야	보존/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
의견이	의견/NNG+이/JKS
꾸준히	꾸준히/MAG
제기돼	제기/NNG+되/XSV+어/EC
이번에	이번/NNG+에/JKB
복원하게	복원/NNG+하/XSV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.242.6.2
도지사실에 있던 특별전시실은 옛 비서실장실로 옮겼다”고 설명했다.

도지사실에	도지사실/NNG+에/JKB
있던	있/VA+던/ETM
특별전시실은	특별/NNG+전시실/NNG+은/JX
옛	옛/MMA
비서실장실로	비서실장실/NNG+로/JKB
옮겼다”고	옮기/VV+었/EP+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.242.7.1
원형 복원한 옛 충남도지사실은 휴관일인 매주 월요일(월요일이 공휴일이면 화요일)을 빼고, 오전 10시∼오후 5시까지 무료로 관람할 수 있다.

원형	원형/NNG
복원한	복원/NNG+하/XSV+ㄴ/ETM
옛	옛/MMA
충남도지사실은	충남도지사실/NNP+은/JX
휴관일인	휴관일/NNG+이/VCP+ㄴ/ETM
매주	매주/MAG
월요일(월요일이	월요일/NNG+(/SS+월요일/NNG+이/JKS
공휴일이면	공휴일/NNG+이/VCP+면/EC
화요일)을	화요일/NNG+)/SS+을/JKO
빼고,	빼/VV+고/EC+,/SP
오전	오전/NNG
10시∼오후	10/SN+시/NNB+∼/SO+오후/NNG
5시까지	5/SN+시/NNB+까지/JX
무료로	무료/NNG+로/JKB
관람할	관람/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


