# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.149
metadata : {}


# id : NWRW1800000021.149.1.1
이승엽 이틀연속 대포… 시즌 7호

이승엽	이승엽/NNP
이틀연속	이틀/NNG+연속/NNG
대포…	대포/NNG+…/SE
시즌	시즌/NNG
7호	7/SN+호/NNB


# id : NWRW1800000021.149.2.1
이승엽(33·요미우리)이 이틀 연속 홈런포를 쏘아 올렸다.

이승엽(33·요미우리)이	이승엽/NNP+(/SS+33/SN+·/SP+요미우리/NNP+)/SS+이/JKS
이틀	이틀/NNG
연속	연속/NNG
홈런포를	홈런포/NNG+를/JKO
쏘아	쏘/VV+아/EC
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.149.2.2
그는 홈런 1개를 포함해 3안타를 폭발시키며 타격감이 살아나고 있음을 알렸다.

그는	그/NP+는/JX
홈런	홈런/NNG
1개를	1/SN+개/NNB+를/JKO
포함해	포함/NNG+하/XSV+아/EC
3안타를	3/SN+안타/NNG+를/JKO
폭발시키며	폭발/NNG+시키/XSV+며/EC
타격감이	타격감/NNG+이/JKS
살아나고	살아나/VV+고/EC
있음을	있/VX+음/ETN+을/JKO
알렸다.	알리/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.149.3.1
이승엽은 8일 도쿄돔에서 열린 주니치와의 홈경기에 1루수 겸 6번 타자로 선발 출장했다.

이승엽은	이승엽/NNP+은/JX
8일	8/SN+일/NNB
도쿄돔에서	도쿄돔/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
주니치와의	주니치/NNP+와/JKB+의/JKG
홈경기에	홈경기/NNG+에/JKB
1루수	1루수/NNG
겸	겸/NNB
6번	6/SN+번/NNB
타자로	타자/NNG+로/JKB
선발	선발/NNG
출장했다.	출장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.149.3.2
전날 요코하마와의 경기에서 연타석 홈런을 때린 이승엽은 확실히 달라진 모습이었다.

전날	전날/NNG
요코하마와의	요코하마/NNP+와/JKB+의/JKG
경기에서	경기/NNG+에서/JKB
연타석	연타석/NNG
홈런을	홈런/NNG+을/JKO
때린	때리/VV+ㄴ/ETM
이승엽은	이승엽/NNP+은/JX
확실히	확실히/MAG
달라진	달라지/VV+ㄴ/ETM
모습이었다.	모습/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000021.149.3.3
3-0으로 앞선 3회 무사 1루에서 두 번째 타석에 선 그는 상대 투수 맥시모 넬슨의 초구를 그대로 잡아 당겼다.

3-0으로	3/SN+-/SO+0/SN+으로/JKB
앞선	앞서/VV+ㄴ/ETM
3회	3/SN+회/NNB
무사	무사/NNG
1루에서	1루/NNG+에서/JKB
두	두/MMN
번째	번/NNB+째/XSN
타석에	타석/NNG+에/JKB
선	서/VV+ㄴ/ETM
그는	그/NP+는/JX
상대	상대/NNG
투수	투수/NNG
맥시모	맥시모/NNP
넬슨의	넬슨/NNP+의/JKG
초구를	초구/NNG+를/JKO
그대로	그대로/MAG
잡아	잡/VV+아/EC
당겼다.	당기/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.149.3.4
공은 총알처럼 뻗어나가 오른쪽 담장을 넘어갔다.

공은	공/NNG+은/JX
총알처럼	총알/NNG+처럼/JKB
뻗어나가	뻗/VV+어/EC+나가/VX+아/EC
오른쪽	오른쪽/NNG
담장을	담장/NNG+을/JKO
넘어갔다.	넘어가/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.149.3.5
넬슨의 시속 151km 강속구를 부숴 버린 시즌 7호 홈런이었다.

넬슨의	넬슨/NNP+의/JKG
시속	시속/NNG
151km	151/SN+km/SW
강속구를	강속구/NNG+를/JKO
부숴	부수/VV+어/EC
버린	버리/VX+ㄴ/ETM
시즌	시즌/NNG
7호	7/SN+호/NNB
홈런이었다.	홈런/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000021.149.4.1
이승엽의 방망이는 식을 줄 몰랐다.

이승엽의	이승엽/NNP+의/JKG
방망이는	방망이/NNG+는/JX
식을	식/VV+을/ETM
줄	줄/NNB
몰랐다.	모르/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.149.4.2
8-4로 앞선 6회 2사에서 주니치의 고바야시 마사토로부터 왼쪽 안타를 뽑아냈다.

8-4로	8/SN+-/SO+4/SN+로/JKB
앞선	앞서/VV+ㄴ/ETM
6회	6/SN+회/NNB
2사에서	2/SN+사/NNG+에서/JKB
주니치의	주니치/NNP+의/JKG
고바야시	고바야시/NNP
마사토로부터	마사토/NNP+로부터/JKB
왼쪽	왼쪽/NNG
안타를	안타/NNG+를/JKO
뽑아냈다.	뽑아내/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.149.4.3
상대 투수가 왼손 투수였기에 이 안타는 더욱 값졌다.

상대	상대/NNG
투수가	투수/NNG+가/JKS
왼손	왼손/NNG
투수였기에	투수/NNG+이/VCP+었/EP+기에/EC
이	이/MMD
안타는	안타/NNG+는/JX
더욱	더욱/MAG
값졌다.	값지/VA+었/EP+다/EF+./SF


# id : NWRW1800000021.149.4.4
점수 변화 없이 8회 1사 2, 3루에서 다시 타석에 들어선 이승엽은 주니치의 여섯 번째 투수 다카하시 아키후미에게 2타점 적시타를 때렸다.

점수	점수/NNG
변화	변화/NNG
없이	없이/MAG
8회	8/SN+회/NNB
1사	1/SN+사/NNG
2,	2/SN+,/SP
3루에서	3루/NNG+에서/JKB
다시	다시/MAG
타석에	타석/NNG+에/JKB
들어선	들어서/VV+ㄴ/ETM
이승엽은	이승엽/NNP+은/JX
주니치의	주니치/NNP+의/JKG
여섯	여섯/NR
번째	번/NNB+째/XSN
투수	투수/NNG
다카하시	다카하시/NNP
아키후미에게	아키후미/NNP+에게/JKB
2타점	2/SN+타점/NNG
적시타를	적시타/NNG+를/JKO
때렸다.	때리/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.149.4.5
5타수 3안타 4타점의 맹타를 휘두른 이승엽의 타율은 0.237로 올랐다.

5타수	5/SN+타수/NNG
3안타	3/SN+안타/NNG
4타점의	4/SN+타점/NNG+의/JKG
맹타를	맹타/NNG+를/JKO
휘두른	휘두르/VV+ㄴ/ETM
이승엽의	이승엽/NNP+의/JKG
타율은	타율/NNG+은/JX
0.237로	0/SN+./SP+237/SN+로/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


