# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.254
metadata : {}


# id : NWRW1800000029.254.1.1
[휴지통]‘Mr.

[휴지통]‘Mr.	[/SS+휴지통/NNG+]/SS+‘/SS+Mr/SL+./SF


# id : NWRW1800000029.254.1.2
쓴소리 경찰’의 반격…

쓴소리	쓴소리/NNG
경찰’의	경찰/NNG+’/SS+의/JKG
반격…	반격/NNG+…/SE


# id : NWRW1800000029.254.2.1
지방청장-서장 등 줄고소 “징계사유 조작해 파면” 주장

지방청장-서장	지방청장/NNG+-/SO+서장/NNG
등	등/NNB
줄고소	줄고소/NNG
“징계사유	“/SS+징계/NNG+사유/NNG
조작해	조작/NNG+하/XSV+아/EC
파면”	파면/NNG+”/SS
주장	주장/NNG


# id : NWRW1800000029.254.3.1
8일 오후 광주지검 민원실.

8일	8/SN+일/NNB
오후	오후/NNG
광주지검	광주지검/NNP
민원실.	민원실/NNG+./SF


# id : NWRW1800000029.254.3.2
경찰 내에서 ‘미스터 쓴소리’로 불리던 광주북부경찰서 교통과 소속 정모 경위(50)와 천모 경사(46) 등 전직 경찰관 2명이 고소장을 냈다.

경찰	경찰/NNG
내에서	내/NNB+에서/JKB
‘미스터	‘/SS+미스터/NNG
쓴소리’로	쓴소리/NNG+’/SS+로/JKB
불리던	불리/VV+던/ETM
광주북부경찰서	광주북부경찰서/NNP
교통과	교통과/NNG
소속	소속/NNG
정모	정/NNP+모/NP
경위(50)와	경위/NNG+(/SS+50/SN+)/SS+와/JC
천모	천/NNP+모/NP
경사(46)	경사/NNG+(/SS+46/SN+)/SS
등	등/NNB
전직	전직/NNG
경찰관	경찰관/NNG
2명이	2/SN+명/NNB+이/JKS
고소장을	고소장/NNG+을/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.254.3.3
이금형 광주지방경찰청장과 김재석 광주북부서장 등 상관 4명이 직권을 남용해 자신들을 파면했다는 내용이었다.

이금형	이금형/NNP
광주지방경찰청장과	광주지방경찰청장/NNG+과/JC
김재석	김재석/NNP
광주북부서장	광주북부서장/NNG
등	등/NNB
상관	상관/NNG
4명이	4/SN+명/NNB+이/JKS
직권을	직권/NNG+을/JKO
남용해	남용/NNG+하/XSV+아/EC
자신들을	자신/NNG+들/XSN+을/JKO
파면했다는	파면/NNG+하/XSV+았/EP+다는/ETM
내용이었다.	내용/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000029.254.4.1
광주북부서 징계위원회는 8월 25일 광주북부서에서 의경에게 욕설을 했다는 이유 등으로 정 경위를 파면하고 천 경사를 해임했다.

광주북부서	광주북부서/NNP
징계위원회는	징계/NNG+위원회/NNG+는/JX
8월	8/SN+월/NNB
25일	25/SN+일/NNB
광주북부서에서	광주북부서/NNP+에서/JKB
의경에게	의경/NNG+에게/JKB
욕설을	욕설/NNG+을/JKO
했다는	하/VV+았/EP+다는/ETM
이유	이유/NNG
등으로	등/NNB+으로/JKB
정	정/NNP
경위를	경위/NNG+를/JKO
파면하고	파면/NNG+하/XSV+고/EC
천	천/NNP
경사를	경사/NNG+를/JKO
