# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.261
metadata : {}


# id : NWRW1800000054.261.1.1
'빗장수비' 伊, 잠비아 꺾고 4강

'빗장수비'	'/SS+빗장/NNG+수비/NNG+'/SS
伊,	伊/SH+,/SP
잠비아	잠비아/NNP
꺾고	꺾/VV+고/EC
4강	4/SN+강/NNB


# id : NWRW1800000054.261.2.1
U-20, 한명 퇴장후 힘든 경기… 연장 후반 6분 결승골 3대2 승

U-20,	U/SL+-/SO+20/SN+,/SP
한명	한/MMN+명/NNB
퇴장후	퇴장/NNG+후/NNG
힘든	힘들/VA+ㄴ/ETM
경기…	경기/NNG+…/SE
연장	연장/NNG
후반	후반/NNG
6분	6/SN+분/NNB
결승골	결승/NNG+골/NNG
3대2	3/SN+대/NNB+2/SN
승	승/NNG


# id : NWRW1800000054.261.3.1
'아주리 군단' 이탈리아가 5일 열린 아프리카의 다크호스 잠비아와의 FIFA(국제축구연맹) U―20(20세 이하) 월드컵 8강전에서 연장 접전 끝에 3대2로 승리, 4강행을 확정했다.

'아주리	'/SS+아주리/NNG
군단'	군단/NNG+'/SS
이탈리아가	이탈리아/NNP+가/JKS
5일	5/SN+일/NNB
열린	열리/VV+ㄴ/ETM
아프리카의	아프리카/NNP+의/JKG
다크호스	다크호스/NNG
잠비아와의	잠비아/NNP+와/JKB+의/JKG
FIFA(국제축구연맹)	FIFA/SL+(/SS+국제축구연맹/NNP+)/SS
U―20(20세	U/SL+―/SS+20/SN+(/SS+20/SN+세/NNB
이하)	이하/NNG+)/SS
월드컵	월드컵/NNG
8강전에서	8/SN+강전/NNB+에서/JKB
연장	연장/NNG
접전	접전/NNG
끝에	끝/NNG+에/JKB
3대2로	3/SN+대/NNB+2/SN+로/JKB
승리,	승리/NNG+,/SP
4강행을	4/SN+강행/NNB+을/JKO
확정했다.	확정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.261.3.2
잠비아의 탈락으로 아시아에 이어 아프리카도 이번 대회에서 전멸하게 됐다.

잠비아의	잠비아/NNP+의/JKG
탈락으로	탈락/NNG+으로/JKB
아시아에	아시아/NNP+에/JKB
이어	잇/VV+어/EC
아프리카도	아프리카/NNP+도/JX
이번	이번/NNG
대회에서	대회/NNG+에서/JKB
전멸하게	전멸/NNG+하/XSV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.261.4.1
이탈리아가 처음부터 승기를 잡은 건 아니었다.

이탈리아가	이탈리아/NNP+가/JKS
처음부터	처음/NNG+부터/JX
승기를	승기/NNG+를/JKO
잡은	잡/VV+은/ETM
건	거/NNB+ㄴ/JX
아니었다.	아니/VCN+었/EP+다/EF+./SF


# id : NWRW1800000054.261.4.2
이탈리아는 전반 4분 만에 잠비아에 선제골을 내줬다.

이탈리아는	이탈리아/NNP+는/JX
전반	전반/NNG
4분	4/SN+분/NNB
만에	만/NNB+에/JKB
잠비아에	잠비아/NNP+에/JKB
선제골을	선제골/NNG+을/JKO
내줬다.	내주/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.261.4.3
설상가상으로 전반 43분에는 수비수 주세페 페첼라가 골키퍼와 일대일로 맞서게 된 잠비아 공격수를 밀어 퇴장당하기도 했다.

설상가상으로	설상가상/NNG+으로/JKB
전반	전반/NNG
43분에는	43/SN+분/NNB+에/JKB+는/JX
수비수	수비수/NNG
주세페	주세페/NNP
페첼라가	페첼라/NNP+가/JKS
골키퍼와	골키퍼/NNG+와/JKB
일대일로	일대일/NNG+로/JKB
맞서게	맞서/VV+게/EC
된	되/VV+ㄴ/ETM
잠비아	잠비아/NNP
공격수를	공격수/NNG+를/JKO
밀어	밀/VV+어/EC
퇴장당하기도	퇴장/NNG+당하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.261.5.1
한 점 뒤진 데다 10명만 뛰어야 하는 최악의 상황이었지만, 이탈리아는 포기하지 않았다.

한	한/MMN
점	점/NNB
뒤진	뒤지/VV+ㄴ/ETM
데다	데/NNB+다/JX
10명만	10/SN+명/NNB+만/JX
뛰어야	뛰/VV+어야/EC
하는	하/VX+는/ETM
최악의	최악/NNG+의/JKG
상황이었지만,	상황/NNG+이/VCP+었/EP+지만/EC+,/SP
이탈리아는	이탈리아/NNP+는/JX
포기하지	포기/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.261.5.2
전매특허인 '빗장수비'를 하면서 역습을 노린 끝에 이탈리아는 후반 5분 헤딩 동점 골을 넣고 승부를 원점으로 돌렸다.

전매특허인	전매특허/NNG+이/VCP+ㄴ/ETM
'빗장수비'를	'/SS+빗장/NNG+수비/NNG+'/SS+를/JKO
하면서	하/VV+면서/EC
역습을	역습/NNG+을/JKO
노린	노리/VV+ㄴ/ETM
끝에	끝/NNG+에/JKB
이탈리아는	이탈리아/NNP+는/JX
후반	후반/NNG
5분	5/SN+분/NNB
헤딩	헤딩/NNG
동점	동점/NNG
골을	골/NNG+을/JKO
넣고	넣/VV+고/EC
승부를	승부/NNG+를/JKO
원점으로	원점/NNG+으로/JKB
돌렸다.	돌리/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.261.6.1
후반 39분 잠비아에 역전 골을 내줬지만, 이탈리아는 경기 종료 2분을 남기고 프리킥으로 재동점 골을 만들며 기어이 승부를 연장으로 끌고 갔다.

후반	후반/NNG
39분	39/SN+분/NNB
잠비아에	잠비아/NNP+에/JKB
역전	역전/NNG
골을	골/NNG+을/JKO
내줬지만,	내주/VV+었/EP+지만/EC+,/SP
이탈리아는	이탈리아/NNP+는/JX
경기	경기/NNG
종료	종료/NNG
2분을	2/SN+분/NNB+을/JKO
남기고	남기/VV+고/EC
프리킥으로	프리킥/NNG+으로/JKB
재동점	재/XPN+동점/NNG
만들며	만들/VV+며/EC
기어이	기어이/MAG
승부를	승부/NNG+를/JKO
연장으로	연장/NNG+으로/JKB
끌고	끌/VV+고/EC
갔다.	가/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.261.7.1
그리고 연장 후반 6분.

그리고	그리고/MAJ
연장	연장/NNG
후반	후반/NNG
6분.	6/SN+분/NNB+./SF


# id : NWRW1800000054.261.7.2
이탈리아는 코너킥 상황에서 또다시 헤딩 골을 넣었다.

이탈리아는	이탈리아/NNP+는/JX
코너킥	코너킥/NNG
상황에서	상황/NNG+에서/JKB
또다시	또다시/MAG
헤딩	헤딩/NNG
골을	골/NNG+을/JKO
넣었다.	넣/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.261.7.3
120분의 혈투는 그렇게 마무리됐다.

120분의	120/SN+분/NNB+의/JKG
혈투는	혈투/NNG+는/JX
그렇게	그렇/VA+게/EC
마무리됐다.	마무리/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.261.7.4
이탈리아가 U―20 월드컵 준결승에 오른 것은 이번이 처음이다.

이탈리아가	이탈리아/NNP+가/JKS
U―20	U/SL+―/SS+20/SN
월드컵	월드컵/NNG
준결승에	준/XPN+결승/NNG+에/JKB
오른	오르/VV+ㄴ/ETM
것은	것/NNB+은/JX
이번이	이번/NNG+이/JKS
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.261.8.1
다른 8강전에서는 잉글랜드가 멕시코에 1대0으로 승리하며 4강행 티켓을 따냈다.

다른	다른/MMD
8강전에서는	8/SN+강전/NNB+에서/JKB+는/JX
잉글랜드가	잉글랜드/NNP+가/JKS
멕시코에	멕시코/NNP+에/JKB
1대0으로	1/SN+대/NNB+0/SN+으로/JKB
승리하며	승리/NNG+하/XSV+며/EC
4강행	4/SN+강행/NNB
티켓을	티켓/NNG+을/JKO
따냈다.	따/VV+아/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000054.261.8.2
잉글랜드와 이탈리아는 8일 오후 8시 전주월드컵경기장에서 결승 진출을 다툰다.

잉글랜드와	잉글랜드/NNP+와/JC
이탈리아는	이탈리아/NNP+는/JX
8일	8/SN+일/NNB
오후	오후/NNG
8시	8/SN+시/NNB
전주월드컵경기장에서	전주월드컵경기장/NNP+에서/JKB
결승	결승/NNG
진출을	진출/NNG+을/JKO
다툰다.	다투/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.261.8.3
우루과이와 베네수엘라는 같은 날 오후 5시 대전월드컵경기장에서 4강전을 벌인다.

우루과이와	우루과이/NNP+와/JC
베네수엘라는	베네수엘라/NNP+는/JX
같은	같/VA+은/ETM
날	날/NNG
오후	오후/NNG
5시	5/SN+시/NNB
대전월드컵경기장에서	대전월드컵경기장/NNP+에서/JKB
4강전을	4/SN+강전/NNB+을/JKO
벌인다.	벌이/VV+ㄴ다/EF+./SF


