# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.411
metadata : {}


# id : NWRW1800000021.411.1.1
운영능력 최고 - 건설비용 최저… 한국원전 국제무대 통했다

운영능력	운영/NNG+능력/NNG
최고	최고/NNG
-	-/SO
건설비용	건설/NNG+비용/NNG
최저…	최저/NNG+…/SE
한국원전	한국/NNP+원전/NNG
국제무대	국제/NNG+무대/NNG
통했다	통하/VV+았/EP+다/EF


# id : NWRW1800000021.411.2.1
반세기에 걸친 원자력 자립화의 노력이 한국 원전의 첫 해외 수출을 이뤄냈다.

반세기에	반세기/NNG+에/JKB
걸친	걸치/VV+ㄴ/ETM
원자력	원자력/NNG
자립화의	자립/NNG+화/XSN+의/JKG
노력이	노력/NNG+이/JKS
한국	한국/NNP
원전의	원전/NNG+의/JKG
첫	첫/MMN
해외	해외/NNG
수출을	수출/NNG+을/JKO
이뤄냈다.	이루/VV+어/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000021.411.2.2
광복 이후 한국은 제대로 된 발전소 하나 찾기 힘들었던 ‘전기의 불모지’였다.

광복	광복/NNG
이후	이후/NNG
한국은	한국/NNP+은/JX
제대로	제대로/MAG
된	되/VV+ㄴ/ETM
발전소	발전소/NNG
하나	하나/NR
찾기	찾/VV+기/ETN
힘들었던	힘들/VA+었/EP+던/ETM
‘전기의	‘/SS+전기/NNG+의/JKG
불모지’였다.	불모지/NNG+’/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000021.411.2.3
그러나 지난 50년 동안 무수한 비판과 반대를 극복하고 일관되게 원전을 건설하고 기술을 개발하면서 마침내 원전 선진국으로 우뚝 섰다.

그러나	그러나/MAJ
지난	지나/VV+ㄴ/ETM
50년	50/SN+년/NNB
동안	동안/NNG
무수한	무수/NNG+하/XSA+ㄴ/ETM
비판과	비판/NNG+과/JC
반대를	반대/NNG+를/JKO
극복하고	극복/NNG+하/XSV+고/EC
일관되게	일관/NNG+되/XSV+게/EC
원전을	원전/NNG+을/JKO
건설하고	건설/NNG+하/XSV+고/EC
기술을	기술/NNG+을/JKO
개발하면서	개발/NNG+하/XSV+면서/EC
마침내	마침내/MAG
원전	원전/NNG
선진국으로	선진국/NNG+으로/JKB
우뚝	우뚝/MAG
섰다.	서/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.411.3.1
○ 주 80시간 일하며 한국형 원전 개발

○	○/SW
주	주/NNG
80시간	80/SN+시간/NNB
일하며	일/NNG+하/XSV+며/EC
한국형	한국/NNP+형/XSN
원전	원전/NNG
개발	개발/NNG


# id : NWRW1800000021.411.4.1
한국의 원자력 역사는 1959년 원자력연구소가 설립되고 같은 해 국내 첫 연구용 원자로인 ‘트리가 마크II’가 기공되면서 시작됐다.

한국의	한국/NNP+의/JKG
원자력	원자력/NNG
역사는	역사/NNG+는/JX
1959년	1959/SN+년/NNB
원자력연구소가	원자력/NNG+연구소/NNG+가/JKS
설립되고	설립/NNG+되/XSV+고/EC
같은	같/VA+은/ETM
해	해/NNG
국내	국내/NNG
첫	첫/MMN
연구용	연구/NNG+용/XSN
원자로인	원자로/NNG+이/VCP+ㄴ/ETM
‘트리가	‘/SS+트리가/NNP
마크II’가	마크/NNG+II/SL+’/SS+가/JKS
기공되면서	기공/NNG+되/XSV+면서/EC
시작됐다.	시작/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000021.411.4.2
당시 ‘무한한 에너지’로 알려진 원자력 발전으로 가기 위한 첫걸음이었다.

당시	당시/NNG
‘무한한	‘/SS+무한/NNG+하/XSA+ㄴ/ETM
에너지’로	에너지/NNG+’/SS+로/JKB
알려진	알려지/VV+ㄴ/ETM
원자력	원자력/NNG
발전으로	발전/NNG+으로/JKB
가기	가/VV+기/ETN
위한	위하/VV+ㄴ/ETM
첫걸음이었다.	첫걸음/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000021.411.4.3
1970년대 들어 석유파동을 경험한 박정희 정부는 연구에 그치지 않고 상업용 원전인 고리 원전 1호기 건설을 추진했고, 미국의 도움으로 1978년 고리 원전을 완공해 세계 21번째 원전 보유국이 됐다.

1970년대	1970/SN+년대/NNB
들어	들/VV+어/EC
석유파동을	석유/NNG+파동/NNG+을/JKO
경험한	경험/NNG+하/XSV+ㄴ/ETM
박정희	박정희/NNP
정부는	정부/NNG+는/JX
연구에	연구/NNG+에/JKB
그치지	그치/VV+지/EC
않고	않/VX+고/EC
상업용	상업/NNG+용/XSN
원전인	원전/NNG+이/VCP+ㄴ/ETM
고리	고리/NNP
원전	원전/NNG
1호기	1/SN+호기/NNB
건설을	건설/NNG+을/JKO
추진했고,	추진/NNG+하/XSV+았/EP+고/EC+,/SP
미국의	미국/NNP+의/JKG
도움으로	도움/NNG+으로/JKB
1978년	1978/SN+년/NNB
원전을	원전/NNG+을/JKO
완공해	완공/NNG+하/XSV+아/EC
세계	세계/NNG
21번째	21/SN+번/NNB+째/XSN
보유국이	보유국/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.411.4.4
장인순 대덕클럽 회장(전 원자력연구소장)은 “고리 원전의 건설비가 당시 한국 정부 한 해 예산의 4배나 됐다”며 “무모한 일이라는 비판이 엄청났지만 박 대통령이 강한 의지로 극복하면서 오늘의 성공이 가능했다”고 말했다.

장인순	장인순/NNP
대덕클럽	대덕클럽/NNP
회장(전	회장/NNG+(/SS+전/MMD
원자력연구소장)은	원자력/NNG+연구소장/NNG+)/SS+은/JX
