# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.322
metadata : {}


# id : NWRW1800000026.322.1.1
[만물상] MVP 여민지의 일기

[만물상]	[/SS+만물상/NNG+]/SS
MVP	MVP/SL
여민지의	여민지/NNP+의/JKG
일기	일기/NNG


# id : NWRW1800000026.322.2.1
미국 LPGA투어에서 72승을 올린 애니카 소렌스탐은 '기록의 여인'으로 불린다.

미국	미국/NNP
LPGA투어에서	LPGA/SL+투어/NNG+에서/JKB
72승을	72/SN+승/NNB+을/JKO
올린	올리/VV+ㄴ/ETM
애니카	애니카/NNP
소렌스탐은	소렌스탐/NNP+은/JX
'기록의	'/SS+기록/NNG+의/JKG
여인'으로	여인/NNG+'/SS+으로/JKB
불린다.	불리/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.322.2.2
2008년 은퇴할 때까지 15년간 8차례나 '올해의 선수'에 오르며 수많은 기록을 갈아치운 까닭이다.

2008년	2008/SN+년/NNB
은퇴할	은퇴/NNG+하/XSV+ㄹ/ETM
때까지	때/NNG+까지/JX
15년간	15/SN+년/NNB+간/XSN
8차례나	8/SN+차례/NNG+나/JX
'올해의	'/SS+올해/NNG+의/JKG
선수'에	선수/NNG+'/SS+에/JKB
오르며	오르/VV+며/EC
수많은	수많/VA+은/ETM
기록을	기록/NNG+을/JKO
갈아치운	갈/VV+아/EC+치우/VX+ㄴ/ETM
까닭이다.	까닭/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.322.2.3
그녀는 또 다른 의미에서 '기록의 여인'이다.

그녀는	그녀/NP+는/JX
또	또/MAG
다른	다른/MMD
의미에서	의미/NNG+에서/JKB
'기록의	'/SS+기록/NNG+의/JKG
여인'이다.	여인/NNG+'/SS+이/VCP+다/EF+./SF


# id : NWRW1800000026.322.2.4
컴퓨터 회사에 근무했던 아버지의 영향으로 1987년부터 자신의 골프 관련 기록은 물론 실수 상황까지 자세하게 컴퓨터에 남겼다.

컴퓨터	컴퓨터/NNG
회사에	회사/NNG+에/JKB
근무했던	근무/NNG+하/XSV+았/EP+던/ETM
아버지의	아버지/NNG+의/JKG
영향으로	영향/NNG+으로/JKB
1987년부터	1987/SN+년/NNB+부터/JX
자신의	자신/NNG+의/JKG
골프	골프/NNG
관련	관련/NNG
기록은	기록/NNG+은/JX
물론	물론/MAG
실수	실수/NNG
상황까지	상황/NNG+까지/JX
자세하게	자세하/VA+게/EC
컴퓨터에	컴퓨터/NNG+에/JKB
남겼다.	남기/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.322.2.5
