# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.393
metadata : {}


# id : NWRW1800000049.393.1.1
[수도권]경기도 ‘준예산 사태’ 장기화 조짐

[수도권]경기도	[/SS+수도/NNG+권/XSN+]/SS+경기도/NNP
‘준예산	‘/SS+준/XPN+예산/NNG
사태’	사태/NNG+’/SS
장기화	장기/NNG+화/XSN
조짐	조짐/NNG


# id : NWRW1800000049.393.2.1
남경필 지사, 道의회 의장 만났지만 임시회-보육예산 대안 마련 실패 이재정 교육감은 회동 거부 道, 4일 14조9250억 준예산 편성… 광교신청사 건립 등 6000억 집행못해

남경필	남경필/NNP
지사,	지사/NNG+,/SP
道의회	道/SH+의회/NNG
의장	의장/NNG
만났지만	만나/VV+았/EP+지만/EC
임시회-보육예산	임시회/NNG+-/SO+보육/NNG+예산/NNG
대안	대안/NNG
마련	마련/NNG
실패	실패/NNG
이재정	이재정/NNP
교육감은	교육감/NNG+은/JX
회동	회동/NNG
거부	거부/NNG
道,	道/SH+,/SP
4일	4/SN+일/NNB
14조9250억	14/SN+조/NR+9250/SN+억/NR
준예산	준/XPN+예산/NNG
편성…	편성/NNG+…/SE
광교신청사	광교/NNP+신/XPN+청사/NNG
건립	건립/NNG
등	등/NNB
6000억	6000/SN+억/NR
집행못해	집행/NNG+못/MAG+하/VV+아/EF


# id : NWRW1800000049.393.3.1
누리과정 보육예산 편성을 둘러싸고 야기된 초유의 경기도 준예산 사태가 장기화할 조짐을 보이고 있다.

누리과정	누리/NNG+과정/NNG
보육예산	보육/NNG+예산/NNG
편성을	편성/NNG+을/JKO
둘러싸고	둘러싸/VV+고/EC
야기된	야기/NNG+되/XSV+ㄴ/ETM
초유의	초유/NNG+의/JKG
경기도	경기도/NNP
준예산	준/XPN+예산/NNG
사태가	사태/NNG+가/JKS
장기화할	장기/NNG+화/XSN+하/XSV+ㄹ/ETM
조짐을	조짐/NNG+을/JKO
보이고	보이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.393.4.1
남경필 경기지사는 3일 강득구 경기도의회 의장을 만나 2016년도 본예산안 의결을 위한 대책을 논의했다.

남경필	남경필/NNP
경기지사는	경기/NNP+지사/NNG+는/JX
3일	3/SN+일/NNB
강득구	강득구/NNP
경기도의회	경기도의회/NNP
의장을	의장/NNG+을/JKO
만나	만나/VV+아/EC
2016년도	2016/SN+년도/NNB
본예산안	본예산/NNG+안/NNG
의결을	의결/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
대책을	대책/NNG+을/JKO
논의했다.	논의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.393.4.2
하지만 40분가량 진행된 만남에서 예산안 처리를 위한 임시회 일정이나 보육예산 편성 관련 대안 마련에 실패했다.

하지만	하지만/MAJ
40분가량	40/SN+분/NNB+가량/XSN
진행된	진행/NNG+되/XSV+ㄴ/ETM
만남에서	만남/NNG+에서/JKB
예산안	예산안/NNG
처리를	처리/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
임시회	임시회/NNG
일정이나	일정/NNG+이나/JC
보육예산	보육/NNG+예산/NNG
편성	편성/NNG
관련	관련/NNG
대안	대안/NNG
마련에	마련/NNG+에/JKB
실패했다.	실패/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.393.5.1
이날 남 지사는 강 의장에게 준예산 사태 해결을 위해 조속한 임시회 개최 등을 촉구했다.

이날	이날/NNG
남	남/NNP
지사는	지사/NNG+는/JX
강	강/NNP
의장에게	의장/NNG+에게/JKB
준예산	준/XPN+예산/NNG
사태	사태/NNG
해결을	해결/NNG+을/JKO
위해	위하/VV+아/EC
