# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.186
metadata : {}


# id : NWRW1800000052.186.1.1
“청소년들에게 부끄럽지 않게 ‘작은 선행’이나마…”

“청소년들에게	“/SS+청소년/NNG+들/XSN+에게/JKB
부끄럽지	부끄럽/VA+지/EC
않게	않/VX+게/EC
‘작은	‘/SS+작/VA+은/ETM
선행’이나마…”	선행/NNG+’/SS+이나마/JX+…/SE+”/SS


# id : NWRW1800000052.186.2.1
47년째 ‘청소 봉사’하는 권호석씨

47년째	47/SN+년/NNB+째/XSN
‘청소	‘/SS+청소/NNG
봉사’하는	봉사/NNG+’/SS+하/VV+는/ETM
권호석씨	권호석/NNP+씨/NNB


# id : NWRW1800000052.186.3.1
쓰레기주워 이웃돕고 장학금도

쓰레기주워	쓰레기/NNG+줍/VV+어/EC
이웃돕고	이웃/NNG+돕/VV+고/EC
장학금도	장학금/NNG+도/JX


# id : NWRW1800000052.186.4.1
“무엇보다 말없이 지켜봐주며 응원해 준 아내와 한마디 불평없이 올곧게 자라준 자식들이 고마울 뿐입니다.

“무엇보다	“/SS+무엇/NP+보다/JKB
말없이	말없이/MAG
지켜봐주며	지켜보/VV+아/EC+주/VX+며/EC
응원해	응원/NNG+하/XSV+아/EC
준	주/VX+ㄴ/ETM
아내와	아내/NNG+와/JC
한마디	한마디/NNG
불평없이	불평/NNG+없이/MAG
올곧게	올곧/VA+게/EC
자라준	자라/VV+아/EC+주/VX+ㄴ/ETM
자식들이	자식/NNG+들/XSN+이/JKS
고마울	고맙/VA+ㄹ/ETM
뿐입니다.	뿐/NNB+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000052.186.4.2
자라나는 청소년들에게 말 보다는 실천을 통해 부끄럽지 않은 모습을 보여주고 싶었습니다.”

자라나는	자라나/VV+는/ETM
청소년들에게	청소년/NNG+들/XSN+에게/JKB
말	말/NNG
보다는	보다/JKB+는/JX
실천을	실천/NNG+을/JKO
통해	통하/VV+아/EC
부끄럽지	부끄럽/VA+지/EC
않은	않/VX+은/ETM
모습을	모습/NNG+을/JKO
보여주고	보이/VV+어/EC+주/VX+고/EC
싶었습니다.”	싶/VX+었/EP+습니다/EF+./SF+”/SS


# id : NWRW1800000052.186.5.1
47년째 청소 봉사를 하며 팔순을 바라보는 노인이 있다.

47년째	47/SN+년/NNB+째/XSN
