# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.16
metadata : {}


# id : NWRW1800000026.16.1.1
어린이집 실내 공간 발암물질 오염 심각;사용 금지된 살충제 쓰기도

어린이집	어린이집/NNG
실내	실내/NNG
공간	공간/NNG
발암물질	발암/NNG+물질/NNG
오염	오염/NNG
심각;사용	심각/XR+;/SW+사용/NNG
금지된	금지/NNG+되/XSV+ㄴ/ETM
살충제	살충제/NNG
쓰기도	쓰/VV+기/ETN+도/JX


# id : NWRW1800000026.16.2.1
놀이방·유치원 등의 실내 공간이 발암(發癌)물질과 유해 중금속 등으로 오염돼 어린이들의 건강에 악영향을 줄 수 있다는 조사 결과가 나왔다.

놀이방·유치원	놀이방/NNG+·/SP+유치원/NNG
등의	등/NNB+의/JKG
실내	실내/NNG
공간이	공간/NNG+이/JKS
발암(發癌)물질과	발암/NNG+(/SS+發癌/SH+)/SS+물질/NNG+과/JC
유해	유해/NNG
중금속	중금속/NNG
등으로	등/NNB+으로/JKB
오염돼	오염/NNG+되/XSV+어/EC
어린이들의	어린이/NNG+들/XSN+의/JKG
건강에	건강/NNG+에/JKB
악영향을	악영향/NNG+을/JKO
줄	주/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
조사	조사/NNG
결과가	결과/NNG+가/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.16.2.2
사용이 금지된 살충제가 놀이방 소독용 등으로 쓰인 데다 실내 공기도 자주 환기하지 않았기 때문이다.

사용이	사용/NNG+이/JKS
금지된	금지/NNG+되/XSV+ㄴ/ETM
살충제가	살충제/NNG+가/JKS
놀이방	놀이방/NNG
소독용	소독/NNG+용/XSN
등으로	등/NNB+으로/JKB
쓰인	쓰이/VV+ㄴ/ETM
데다	데/NNB+다/JX
실내	실내/NNG
공기도	공기/NNG+도/JX
자주	자주/MAG
환기하지	환기/NNG+하/XSV+지/EC
않았기	않/VX+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.16.3.1
환경부는 14일 "지난 2년간 서울을 비롯한 수도권의 어린이 보육 시설 166곳을 대상으로 실내 공기 오염 실태를 조사한 결과 대부분 시설의 실내 공기에서 포름알데히드·디클로르보스 같은 발암물질이 높은 농도로 검출됐다"고 밝혔다.

환경부는	환경부/NNG+는/JX
14일	14/SN+일/NNB
"지난	"/SS+지나/VV+ㄴ/ETM
2년간	2/SN+년/NNB+간/XSN
서울을	서울/NNP+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
수도권의	수도/NNG+권/XSN+의/JKG
어린이	어린이/NNG
보육	보육/NNG
시설	시설/NNG
166곳을	166/SN+곳/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
실내	실내/NNG
공기	공기/NNG
오염	오염/NNG
실태를	실태/NNG+를/JKO
조사한	조사/NNG+하/XSV+ㄴ/ETM
결과	결과/NNG
대부분	대/XPN+부분/NNG
시설의	시설/NNG+의/JKG
공기에서	공기/NNG+에서/JKB
포름알데히드·디클로르보스	포름알데히드/NNG+·/SP+디클로르보스/NNG
같은	같/VA+은/ETM
발암물질이	발암/NNG+물질/NNG+이/JKS
높은	높/VA+은/ETM
농도로	농도/NNG+로/JKB
검출됐다"고	검출/NNG+되/XSV+었/EP+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.16.4.1
포름알데히드는 접착제·페인트, 새로 들인 가구 등에서 뿜어나오고 디클로르보스는 살충제 용도로 쓰이는 화학물질이다.

포름알데히드는	포름알데히드/NNG+는/JX
접착제·페인트,	접착제/NNG+·/SP+페인트/NNG+,/SP
새로	새로/MAG
들인	들이/VV+ㄴ/ETM
가구	가구/NNG
등에서	등/NNB+에서/JKB
뿜어나오고	뿜/VV+어/EC+나오/VV+고/EC
디클로르보스는	디클로르보스/NNG+는/JX
