# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.180
metadata : {}


# id : NWRW1800000044.180.1.1
고양서 한국전쟁 민간인 희생자 파악나서

고양서	고양/NNP+서/JKB
한국전쟁	한국/NNP+전쟁/NNG
민간인	민간인/NNG
희생자	희생자/NNG
파악나서	파악/NNG+나서/VV+어/EF


# id : NWRW1800000044.180.2.1
[한겨레] 금정굴인권평화재단, 17일부터

[한겨레]	[/SS+한겨레/NNP+]/SS
금정굴인권평화재단,	금정굴인권평화재단/NNP+,/SP
17일부터	17/SN+일/NNB+부터/JX


# id : NWRW1800000044.180.3.1
한국전쟁의 민간인 희생자에 대한 국가 차원의 추가 조사가 이뤄지지 않자, 경기도 고양시의 민간단체가 고양지역 민간인 희생자 파악을 위한 실태조사에 나섰다.

한국전쟁의	한국/NNP+전쟁/NNG+의/JKG
민간인	민간인/NNG
희생자에	희생자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
국가	국가/NNG
차원의	차원/NNG+의/JKG
추가	추가/NNG
조사가	조사/NNG+가/JKS
이뤄지지	이뤄지/VV+지/EC
않자,	않/VX+자/EC+,/SP
경기도	경기도/NNP
고양시의	고양시/NNP+의/JKG
민간단체가	민간단체/NNG+가/JKS
고양지역	고양지역/NNP
희생자	희생자/NNG
파악을	파악/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
실태조사에	실태/NNG+조사/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.180.4.1
재단법인 금정굴인권평화재단은 12일 “진실·화해를 위한 과거사정리위원회의 활동 종료 뒤 희생자 유족들이 피해 사실을 호소할 방법이 없어졌다. 진실화해위에 신청을 못해 조사가 이뤄지지 않은 사건을 포함해 고양지역 민간인 희생 사건의 전모를 밝힐 실태조사에 들어가겠다”고 말했다.

재단법인	재단/NNG+법인/NNG
금정굴인권평화재단은	금정굴인권평화재단/NNP+은/JX
12일	12/SN+일/NNB
“진실·화해를	“/SS+진실/NNG+·/SP+화해/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
과거사정리위원회의	과거사/NNG+정리/NNG+위원회/NNG+의/JKG
활동	활동/NNG
종료	종료/NNG
뒤	뒤/NNG
희생자	희생자/NNG
유족들이	유족/NNG+들/XSN+이/JKS
피해	피해/NNG
사실을	사실/NNG+을/JKO
호소할	호소/NNG+하/XSV+ㄹ/ETM
방법이	방법/NNG+이/JKS
없어졌다.	없어지/VV+었/EP+다/EF+./SF
진실화해위에	진실/NNG+화해위/NNG+에/JKB
신청을	신청/NNG+을/JKO
못해	못/MAG+하/VV+아/EC
조사가	조사/NNG+가/JKS
이뤄지지	이뤄지/VV+지/EC
않은	않/VX+은/ETM
사건을	사건/NNG+을/JKO
포함해	포함/NNG+하/XSV+아/EC
고양지역	고양지역/NNP
민간인	민간인/NNG
희생	희생/NNG
사건의	사건/NNG+의/JKG
전모를	전모/NNG+를/JKO
밝힐	밝히/VV+ㄹ/ETM
실태조사에	실태/NNG+조사/NNG+에/JKB
들어가겠다”고	들어가/VV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.180.5.1
실태조사는 17일부터 다음달 18일까지 실시되며, 희생자 유족이나 목격자 등을 대상으로 조사원이 직접 방문해 증언을 듣는 형태로 진행된다.

실태조사는	실태/NNG+조사/NNG+는/JX
17일부터	17/SN+일/NNB+부터/JX
다음달	다음/NNG+달/NNG
18일까지	18/SN+일/NNB+까지/JX
실시되며,	실시/NNG+되/XSV+며/EC+,/SP
희생자	희생자/NNG
유족이나	유족/NNG+이나/JC
목격자	목격자/NNG
등을	등/NNB+을/JKO
대상으로	대상/NNG+으로/JKB
조사원이	조사원/NNG+이/JKS
직접	직접/MAG
방문해	방문/NNG+하/XSV+아/EC
증언을	증언/NNG+을/JKO
듣는	듣/VV+는/ETM
형태로	형태/NNG+로/JKB
진행된다.	진행/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000044.180.5.2
재단은 이를 위해 주민센터·마을회관·경로당 등에 전단지를 배포하고 펼침막 20개를 내걸었다.

재단은	재단/NNG+은/JX
이를	이/NP+를/JKO
위해	위하/VV+아/EC
주민센터·마을회관·경로당	주민/NNG+센터/NNG+·/SP+마을/NNG+회관/NNG+·/SP+경로당/NNG
등에	등/NNB+에/JKB
전단지를	전단지/NNG+를/JKO
배포하고	배포/NNG+하/XSV+고/EC
펼침막	펼침막/NNG
20개를	20/SN+개/NNB+를/JKO
내걸었다.	내걸/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.180.6.1
유왕선 금정굴인권평화재단 운영위원장은 “가족이 몰살당하거나 여러 이유로 밝히길 꺼리는 경우가 많은데다 오래된 사건이라 기억을 복원해 퍼즐을 맞추는 데 어려움이 많다. 실태조사가 곧바로 피해구제로 이어지지는 않지만 2기 진실화해위원회가 출범하면 중요한 증거자료로 사용될 수 있을 것”이라고 말했다.

유왕선	유왕선/NNP
금정굴인권평화재단	금정굴인권평화재단/NNP
운영위원장은	운영/NNG+위원장/NNG+은/JX
“가족이	“/SS+가족/NNG+이/JKS
몰살당하거나	몰살/NNG+당하/XSV+거나/EC
여러	여러/MMN
이유로	이유/NNG+로/JKB
밝히길	밝히/VV+기/ETN+ㄹ/JKO
꺼리는	꺼리/VV+는/ETM
경우가	경우/NNG+가/JKS
많은데다	많/VA+은/ETM+데/NNB+다/JX
오래된	오래/MAG+되/XSA+ㄴ/ETM
사건이라	사건/NNG+이/VCP+라/EC
기억을	기억/NNG+을/JKO
복원해	복원/NNG+하/XSV+아/EC
퍼즐을	퍼즐/NNG+을/JKO
맞추는	맞추/VV+는/ETM
데	데/NNB
어려움이	어려움/NNG+이/JKS
많다.	많/VA+다/EF+./SF
실태조사가	실태/NNG+조사/NNG+가/JKS
곧바로	곧바로/MAG
피해구제로	피해/NNG+구제/NNG+로/JKB
이어지지는	이어지/VV+지/EC+는/JX
않지만	않/VX+지만/EC
2기	2/SN+기/NNG
진실화해위원회가	진실/NNG+화해/NNG+위원회/NNG+가/JKS
출범하면	출범/NNG+하/XSV+면/EC
중요한	중요/NNG+하/XSA+ㄴ/ETM
증거자료로	증거/NNG+자료/NNG+로/JKB
사용될	사용/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.180.7.1
2006~2010년 활동한 1기 진실화해위원회가 조사한 내용을 보면, 한국전쟁 전후 민간인 희생자는 전국에서 9만7194명으로 추정됐고 이 가운데 15%인 1만4729명에 대해선 진상이 규명됐다.

2006~2010년	2006/SN+~/SO+2010/SN+년/NNB
활동한	활동/NNG+하/XSV+ㄴ/ETM
1기	1/SN+기/NNG
진실화해위원회가	진실/NNG+화해/NNG+위원회/NNG+가/JKS
조사한	조사/NNG+하/XSV+ㄴ/ETM
내용을	내용/NNG+을/JKO
보면,	보/VV+면/EC+,/SP
한국전쟁	한국/NNP+전쟁/NNG
전후	전후/NNG
민간인	민간인/NNG
희생자는	희생자/NNG+는/JX
전국에서	전국/NNG+에서/JKB
9만7194명으로	9/SN+만/NR+7194/SN+명/NNB+으로/JKB
추정됐고	추정/NNG+되/XSV+었/EP+고/EC
이	이/NP
가운데	가운데/NNG
15%인	15/SN+%/SW+이/VCP+ㄴ/ETM
1만4729명에	1/SN+만/NR+4729/SN+명/NNB+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
진상이	진상/NNG+이/JKS
규명됐다.	규명/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000044.180.7.2
고양시에서는 500여명이 부역 혐의로 희생됐으며, 102명이 진상규명됐다.

고양시에서는	고양시/NNP+에서/JKB+는/JX
500여명이	500/SN+여/XSN+명/NNB+이/JKS
부역	부역/NNG
혐의로	혐의/NNG+로/JKB
희생됐으며,	희생/NNG+되/XSV+었/EP+으며/EC+,/SP
102명이	102/SN+명/NNB+이/JKS
진상규명됐다.	진상/NNG+규명/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000044.180.7.3
그러나 진실화해위의 조사는 신청된 사건 중심으로 극히 일부에 불과한 것으로 보인다.

그러나	그러나/MAJ
진실화해위의	진실/NNG+화해위/NNG+의/JKG
조사는	조사/NNG+는/JX
신청된	신청/NNG+되/XSV+ㄴ/ETM
사건	사건/NNG
중심으로	중심/NNG+으로/JKB
극히	극히/MAG
일부에	일부/NNG+에/JKB
불과한	불과/MAG+하/XSA+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.180.7.4
여러 자료들을 종합하면 실제 희생자는 전국 100만명 이상, 고양시 730여명으로 재단은 추정했다.

여러	여러/MMN
자료들을	자료/NNG+들/XSN+을/JKO
종합하면	종합/NNG+하/XSV+면/EC
실제	실제/NNG
희생자는	희생자/NNG+는/JX
전국	전국/NNG
100만명	100/SN+만/NR+명/NNB
이상,	이상/NNG+,/SP
고양시	고양시/NNP
730여명으로	730/SN+여/XSN+명/NNB+으로/JKB
재단은	재단/NNG+은/JX
추정했다.	추정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.180.7.5
진실화해위에서 조사팀장을 지낸 신기철 금정굴인권평화연구소장은 “진실규명된 민간인 희생자가 전체의 1%에 불과한 만큼, 정부는 진실화해위를 조속히 재가동해 미완으로 끝난 학살 진실규명에 나서야 한다”고 주장했다.

진실화해위에서	진실/NNG+화해위/NNG+에서/JKB
조사팀장을	조사/NNG+팀장/NNG+을/JKO
지낸	지내/VV+ㄴ/ETM
신기철	신기철/NNP
금정굴인권평화연구소장은	금정굴인권평화연구소장/NNG+은/JX
“진실규명된	“/SS+진실/NNG+규명/NNG+되/XSV+ㄴ/ETM
민간인	민간인/NNG
희생자가	희생자/NNG+가/JKS
전체의	전체/NNG+의/JKG
1%에	1/SN+%/SW+에/JKB
불과한	불과/MAG+하/XSA+ㄴ/ETM
만큼,	만큼/NNB+,/SP
정부는	정부/NNG+는/JX
진실화해위를	진실/NNG+화해위/NNG+를/JKO
조속히	조속히/MAG
재가동해	재/XPN+가동/NNG+하/XSV+아/EC
미완으로	미완/NNG+으로/JKB
끝난	끝나/VV+ㄴ/ETM
학살	학살/NNG
진실규명에	진실/NNG+규명/NNG+에/JKB
나서야	나서/VV+어야/EC
