# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.313
metadata : {}


# id : NWRW1800000026.313.1.1
'후계자 단독 출마, 97% 찬성'은 북한과 시리아뿐;'3代 세습' 북한 통해 본 '세습 독재' 7개국 연구

'후계자	'/SS+후계자/NNG
단독	단독/NNG
출마,	출마/NNG+,/SP
97%	97/SN+%/SW
찬성'은	찬성/NNG+'/SS+은/JX
북한과	북한/NNP+과/JC
시리아뿐;'3代	시리아/NNP+뿐/JX+;/SP+'/SS+3/SN+代/SH
세습'	세습/NNG+'/SS
북한	북한/NNP
통해	통하/VV+아/EC
본	보/VV+ㄴ/ETM
'세습	'/SS+세습/NNG
독재'	독재/NNG+'/SS
7개국	7/SN+개국/NNB
연구	연구/NNG


# id : NWRW1800000026.313.2.1
북한 김정일 위원장이 셋째 김정은을 후계자로 삼는 절차를 진행하고 있다는 뉴스는 현대사에 유례를 볼 수 없는 3대(代) 세습이자 세계적 정치 스캔들이다.

북한	북한/NNP
김정일	김정일/NNP
위원장이	위원장/NNG+이/JKS
셋째	셋째/NR
김정은을	김정은/NNP+을/JKO
후계자로	후계자/NNG+로/JKB
삼는	삼/VV+는/ETM
절차를	절차/NNG+를/JKO
진행하고	진행/NNG+하/XSV+고/EC
있다는	있/VX+다는/ETM
뉴스는	뉴스/NNG+는/JX
현대사에	현대사/NNG+에/JKB
유례를	유례/NNG+를/JKO
볼	보/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
3대(代)	3/SN+대/NNB+(/SS+代/SH+)/SS
세습이자	세습/NNG+이/VCP+자/EC
세계적	세계/NNG+적/XSN
정치	정치/NNG
스캔들이다.	스캔들/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.313.2.2
현재 지구상에서 부자간 혹은 형제간 '세습독재'를 하는 나라는 7~8개 국가가 꼽힌다.

현재	현재/MAG
지구상에서	지구/NNG+상/XSN+에서/JKB
부자간	부자간/NNG
혹은	혹은/MAG
형제간	형제간/NNG
'세습독재'를	'/SS+세습/NNG+독재/NNG+'/SS+를/JKO
하는	하/VV+는/ETM
나라는	나라/NNG+는/JX
7~8개	7/SN+~/SO+8/SN+개/NNB
국가가	국가/NNG+가/JKS
꼽힌다.	꼽히/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.313.2.3
겉으로는 공화주의 정체(政體)를 갖추고 있으나 허울뿐이고 내용은 절대 왕정과 다를 바가 없다.

겉으로는	겉/NNG+으로/JKB+는/JX
공화주의	공화주의/NNG
정체(政體)를	정체/NNG+(/SS+政體/SH+)/SS+를/JKO
갖추고	갖추/VV+고/EC
있으나	있/VX+으나/EC
허울뿐이고	허울/NNG+뿐/JX+이/VCP+고/EC
내용은	내용/NNG+은/JX
절대	절대/NNG
왕정과	왕정/NNG+과/JKB
다를	다르/VA+ㄹ/ETM
바가	바/NNB+가/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000026.313.2.4
이들 국가에서 세습 독재가 등장하게 된 정치·사회적 배경은 모두 다르다.

이들	이/NP+들/XSN
국가에서	국가/NNG+에서/JKB
세습	세습/NNG
독재가	독재/NNG+가/JKS
등장하게	등장/NNG+하/XSV+게/EC
된	되/VV+ㄴ/ETM
정치·사회적	정치/NNG+·/SP+사회/NNG+적/XSN
배경은	배경/NNG+은/JX
모두	모두/MAG
다르다.	다르/VA+다/EF+./SF


# id : NWRW1800000026.313.2.5
하지만 ▲저성장·고실업의 열악한 경제 환경 ▲잦은 쿠데타와 정정(政情) 불안으로 인한 시민의 정치적 무관심 ▲지속적인 민족 혹은 종교 간 분쟁 등은 공통점으로 거론된다.

하지만	하지만/MAJ
▲저성장·고실업의	▲/SW+저/XPN+성장/NNG+·/SP+고/XPN+실업/NNG+의/JKG
열악한	열악하/VA+ㄴ/ETM
경제	경제/NNG
환경	환경/NNG
▲잦은	▲/SW+잦/VA+은/ETM
쿠데타와	쿠데타/NNG+와/JC
정정(政情)	정정/NNG+(/SS+政情/SH+)/SS
불안으로	불안/NNG+으로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
시민의	시민/NNG+의/JKG
정치적	정치/NNG+적/XSN
무관심	무/XPN+관심/NNG
▲지속적인	▲/SW+지속/NNG+적/XSN+이/VCP+ㄴ/ETM
민족	민족/NNG
혹은	혹은/MAG
종교	종교/NNG
간	간/NNB
분쟁	분쟁/NNG
등은	등/NNB+은/JX
공통점으로	공통점/NNG+으로/JKB
거론된다.	거론/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.313.3.1
◆득표율 98%… 출마 위해 헌법 개정

◆득표율	◆/SW+득표/NNG+율/XSN
98%…	98/SN+%/SW+…/SE
출마	출마/NNG
위해	위하/VV+아/EC
헌법	헌법/NNG
개정	개정/NNG


# id : NWRW1800000026.313.4.1
아버지 하페즈 알 아사드 시리아 대통령이 사망한 2000년, 아들 바샤르는 국민투표에서 97.2%의 찬성으로 대통령에 당선됐다.

아버지	아버지/NNG
하페즈	하페즈/NNP
알	알/NNP
아사드	아사드/NNP
시리아	시리아/NNP
대통령이	대통령/NNG+이/JKS
사망한	사망/NNG+하/XSV+ㄴ/ETM
2000년,	2000/SN+년/NNB+,/SP
아들	아들/NNG
바샤르는	바샤르/NNP+는/JX
국민투표에서	국민/NNG+투표/NNG+에서/JKB
97.2%의	97/SN+./SP+2/SN+%/SW+의/JKG
찬성으로	찬성/NNG+으로/JKB
대통령에	대통령/NNG+에/JKB
당선됐다.	당선/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.313.4.2
그는 2007년 5월 치러진 대선에도 단독 출마해 97.6%를 득표했다.

그는	그/NP+는/JX
2007년	2007/SN+년/NNB
5월	5/SN+월/NNB
치러진	치르/VV+어/EC+지/VX+ㄴ/ETM
대선에도	대선/NNG+에/JKB+도/JX
단독	단독/NNG
출마해	출마/NNG+하/XSV+아/EC
97.6%를	97/SN+./SP+6/SN+%/SW+를/JKO
득표했다.	득표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.313.4.3
선거에서 이 정도의 득표율을 공개적으로 자랑하는 나라는 이제 지구상에 북한과 시리아만 남았다.

선거에서	선거/NNG+에서/JKB
이	이/MMD
정도의	정도/NNG+의/JKG
득표율을	득표/NNG+율/XSN+을/JKO
공개적으로	공개/NNG+적/XSN+으로/JKB
자랑하는	자랑/NNG+하/XSV+는/ETM
나라는	나라/NNG+는/JX
이제	이제/MAG
지구상에	지구/NNG+상/XSN+에/JKB
북한과	북한/NNP+과/JC
시리아만	시리아/NNP+만/JX
남았다.	남/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.313.4.4
큰 키에 조근조근한 말투, 웃을 때 소리를 내지 않는다고 알려진 바샤르 알아사드에 대해, 집권 초에는 "아버지 세대 혁명가들에게 억눌려 단명할 것"이라는 전망이 많았다.

큰	크/VA+ㄴ/ETM
키에	키/NNG+에/JKB
조근조근한	조근조근/MAG+하/XSA+ㄴ/ETM
말투,	말투/NNG+,/SP
웃을	웃/VV+을/ETM
때	때/NNG
소리를	소리/NNG+를/JKO
내지	내/VV+지/EC
않는다고	않/VX+는다고/EC
알려진	알려지/VV+ㄴ/ETM
바샤르	바샤르/NNP
알아사드에	알아사드/NNP+에/JKB
대해,	대하/VV+아/EC+,/SP
집권	집권/NNG
초에는	초/NNB+에/JKB+는/JX
"아버지	"/SS+아버지/NNG
세대	세대/NNG
혁명가들에게	혁명가/NNG+들/XSN+에게/JKB
억눌려	억눌리/VV+어/EC
