# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.243
metadata : {}


# id : NWRW1800000024.243.1.1
감옥에서 자란 교육민주화 씨앗

감옥에서	감옥/NNG+에서/JKB
자란	자라/VV+ㄴ/ETM
교육민주화	교육/NNG+민주/NNG+화/XSN
씨앗	씨앗/NNG


# id : NWRW1800000024.243.2.1
붉은 담 안에서 전한 사연

붉은	붉/VA+은/ETM
담	담/NNG
안에서	안/NNG+에서/JKB
전한	전하/VV+ㄴ/ETM
사연	사연/NNG


# id : NWRW1800000024.243.3.1
감방에서 쓰는 편지는 애절하다.

감방에서	감방/NNG+에서/JKB
쓰는	쓰/VV+는/ETM
편지는	편지/NNG+는/JX
애절하다.	애절하/VA+다/EF+./SF


# id : NWRW1800000024.243.3.2
주변에 대한 마음 씀씀이가 유난하고, 생각의 깊이도 다르다.

주변에	주변/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
마음	마음/NNG
씀씀이가	씀씀이/NNG+가/JKS
유난하고,	유난/NNG+하/XSA+고/EC+,/SP
생각의	생각/NNG+의/JKG
깊이도	깊이/NNG+도/JX
다르다.	다르/VA+다/EF+./SF


# id : NWRW1800000024.243.3.3
평생을 독재와 몰상식에 맞서 교육과 사회 민주화에 바쳐온 이목 선생의 편지들도 그렇다.

평생을	평생/NNG+을/JKO
독재와	독재/NNG+와/JC
몰상식에	몰상식/NNG+에/JKB
맞서	맞서/VV+어/EC
교육과	교육/NNG+과/JC
사회	사회/NNG
민주화에	민주/NNG+화/XSN+에/JKB
바쳐온	바치/VV+어/EC+오/VX+ㄴ/ETM
이목	이목/NNP
선생의	선생/NNG+의/JKG
편지들도	편지/NNG+들/XSN+도/JX
그렇다.	그렇/VA+다/EF+./SF


# id : NWRW1800000024.243.3.4
<붉은 담 안에서 전한 사연>은 부제 그대로 ‘참교육 운동의 뿌리, 이목 선생의 옥중 서간집’이다.

<붉은	</SS+붉/VA+은/ETM
담	담/NNG
안에서	안/NNG+에서/JKB
전한	전하/VV+ㄴ/ETM
사연>은	사연/NNG+>/SS+은/JX
부제	부제/NNG
그대로	그대로/MAG
‘참교육	‘/SS+참교육/NNG
운동의	운동/NNG+의/JKG
뿌리,	뿌리/NNG+,/SP
이목	이목/NNP
선생의	선생/NNG+의/JKG
