# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.236
metadata : {}


# id : NWRW1800000032.236.1.1
환경부, 한강 수변구역 4대강 사업에 넘겼다

환경부,	환경부/NNG+,/SP
한강	한강/NNP
수변구역	수변/NNG+구역/NNG
4대강	4/SN+대/NNG+강/NNG
사업에	사업/NNG+에/JKB
넘겼다	넘기/VV+었/EP+다/EF


# id : NWRW1800000032.236.2.1
국토부에 19만㎡ 매각·교환

국토부에	국토부/NNG+에/JKB
19만㎡	19/SN+만/NR+㎡/SW
매각·교환	매각/NNG+·/SP+교환/NNG


# id : NWRW1800000032.236.3.1
홍희덕 의원 “개발위한 수순”

홍희덕	홍희덕/NNP
의원	의원/NNG
“개발위한	“/SS+개발/NNG+위하/VV+ㄴ/ETM
수순”	수순/NNG+”/SS


# id : NWRW1800000032.236.4.1
수도권 상수원 보호를 위해 개발이 엄격히 제한된 한강 수변구역을 환경부가 지난해부터 4대강 사업을 위해 국토해양부에 넘겨온 것으로 드러났다.

수도권	수도/NNG+권/XSN
상수원	상수원/NNG
보호를	보호/NNG+를/JKO
위해	위하/VV+아/EC
개발이	개발/NNG+이/JKS
엄격히	엄격히/MAG
제한된	제한/NNG+되/XSV+ㄴ/ETM
한강	한강/NNP
수변구역을	수변/NNG+구역/NNG+을/JKO
환경부가	환경부/NNG+가/JKS
지난해부터	지난해/NNG+부터/JX
4대강	4/SN+대/NNG+강/NNG
사업을	사업/NNG+을/JKO
국토해양부에	국토/NNG+해양부/NNG+에/JKB
넘겨온	넘기/VV+어/EC+오/VX+ㄴ/ETM
것으로	것/NNB+으로/JKB
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.236.4.2
특히 ‘4대강 수변 새도시’로 가장 유력한 경기 여주군 남한강 이포보 일대의 땅이 대거 포함된 것으로 확인됐다.

특히	특히/MAG
‘4대강	‘/SS+4/SN+대/NNG+강/NNG
수변	수변/NNG
새도시’로	새/MMA+도시/NNG+’/SS+로/JKB
가장	가장/MAG
유력한	유력/NNG+하/XSA+ㄴ/ETM
경기	경기/NNP
여주군	여주군/NNP
남한강	남한강/NNP
이포보	이포보/NNP
일대의	일대/NNG+의/JKG
땅이	땅/NNG+이/JKS
대거	대거/MAG
포함된	포함/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000032.236.5.1
18일 환경부가 국회 환경노동위원회 소속 홍희덕 의원(민주노동당)에게 제출한 국정감사 자료를 보면, 환경부는 지난해 6월 한강수계관리실무위원회에서 경기 양평, 여주, 가평, 남양주와 충북 충주 등 한강 사업구간에 포함되는 수변구역 땅 19만7498㎡를 국토해양부에 팔거나 맞바꾸기로 결정하고 관련 절차를 밟고 있는 것으로 나타났다.

18일	18/SN+일/NNB
환경부가	환경부/NNG+가/JKS
국회	국회/NNG
환경노동위원회	환경/NNG+노동/NNG+위원회/NNG
소속	소속/NNG
홍희덕	홍희덕/NNP
의원(민주노동당)에게	의원/NNG+(/SS+민주노동당/NNP+)/SS+에게/JKB
제출한	제출/NNG+하/XSV+ㄴ/ETM
국정감사	국정/NNG+감사/NNG
자료를	자료/NNG+를/JKO
보면,	보/VV+면/EC+,/SP
환경부는	환경부/NNG+는/JX
지난해	지난해/NNG
6월	6/SN+월/NNB
한강수계관리실무위원회에서	한강수계관리실무위원회/NNP+에서/JKB
경기	경기/NNP
양평,	양평/NNP+,/SP
여주,	여주/NNP+,/SP
가평,	가평/NNP+,/SP
남양주와	남양주/NNP+와/JC
충북	충북/NNP
충주	충주/NNP
등	등/NNB
한강	한강/NNP
사업구간에	사업/NNG+구간/NNG+에/JKB
포함되는	포함/NNG+되/XSV+는/ETM
수변구역	수변/NNG+구역/NNG
땅	땅/NNG
19만7498㎡를	19/SN+만/NR+7498/SN+㎡/SW+를/JKO
국토해양부에	국토/NNG+해양부/NNG+에/JKB
팔거나	팔/VV+거나/EC
맞바꾸기로	맞바꾸/VV+기/ETN+로/JKB
결정하고	결정/NNG+하/XSV+고/EC
관련	관련/NNG
절차를	절차/NNG+를/JKO
밟고	밟/VV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.236.6.1
이번에 넘기기로 한 땅은 수도권 주민들이 낸 물이용부담금으로 2001년부터 차례로 매입한 것이다.

이번에	이번/NNG+에/JKB
넘기기로	넘기/VV+기/ETN+로/JKB
한	하/VV+ㄴ/ETM
땅은	땅/NNG+은/JX
수도권	수도/NNG+권/XSN
주민들이	주민/NNG+들/XSN+이/JKS
낸	내/VV+ㄴ/ETM
물이용부담금으로	물/NNG+이용/NNG+부담금/NNG+으로/JKB
2001년부터	2001/SN+년/NNB+부터/JX
차례로	차례/NNG+로/JKB
매입한	매입/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.236.6.2
수도권 주민들은 물 1t당 170원의 물이용부담금을 수도요금과 함께 내고 있다.

수도권	수도/NNG+권/XSN
주민들은	주민/NNG+들/XSN+은/JX
물	물/NNG
1t당	1/SN+t/SW+당/XSN
170원의	170/SN+원/NNB+의/JKG
물이용부담금을	물/NNG+이용/NNG+부담금/NNG+을/JKO
수도요금과	수도/NNG+요금/NNG+과/JKB
함께	함께/MAG
내고	내/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.236.7.1
환경부가 낸 수변구역 국유지 관리 전환 자료를 보면, 국토부에 넘겼거나 넘길 예정인 땅 가운데 77%에 이르는 15만1297㎡가 이포보 주변의 수변구역인 것으로 확인됐다.

환경부가	환경부/NNG+가/JKS
낸	내/VV+ㄴ/ETM
수변구역	수변/NNG+구역/NNG
국유지	국유지/NNG
관리	관리/NNG
전환	전환/NNG
자료를	자료/NNG+를/JKO
보면,	보/VV+면/EC+,/SP
국토부에	국토부/NNG+에/JKB
넘겼거나	넘기/VV+었/EP+거나/EC
넘길	넘기/VV+ㄹ/ETM
예정인	예정/NNG+이/VCP+ㄴ/ETM
땅	땅/NNG
가운데	가운데/NNG
77%에	77/SN+%/SW+에/JKB
이르는	이르/VV+는/ETM
15만1297㎡가	15/SN+만/NR+1297/SN+㎡/SW+가/JKS
이포보	이포보/NNP
주변의	주변/NNG+의/JKG
수변구역인	수변/NNG+구역/NNG+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000032.236.7.2
이 지역은 서울과 가까워 4대강 새도시로 가장 유력한 곳이다.

이	이/MMD
지역은	지역/NNG+은/JX
서울과	서울/NNP+과/JKB
가까워	가깝/VA+어/EC
4대강	4/SN+대/NNG+강/NNG
새도시로	새/MMA+도시/NNG+로/JKB
가장	가장/MAG
유력한	유력/NNG+하/XSA+ㄴ/ETM
곳이다.	곳/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.236.7.3
국토부의 4대강 개발계획을 보면, 스포츠필드·오토캠핑장·가족 피크닉파크 등이 이 지역 당남지구에 들어설 예정이어서, 앞으로 이곳이 4대강 새도시의 배후·위락단지로 기능할 것으로 추정된다.

국토부의	국토부/NNG+의/JKG
4대강	4/SN+대/NNG+강/NNG
개발계획을	개발/NNG+계획/NNG+을/JKO
보면,	보/VV+면/EC+,/SP
스포츠필드·오토캠핑장·가족	스포츠/NNG+필드/NNG+·/SP+오토캠핑장/NNG+·/SP+가족/NNG
피크닉파크	피크닉/NNG+파크/NNG
등이	등/NNB+이/JKS
이	이/MMD
지역	지역/NNG
당남지구에	당남지구/NNP+에/JKB
들어설	들어서/VV+ㄹ/ETM
예정이어서,	예정/NNG+이/VCP+어서/EC+,/SP
앞으로	앞/NNG+으로/JKB
이곳이	이곳/NP+이/JKS
새도시의	새/MMA+도시/NNG+의/JKG
배후·위락단지로	배후/NNG+·/SP+위락/NNG+단지/NNG+로/JKB
기능할	기능/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
추정된다.	추정/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000032.236.8.1
홍희덕 의원은 “4대강 공사 공구에 수변구역을 넘긴 것은, 4대강 개발을 위한 친수구역에 수변구역 땅을 편입시키려는 사전작업”이라며 “당장 수변구역 매각 절차를 중단해야 한다”고 말했다.

홍희덕	홍희덕/NNP
의원은	의원/NNG+은/JX
“4대강	“/SS+4/SN+대/NNG+강/NNG
공사	공사/NNG
공구에	공구/NNG+에/JKB
수변구역을	수변/NNG+구역/NNG+을/JKO
넘긴	넘기/VV+ㄴ/ETM
것은,	것/NNB+은/JX+,/SP
4대강	4/SN+대/NNG+강/NNG
개발을	개발/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
친수구역에	친수/NNG+구역/NNG+에/JKB
수변구역	수변/NNG+구역/NNG
땅을	땅/NNG+을/JKO
편입시키려는	편입/NNG+시키/XSV+려는/ETM
사전작업”이라며	사전/NNG+작업/NNG+”/SS+이/VCP+라며/EC
“당장	“/SS+당장/NNG
매각	매각/NNG
절차를	절차/NNG+를/JKO
중단해야	중단/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.236.9.1
그러나 환경부 관계자는 “4대강 사업으로 하천의 모양이 바뀜에 따라 새로 하천부지로 포함되는 수변구역 땅을 국토부에 주고 옛 하천부지를 받기로 한 것”이라며 “이포보 주변의 4대강 신도시는 아직 결정된 바 없다”고 말했다.

그러나	그러나/MAJ
환경부	환경부/NNG
관계자는	관계자/NNG+는/JX
“4대강	“/SS+4/SN+대/NNG+강/NNG
사업으로	사업/NNG+으로/JKB
하천의	하천/NNG+의/JKG
모양이	모양/NNG+이/JKS
바뀜에	바뀌/VV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
새로	새로/MAG
하천부지로	하천/NNG+부지/NNG+로/JKB
포함되는	포함/NNG+되/XSV+는/ETM
수변구역	수변/NNG+구역/NNG
땅을	땅/NNG+을/JKO
국토부에	국토부/NNG+에/JKB
주고	주/VV+고/EC
옛	옛/MMA
하천부지를	하천/NNG+부지/NNG+를/JKO
받기로	받/VV+기/ETN+로/JKB
한	하/VV+ㄴ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“이포보	“/SS+이포보/NNP
주변의	주변/NNG+의/JKG
4대강	4/SN+대/NNG+강/NNG
신도시는	신/XPN+도시/NNG+는/JX
