# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.421
metadata : {}


# id : NWRW1800000054.421.1.1
文대통령 추석 후 첫 메시지는 '적폐청산과 민생'

文대통령	文/SH+대통령/NNG
추석	추석/NNG
후	후/NNG
첫	첫/MMN
메시지는	메시지/NNG+는/JX
'적폐청산과	'/SS+적폐/NNG+청산/NNG+과/JC
민생'	민생/NNG+'/SS


# id : NWRW1800000054.421.2.1
정치보복 논란 제기되고 있지만 "司正 아니라 관행 혁신" 언급하며 적폐청산 계속 추진할 뜻 비쳐

정치보복	정치/NNG+보복/NNG
논란	논란/NNG
제기되고	제기/NNG+되/XSV+고/EC
있지만	있/VX+지만/EC
"司正	"/SS+司正/SH
아니라	아니/VCN+라/EC
관행	관행/NNG
혁신"	혁신/NNG+"/SS
언급하며	언급/NNG+하/XSV+며/EC
적폐청산	적폐/NNG+청산/NNG
계속	계속/MAG
추진할	추진/NNG+하/XSV+ㄹ/ETM
뜻	뜻/NNG
비쳐	비치/VV+어/EF


# id : NWRW1800000054.421.3.1
문재인 대통령은 추석 연휴 이후 첫 메시지로 '민생'과 '개혁(적폐 청산)'을 제시했다.

문재인	문재인/NNP
대통령은	대통령/NNG+은/JX
추석	추석/NNG
연휴	연휴/NNG
이후	이후/NNG
첫	첫/MMN
메시지로	메시지/NNG+로/JKB
'민생'과	'/SS+민생/NNG+'/SS+과/JC
'개혁(적폐	'/SS+개혁/NNG+(/SS+적폐/NNG
청산)'을	청산/NNG+)/SS+'/SS+을/JKO
제시했다.	제시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.421.3.2
검찰과 국정원이 지난 정부 조사에 전면적으로 나서면서 '정치 보복' 논란이 제기되고 있지만 '적폐 청산'을 멈추지 않겠다는 뜻이다.

검찰과	검찰/NNG+과/JC
국정원이	국정원/NNG+이/JKS
지난	지나/VV+ㄴ/ETM
정부	정부/NNG
조사에	조사/NNG+에/JKB
전면적으로	전면/NNG+적/XSN+으로/JKB
나서면서	나서/VV+면서/EC
'정치	'/SS+정치/NNG
보복'	보복/NNG+'/SS
논란이	논란/NNG+이/JKS
제기되고	제기/NNG+되/XSV+고/EC
있지만	있/VX+지만/EC
'적폐	'/SS+적폐/NNG
청산'을	청산/NNG+'/SS+을/JKO
멈추지	멈추/VV+지/EC
않겠다는	않/VX+겠/EP+다는/ETM
뜻이다.	뜻/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.421.3.3
문 대통령은 이와 함께 2019년을 '대한민국 100년의 해'로 규정하면서 내년부터 관련 준비에 착수할 것도 지시했다.

문	문/NNP
