# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.4
metadata : {}


# id : NWRW1800000030.4.1.1
껑충 뛴 외식값 때문에 물가 전망치 4%로 올려

껑충	껑충/MAG
뛴	뛰/VV+ㄴ/ETM
외식값	외식/NNG+값/NNG
때문에	때문/NNB+에/JKB
물가	물가/NNG
전망치	전망/NNG+치/XSN
4%로	4/SN+%/SW+로/JKB
올려	올리/VV+어/EF


# id : NWRW1800000030.4.2.1
•올 성장률은 4.3%로 내려

•올	•/SW+올/NNG
성장률은	성장/NNG+률/XSN+은/JX
4.3%로	4/SN+./SP+3/SN+%/SW+로/JKB
내려	내리/VV+어/EF


# id : NWRW1800000030.4.3.1
한국은행은 15일 낸 '2011년 하반기 경제전망'에서 올해 소비자물가 상승률 전망치를 기존 3.9%에서 4.0%로 0.1%포인트 상향 조정했다.

한국은행은	한국은행/NNP+은/JX
15일	15/SN+일/NNB
낸	내/VV+ㄴ/ETM
'2011년	'/SS+2011/SN+년/NNB
하반기	하반기/NNG
경제전망'에서	경제/NNG+전망/NNG+'/SS+에서/JKB
올해	올해/NNG
소비자물가	소비자/NNG+물가/NNG
상승률	상승/NNG+률/XSN
전망치를	전망/NNG+치/XSN+를/JKO
기존	기존/NNG
3.9%에서	3/SN+./SP+9/SN+%/SW+에서/JKB
4.0%로	4/SN+./SP+0/SN+%/SW+로/JKB
0.1%포인트	0/SN+./SP+1/SN+%포인트/NNG
상향	상향/NNG
조정했다.	조정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.4.3.2
반면 올해 경제성장률은 기존 전망치 4.5%에서 4.3%로 하향 조정했다.

반면	반면/NNG
올해	올해/NNG
경제성장률은	경제/NNG+성장/NNG+률/XSN+은/JX
기존	기존/NNG
전망치	전망/NNG+치/XSN
4.5%에서	4/SN+./SP+5/SN+%/SW+에서/JKB
4.3%로	4/SN+./SP+3/SN+%/SW+로/JKB
하향	하향/NNG
조정했다.	조정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.4.4.1
나홀로 3%대 물가 전망치를 고수해온 한은까지 4%대 물가 전망치를 내놓으면서 올해 물가는 4%를 넘길 확률이 커졌다.

나홀로	나/NNG+홀로/MAG
3%대	3/SN+%/SW+대/XSN
물가	물가/NNG
전망치를	전망/NNG+치/XSN+를/JKO
고수해온	고수/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
한은까지	한은/NNP+까지/JX
4%대	4/SN+%/SW+대/XSN
내놓으면서	내놓/VV+으면서/EC
올해	올해/NNG
물가는	물가/NNG+는/JX
4%를	4/SN+%/SW+를/JKO
넘길	넘기/VV+ㄹ/ETM
확률이	확률/NNG+이/JKS
커졌다.	커지/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.4.4.2
한은의 물가 관리 목표치는 2~4%다.

한은의	한은/NNP+의/JKG
물가	물가/NNG
관리	관리/NNG
목표치는	목표/NNG+치/XSN+는/JX
2~4%다.	2/SN+~/SO+4/SN+%/SW+이/VCP+다/EF+./SF


# id : NWRW1800000030.4.4.3
한은은 이번 경제전망에서 "상반기와 하반기에 물가가 각각 4.3%, 3.8%씩 올라 연간 4.0% 오를 것으로 보인다"고 밝혔다.

한은은	한은/NNP+은/JX
이번	이번/NNG
경제전망에서	경제/NNG+전망/NNG+에서/JKB
"상반기와	"/SS+상반기/NNG+와/JC
하반기에	하반기/NNG+에/JKB
물가가	물가/NNG+가/JKS
각각	각각/MAG
4.3%,	4/SN+./SP+3/SN+%/SW+,/SP
3.8%씩	3/SN+./SP+8/SN+%/SW+씩/XSN
올라	오르/VV+아/EC
연간	연간/NNG
4.0%	4/SN+./SP+0/SN+%/SW
오를	오르/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
