# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.395
metadata : {}


# id : NWRW1800000030.395.1.1
[수도권] 삼국시대 '대모산성' 되살아난다

[수도권]	[/SS+수도/NNG+권/XSN+]/SS
삼국시대	삼국/NNG+시대/NNG
'대모산성'	'/SS+대모산성/NNP+'/SS
되살아난다	되살아나/VV+ㄴ다/EF


# id : NWRW1800000030.395.2.1
•강남구 일원동·내곡동 일대 2024년까지 복원 마무리

•강남구	•/SW+강남구/NNP
일원동·내곡동	일원동/NNP+·/SP+내곡동/NNP
일대	일대/NNG
2024년까지	2024/SN+년/NNB+까지/JX
복원	복원/NNG
마무리	마무리/NNG


# id : NWRW1800000030.395.3.1
서울 강남구 대모산(해발 293m)에 삼국시대 산성이 되살아난다.

서울	서울/NNP
강남구	강남구/NNP
대모산(해발	대모산/NNP+(/SS+해발/NNG
293m)에	293/SN+m/SW+)/SS+에/JKB
삼국시대	삼국/NNG+시대/NNG
산성이	산성/NNG+이/JKS
되살아난다.	되살아나/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.395.3.2
강남구는 삼국시대부터 고려시대까지 둘레 584m, 내부면적 8276㎡(약 2500평) 규모로 현재 일원동과 내곡동 일대에 걸쳐 있었던 것으로 추정되는 대모산성(大母山城)을 복원하겠다고 23일 밝혔다.

강남구는	강남구/NNP+는/JX
삼국시대부터	삼국/NNG+시대/NNG+부터/JX
고려시대까지	고려/NNP+시대/NNG+까지/JX
둘레	둘레/NNG
584m,	584/SN+m/SW+,/SP
내부면적	내부/NNG+면적/NNG
8276㎡(약	8276/SN+㎡/SW+(/SS+약/MMA
2500평)	2500/SN+평/NNB+)/SS
규모로	규모/NNG+로/JKB
현재	현재/MAG
일원동과	일원동/NNP+과/JC
내곡동	내곡동/NNP
일대에	일대/NNG+에/JKB
걸쳐	걸치/VV+어/EC
있었던	있/VX+었/EP+던/ETM
것으로	것/NNB+으로/JKB
추정되는	추정/NNG+되/XSV+는/ETM
대모산성(大母山城)을	대모산성/NNP+(/SS+大母山城/SH+)/SS+을/JKO
복원하겠다고	복원/NNG+하/XSV+겠/EP+다고/EC
23일	23/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.395.4.1
강남구는 최근 한양대 문화재연구소와 사단법인 동아시아 고고학연구회의 연구용역을 마쳤다.

강남구는	강남구/NNP+는/JX
최근	최근/MAG
한양대	한양대/NNP
문화재연구소와	문화재/NNG+연구소/NNG+와/JC
사단법인	사단/NNG+법인/NNG
동아시아	동아시아/NNP
고고학연구회의	고고학/NNG+연구/NNG+회의/NNG
연구용역을	연구/NNG+용역/NNG+을/JKO
마쳤다.	마치/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.395.4.2
그 결과를 보면 현재 대모산 일부 지역에서 보이는 약 2m 높이의 성곽은 신라가 한강유역을 점령했던 6~7세기에 사용했던 축성기법이다.

