# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.7
metadata : {}


# id : NWRW1800000038.7.1.1
알자지라, 고어가 만든 케이블채널 인수… 美 안방시장 진출

알자지라,	알자지라/NNP+,/SP
고어가	고어/NNP+가/JKS
만든	만들/VV+ㄴ/ETM
케이블채널	케이블/NNG+채널/NNG
인수…	인수/NNG+…/SE
美	美/SH
안방시장	안방/NNG+시장/NNG
진출	진출/NNG


# id : NWRW1800000038.7.2.1
카타르 왕실이 운영하는 아랍권 위성 TV 알자지라가 앨 고어 전 미국 부통령의 미 케이블채널 커런트TV를 약 5억달러에 인수했다고 로이터가 3일 보도했다.

카타르	카타르/NNP
왕실이	왕실/NNG+이/JKS
운영하는	운영/NNG+하/XSV+는/ETM
아랍권	아랍/NNP+권/XSN
위성	위성/NNG
TV	TV/SL
알자지라가	알자지라/NNP+가/JKS
앨	앨/NNP
고어	고어/NNP
전	전/MMD
미국	미국/NNP
부통령의	부통령/NNG+의/JKG
미	미/NNP
케이블채널	케이블/NNG+채널/NNG
커런트TV를	커런트TV/NNP+를/JKO
약	약/MMA
5억달러에	5/SN+억/NR+달러/NNB+에/JKB
인수했다고	인수/NNG+하/XSV+았/EP+다고/EC
로이터가	로이터/NNP+가/JKS
3일	3/SN+일/NNB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.7.2.2
새 채널의 이름은 '알자지라 아메리카(AlJazeera America)'.

새	새/MMA
채널의	채널/NNG+의/JKG
이름은	이름/NNG+은/JX
'알자지라	'/SS+알자지라/NNP
아메리카(AlJazeera	아메리카/NNP+(/SS+AlJazeera/SL
America)'.	America/SL+)/SS+'/SS+./SF


# id : NWRW1800000038.7.3.1
조만간 개국할 '알자지라 아메리카'는 뉴욕시에 본부를 두고 워싱턴DC·로스앤젤레스·마이애미·시카고 등에 지국을 세워 시청자 4700만여명을 확보할 계획이다.

조만간	조만간/MAG
개국할	개국/NNG+하/XSV+ㄹ/ETM
'알자지라	'/SS+알자지라/NNP
아메리카'는	아메리카/NNP+'/SS+는/JX
뉴욕시에	뉴욕시/NNP+에/JKB
본부를	본부/NNG+를/JKO
두고	두/VV+고/EC
워싱턴DC·로스앤젤레스·마이애미·시카고	워싱턴/NNP+DC/SL+·/SP+로스앤젤레스/NNP+·/SP+마이애미/NNP+·/SP+시카고/NNP
등에	등/NNB+에/JKB
지국을	지국/NNG+을/JKO
세워	세우/VV+어/EC
시청자	시청자/NNG
4700만여명을	4700/SN+만/NR+여/XSN+명/NNB+을/JKO
확보할	확보/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.7.3.2
아흐메드 빈자심 알사니 알자지라 미디어그룹 회장은 "알자지라가 미국에서, 미국에 대해 보도해야 할 일정한 역할이 있다고 오랫동안 확신해 왔다"며 "이번 인수로 알자지라의 영향력이 크게 확대되고 미국에 의미 있는 '발자국'을 남길 것"이라고 말했다.

아흐메드	아흐메드/NNP
빈자심	빈자심/NNP
알사니	알사니/NNP
알자지라	알자지라/NNP
