# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.58
metadata : {}


# id : NWRW1800000048.58.1.1
‘저장기술 vs 유산균’…새 김치냉장고 대결

‘저장기술	‘/SS+저장/NNG+기술/NNG
vs	vs/SL
유산균’…새	유산균/NNG+’/SS+…/SE+새/MMA
김치냉장고	김치냉장고/NNG
대결	대결/NNG


# id : NWRW1800000048.58.2.1
삼성·LG전자 같은날 신제품 출시

삼성·LG전자	삼성/NNP+·/SP+LG전자/NNP
같은날	같/VA+은/ETM+날/NNG
신제품	신/XPN+제품/NNG
출시	출시/NNG


# id : NWRW1800000048.58.3.1
삼성전자와 엘지(LG)전자가 새 김치냉장고를 선보이면서 시장 선점에 나섰다.

삼성전자와	삼성전자/NNP+와/JC
엘지(LG)전자가	엘지/NNP+(/SS+LG/SL+)/SS+전자/NNG+가/JKS
새	새/MMA
김치냉장고를	김치냉장고/NNG+를/JKO
선보이면서	선보이/VV+면서/EC
시장	시장/NNG
선점에	선점/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.58.3.2
국내 김치냉장고 시장은 올해 100만대(약 1조3천억원) 규모로 지난해보다 10% 성장할 것으로 점쳐진다.

국내	국내/NNG
김치냉장고	김치냉장고/NNG
시장은	시장/NNG+은/JX
올해	올해/NNG
100만대(약	100/SN+만/NR+대/NNB+(/SS+약/MMA
1조3천억원)	1/SN+조/NR+3/SN+천억/NR+원/NNB+)/SS
규모로	규모/NNG+로/JKB
지난해보다	지난해/NNG+보다/JKB
10%	10/SN+%/SW
성장할	성장/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
점쳐진다.	점치/VV+어/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000048.58.3.3
두 회사는 ‘딤채’ 브랜드로 유명한 대유위니아(옛 만도위니아)와 함께 3강 체제를 이루고 있다.

두	두/MMN
회사는	회사/NNG+는/JX
‘딤채’	‘/SS+딤채/NNP+’/SS
브랜드로	브랜드/NNG+로/JKB
유명한	유명/NNG+하/XSA+ㄴ/ETM
대유위니아(옛	대유위니아/NNP+(/SS+옛/MMA
만도위니아)와	만도위니아/NNP+)/SS+와/JKB
함께	함께/MAG
3강	3/SN+강/NNB
체제를	체제/NNG+를/JKO
이루고	이루/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.58.4.1
삼성전자는 10일 2016년형 ‘지펠아삭 M9000’ 등을 선보이며 저장기술을 자랑했다.

삼성전자는	삼성전자/NNP+는/JX
10일	10/SN+일/NNB
2016년형	2016/SN+년/NNB+형/XSN
‘지펠아삭	‘/SS+지펠아삭/NNP
M9000’	M/SL+9000/SN+’/SS
등을	등/NNB+을/JKO
선보이며	선보이/VV+며/EC
저장기술을	저장/NNG+기술/NNG+을/JKO
자랑했다.	자랑/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.58.4.2
저장 기술인 ‘메탈그라운드’는 냉기 전달과 보존 능력이 뛰어난 메탈 소재를 적용해 땅 속에 보관하는 것과 비슷한 ±0.3℃의 온도를 유지하는 성능으로 삼성전자만의 기술이다.

저장	저장/NNG
기술인	기술/NNG+이/VCP+ㄴ/ETM
‘메탈그라운드’는	‘/SS+메탈그라운드/NNG+’/SS+는/JX
냉기	냉기/NNG
전달과	전달/NNG+과/JKB
보존	보존/NNG
능력이	능력/NNG+이/JKS
뛰어난	뛰어나/VA+ㄴ/ETM
메탈	메탈/NNG
소재를	소재/NNG+를/JKO
적용해	적용/NNG+하/XSV+아/EC
땅	땅/NNG
속에	속/NNG+에/JKB
보관하는	보관/NNG+하/XSV+는/ETM
것과	것/NNB+과/JKB
비슷한	비슷하/VA+ㄴ/ETM
±0.3℃의	±/SW+0/SN+./SP+3/SN+℃/SW+의/JKG
온도를	온도/NNG+를/JKO
유지하는	유지/NNG+하/XSV+는/ETM
성능으로	성능/NNG+으로/JKB
삼성전자만의	삼성전자/NNP+만/JX+의/JKG
기술이다.	기술/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.58.4.3
특히 ‘메탈쿨링김치통’은 뚜껑을 제외한 전면이 스테인리스 소재로 제작되어 냉기를 오래 보존해 김치를 더 차갑고 아삭하게 보관할 수 있다고 삼성전자는 설명했다.

특히	특히/MAG
‘메탈쿨링김치통’은	‘/SS+메탈쿨링/NNG+김치/NNG+통/NNG+’/SS+은/JX
뚜껑을	뚜껑/NNG+을/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
전면이	전면/NNG+이/JKS
스테인리스	스테인리스/NNG
소재로	소재/NNG+로/JKB
제작되어	제작/NNG+되/XSV+어/EC
냉기를	냉기/NNG+를/JKO
오래	오래/MAG
보존해	보존/NNG+하/XSV+아/EC
김치를	김치/NNG+를/JKO
더	더/MAG
차갑고	차갑/VA+고/EC
아삭하게	아삭/MAG+하/XSV+게/EC
보관할	보관/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
삼성전자는	삼성전자/NNP+는/JX
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.58.4.4
또 냉장고 문을 열면 입구에 냉기를 커튼처럼 흘려 외부의 따뜻한 공기를 차단하고 내부의 냉기 유출을 방지하는 ‘메탈쿨링커튼’ 기술도 적용해 냉기가 더욱 강하게 뿜어지도록 했다.

또	또/MAG
냉장고	냉장고/NNG
문을	문/NNG+을/JKO
열면	열/VV+면/EC
입구에	입구/NNG+에/JKB
냉기를	냉기/NNG+를/JKO
커튼처럼	커튼/NNG+처럼/JKB
흘려	흘리/VV+어/EC
외부의	외부/NNG+의/JKG
따뜻한	따뜻하/VA+ㄴ/ETM
공기를	공기/NNG+를/JKO
차단하고	차단/NNG+하/XSV+고/EC
내부의	내부/NNG+의/JKG
냉기	냉기/NNG
유출을	유출/NNG+을/JKO
방지하는	방지/NNG+하/XSV+는/ETM
‘메탈쿨링커튼’	‘/SS+메탈쿨링커튼/NNG+’/SS
기술도	기술/NNG+도/JX
적용해	적용/NNG+하/XSV+아/EC
냉기가	냉기/NNG+가/JKS
더욱	더욱/MAG
강하게	강하/VA+게/EC
뿜어지도록	뿜/VV+어/EC+지/VX+도록/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.58.5.1
엘지전자는 같은 날 김치냉장고 ‘디오스(DIOS) 김치톡톡’ 신제품을 선보이며 ‘유산균김치+’ 기능으로 김치맛을 잘 살려줄 수 있다는 점을 강조했다.

엘지전자는	엘지전자/NNP+는/JX
같은	같/VA+은/ETM
날	날/NNG
김치냉장고	김치냉장고/NNG
‘디오스(DIOS)	‘/SS+디오스/NNG+(/SS+DIOS/SL+)/SS
김치톡톡’	김치톡톡/NNP+’/SS
신제품을	신/XPN+제품/NNG+을/JKO
선보이며	선보이/VV+며/EC
‘유산균김치+’	‘/SS+유산균/NNG+김치/NNG++/SW+’/SS
기능으로	기능/NNG+으로/JKB
김치맛을	김치/NNG+맛/NNG+을/JKO
잘	잘/MAG
살려줄	살리/VV+어/EC+주/VX+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
점을	점/NNG+을/JKO
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.58.5.2
유산균김치+는 감칠맛을 살려주는 유산균인 류코노스톡(Leuconostoc)이 잘 자라는 온도를 안정적으로 유지해 일반 보관 모드와 비교해 유산균을 12배 더 많이 만들어 주는 것으로 김치 유산균 연구 전문가인 조선대 장해춘 교수(식품영양학)와 공동 연구로 개발한 것이다.

유산균김치+는	유산균/NNG+김치/NNG++/SW+는/JX
감칠맛을	감칠맛/NNG+을/JKO
살려주는	살리/VV+어/EC+주/VX+는/ETM
유산균인	유산균/NNG+이/VCP+ㄴ/ETM
류코노스톡(Leuconostoc)이	류코노스톡/NNG+(/SS+Leuconostoc/SL+)/SS+이/JKS
잘	잘/MAG
자라는	자라/VV+는/ETM
온도를	온도/NNG+를/JKO
안정적으로	안정/NNG+적/XSN+으로/JKB
유지해	유지/NNG+하/XSV+아/EC
일반	일반/NNG
보관	보관/NNG
모드와	모드/NNG+와/JKB
비교해	비교/NNG+하/XSV+아/EC
유산균을	유산균/NNG+을/JKO
12배	12/SN+배/NNG
더	더/MAG
많이	많이/MAG
만들어	만들/VV+어/EC
주는	주/VX+는/ETM
것으로	것/NNB+으로/JKB
김치	김치/NNG
유산균	유산균/NNG
연구	연구/NNG
전문가인	전문가/NNG+이/VCP+ㄴ/ETM
조선대	조선대/NNP
장해춘	장해춘/NNP
교수(식품영양학)와	교수/NNG+(/SS+식품/NNG+영양학/NNG+)/SS+와/JKB
공동	공동/NNG
연구로	연구/NNG+로/JKB
개발한	개발/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.58.5.3
디오스 김치톡톡 문 외부에 있는 화면에서 유산균 증가를 실제로 볼 수 있다.

디오스	디오스/NNG
김치톡톡	김치톡톡/NNP
문	문/NNG
외부에	외부/NNG+에/JKB
있는	있/VA+는/ETM
화면에서	화면/NNG+에서/JKB
유산균	유산균/NNG
증가를	증가/NNG+를/JKO
실제로	실제로/MAG
볼	보/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000048.58.6.1
제품 가격은 삼성전자의 지펠아삭 M9000은 229만9천~574만9천원대(출고가 기준)이며, 엘지전자의 디오스 김치톡톡은 스탠드형이 170만~415만원, 뚜껑식이 60만~120만원 수준이다.

제품	제품/NNG
가격은	가격/NNG+은/JX
삼성전자의	삼성전자/NNP+의/JKG
지펠아삭	지펠아삭/NNP
M9000은	M/SL+9000/SN+은/JX
229만9천~574만9천원대(출고가	229/SN+만/NR+9/SN+천/NR+~/SO+574/SN+만/NR+9/SN+천/NR+원/NNB+대/XSN+(/SS+출고/NNG+가/XSN
기준)이며,	기준/NNG+)/SS+이/VCP+며/EC+,/SP
엘지전자의	엘지전자/NNP+의/JKG
디오스	디오스/NNG
김치톡톡은	김치톡톡/NNP+은/JX
스탠드형이	스탠드/NNG+형/XSN+이/JKS
170만~415만원,	170/SN+만/NR+~/SO+415/SN+만/NR+원/NNB+,/SP
뚜껑식이	뚜껑식/NNG+이/JKS
