# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.89
metadata : {}


# id : NWRW1800000026.89.1.1
팬택 박병엽부회장, 경영권 되찾을까;1억6400만주 스톡옵션 받아

팬택	팬택/NNP
박병엽부회장,	박병엽/NNP+부회장/NNG+,/SP
경영권	경영/NNG+권/XSN
되찾을까;1억6400만주	되찾/VV+을까/EF+;/SW+1/SN+억/NR+6400/SN+만/NR+주/NNG
스톡옵션	스톡옵션/NNG
받아	받/VV+아/EF


# id : NWRW1800000026.89.2.1
휴대폰 전문제조업체 팬택은 12일 주주총회에서 창업자이자 CEO인 박병엽 부회장에게 발행주식의 10% 규모인 총 1억6400만주에 대한 스톡옵션(주식매수청구권)을 부여했다고 밝혔다.

휴대폰	휴대폰/NNG
전문제조업체	전문/NNG+제조업체/NNG
팬택은	팬택/NNP+은/JX
12일	12/SN+일/NNB
주주총회에서	주주/NNG+총회/NNG+에서/JKB
창업자이자	창업자/NNG+이/VCP+자/EC
CEO인	CEO/SL+이/VCP+ㄴ/ETM
박병엽	박병엽/NNP
부회장에게	부회장/NNG+에게/JKB
발행주식의	발행/NNG+주식/NNG+의/JKG
10%	10/SN+%/SW
규모인	규모/NNG+이/VCP+ㄴ/ETM
총	총/MMA
1억6400만주에	1/SN+억/NR+6400/SN+만/NR+주/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
스톡옵션(주식매수청구권)을	스톡옵션/NNG+(/SS+주식/NNG+매수/NNG+청구/NNG+권/XSN+)/SS+을/JKO
부여했다고	부여/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.89.3.1
은행 채권단과 주주들이 워크아웃(기업개선작업)이 진행 중인 기업 CEO에게 스톡옵션을 부여한 것은 이례적이다.

은행	은행/NNG
채권단과	채권단/NNG+과/JC
주주들이	주주/NNG+들/XSN+이/JKS
워크아웃(기업개선작업)이	워크아웃/NNG+(/SS+기업/NNG+개선/NNG+작업/NNG+)/SS+이/JKS
진행	진행/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
기업	기업/NNG
CEO에게	CEO/SL+에게/JKB
스톡옵션을	스톡옵션/NNG+을/JKO
부여한	부여/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
이례적이다.	이례/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000026.89.3.2
이는 채권단이 워크아웃에 들어가며 개인 지분을 모두 포기한 박 부회장에게 회사를 다시 인수할 수 있는 기회를 준 것으로 풀이된다.

이는	이/NP+는/JX
채권단이	채권단/NNG+이/JKS
워크아웃에	워크아웃/NNG+에/JKB
들어가며	들어가/VV+며/EC
개인	개인/NNG
지분을	지분/NNG+을/JKO
모두	모두/MAG
포기한	포기/NNG+하/XSV+ㄴ/ETM
박	박/NNP
부회장에게	부회장/NNG+에게/JKB
회사를	회사/NNG+를/JKO
다시	다시/MAG
인수할	인수/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
기회를	기회/NNG+를/JKO
준	주/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
풀이된다.	풀이/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.89.4.1
스톡옵션 행사 가격은 주당 평균 600원(액면가 대비 20% 할증)이며, 2012년부터 7년 안에 행사할 수 있다.

스톡옵션	스톡옵션/NNG
행사	행사/NNG
가격은	가격/NNG+은/JX
주당	주당/NNG
평균	평균/NNG
600원(액면가	600/SN+원/NNB+(/SS+액면/NNG+가/XSN
대비	대비/NNG
20%	20/SN+%/SW
할증)이며,	할증/NNG+)/SS+이/VCP+며/EC+,/SP
2012년부터	2012/SN+년/NNB+부터/JX
7년	7/SN+년/NNB
안에	안/NNG+에/JKB
행사할	행사/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.89.4.2
따라서 박 부회장이 스톡옵션 행사를 통해 지분을 취득하려면 1000억원에 이르는 자금을 확보해야 한다.

따라서	따라서/MAJ
박	박/NNP
부회장이	부회장/NNG+이/JKS
스톡옵션	스톡옵션/NNG
행사를	행사/NNG+를/JKO
통해	통하/VV+아/EC
지분을	지분/NNG+을/JKO
취득하려면	취득/NNG+하/XSV+려면/EC
1000억원에	1000/SN+억/NR+원/NNB+에/JKB
이르는	이르/VV+는/ETM
자금을	자금/NNG+을/JKO
확보해야	확보/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000026.89.4.3
현재 회계 법인 등에서 평가하는 팬택의 주당 가치는 280~410원 안팎이다.

현재	현재/MAG
회계	회계/NNG
법인	법인/NNG
등에서	등/NNB+에서/JKB
평가하는	평가/NNG+하/XSV+는/ETM
팬택의	팬택/NNP+의/JKG
