# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.106
metadata : {}


# id : NWRW1800000054.106.1.1
한국서 미운오리, 독일서 백조됐다

한국서	한국/NNP+서/JKB
미운오리,	밉/VA+ㄴ/ETM+오리/NNG+,/SP
독일서	독일/NNP+서/JKB
백조됐다	백조/NNG+되/XSV+었/EP+다/EF


# id : NWRW1800000054.106.2.1
드레스덴 젬퍼오퍼 발레단 수석 이상은

드레스덴	드레스덴/NNP
젬퍼오퍼	젬퍼오퍼/NNP
발레단	발레단/NNG
수석	수석/NNG
이상은	이상은/NNP


# id : NWRW1800000054.106.3.1
앉아있을 땐 몰랐다.

앉아있을	앉/VV+아/EC+있/VX+을/ETM
땐	때/NNG+ㄴ/JX
몰랐다.	모르/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.106.3.2
얇게 쌍꺼풀 진 커다란 눈만 보였다.

얇게	얇/VA+게/EC
쌍꺼풀	쌍꺼풀/NNG
진	지/VV+ㄴ/ETM
커다란	커다랗/VA+ㄴ/ETM
눈만	눈/NNG+만/JX
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.106.3.3
사진 촬영을 위해 일어서는데 시선이 계속 위로 올라간다.

사진	사진/NNG
촬영을	촬영/NNG+을/JKO
위해	위하/VV+아/EC
일어서는데	일어서/VV+는데/EC
시선이	시선/NNG+이/JKS
계속	계속/MAG
위로	위/NNG+로/JKB
올라간다.	올라가/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.106.3.4
1m81㎝의 키.

1m81㎝의	1/SN+m/SW+81/SN+㎝/SW+의/JKG
키.	키/NNG+./SF


# id : NWRW1800000054.106.3.5
긴 팔과 다리로 사뿐사뿐 걸을 땐 덩달아 발레 무대에 서 있는 듯했다.

긴	길/VA+ㄴ/ETM
팔과	팔/NNG+과/JC
다리로	다리/NNG+로/JKB
사뿐사뿐	사뿐사뿐/MAG
걸을	걷/VV+을/ETM
땐	때/NNG+ㄴ/JX
덩달아	덩달/VV+아/EC
발레	발레/NNG
무대에	무대/NNG+에/JKB
서	서/VV+어/EC
있는	있/VX+는/ETM
듯했다.	듯/NNB+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000054.106.4.1
이상은(31)은 유럽 명문 발레단 중 하나인 독일 드레스덴 젬퍼오퍼 발레단의 수석무용수다.

이상은(31)은	이상은/NNP+(/SS+31/SN+)/SS+은/JX
유럽	유럽/NNP
명문	명문/NNG
발레단	발레단/NNG
중	중/NNB
하나인	하나/NR+이/VCP+ㄴ/ETM
독일	독일/NNP
드레스덴	드레스덴/NNP
젬퍼오퍼	젬퍼오퍼/NNP
발레단의	발레단/NNG+의/JKG
수석무용수다.	수석/NNG+무용수/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.106.4.2
"한국에선 키가 너무 커서 위축돼 있었는데 해외에선 오히려 더 크게 크게 몸을 쓰라고 격려해 주신다"며 활짝 웃었다.

"한국에선	"/SS+한국/NNP+에서/JKB+ㄴ/JX
키가	키/NNG+가/JKS
너무	너무/MAG
커서	크/VA+어서/EC
위축돼	위축/NNG+되/XSV+어/EC
있었는데	있/VX+었/EP+는데/EC
해외에선	해외/NNG+에서/JKB+ㄴ/JX
오히려	오히려/MAG
더	더/MAG
크게	크/VA+게/EC
몸을	몸/NNG+을/JKO
쓰라고	쓰/VV+라고/EC
격려해	격려/NNG+하/XSV+아/EC
주신다"며	주/VX+시/EP+ㄴ다/EF+"/SS+며/EC
활짝	활짝/MAG
웃었다.	웃/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.106.4.3
일주일 휴식을 얻어 한국에 온 그는 "연간 12개 프로그램을 하느라 작년엔 휴가도 반납했다. 한국에 오니 볼 만한 공연과 전시가 많아 시간이 부족하다"고 말했다.

일주일	일주일/NNG
휴식을	휴식/NNG+을/JKO
얻어	얻/VV+어/EC
한국에	한국/NNP+에/JKB
온	오/VV+ㄴ/ETM
그는	그/NP+는/JX
"연간	"/SS+연간/NNG
12개	12/SN+개/NNB
프로그램을	프로그램/NNG+을/JKO
하느라	하/VV+느라/EC
작년엔	작년/NNG+에/JKB+ㄴ/JX
휴가도	휴가/NNG+도/JX
반납했다.	반납/NNG+하/XSV+았/EP+다/EF+./SF
오니	오/VV+니/EC
볼	보/VV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
공연과	공연/NNG+과/JC
전시가	전시/NNG+가/JKS
많아	많/VA+아/EC
시간이	시간/NNG+이/JKS
부족하다"고	부족/NNG+하/XSA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.106.5.1
드레스덴 젬퍼오퍼는 궁정 악단에서 시작한 드레스덴 슈타츠카펠레(작센 국립관현악단)로 세계적 명성을 누리는 곳이다.

드레스덴	드레스덴/NNP
젬퍼오퍼는	젬퍼오퍼/NNP+는/JX
궁정	궁정/NNG
악단에서	악단/NNG+에서/JKB
시작한	시작/NNG+하/XSV+ㄴ/ETM
슈타츠카펠레(작센	슈타츠카펠레/NNP+(/SS+작센/NNP
국립관현악단)로	국립/NNG+관현악단/NNG+)/SS+로/JKB
세계적	세계/NNG+적/XSN
명성을	명성/NNG+을/JKO
누리는	누리/VV+는/ETM
곳이다.	곳/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.106.5.2
젬퍼오퍼는 1841년 개관한 전용극장.

젬퍼오퍼는	젬퍼오퍼/NNP+는/JX
1841년	1841/SN+년/NNB
개관한	개관/NNG+하/XSV+ㄴ/ETM
전용극장.	전용/NNG+극장/NNG+./SF


# id : NWRW1800000054.106.5.3
현재 지휘자로 유명한 크리스티안 틸레만이 음악감독을 맡고 있다.

현재	현재/MAG
지휘자로	지휘자/NNG+로/JKB
유명한	유명/NNG+하/XSA+ㄴ/ETM
크리스티안	크리스티안/NNP
틸레만이	틸레만/NNP+이/JKS
음악감독을	음악/NNG+감독/NNG+을/JKO
맡고	맡/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.106.5.4
발레단 역시 이 극장에 소속돼 있다

발레단	발레단/NNG
역시	역시/MAG
이	이/MMD
극장에	극장/NNG+에/JKB
소속돼	소속/NNG+되/XSV+어/EC
있다	있/VX+다/EF


# id : NWRW1800000054.106.6.1
"지난해 수석무용수가 되고 나니 책임감이 훨씬 커지더라고요.

"지난해	"/SS+지난해/NNG
수석무용수가	수석/NNG+무용수/NNG+가/JKC
되고	되/VV+고/EC
나니	나/VX+니/EC
책임감이	책임감/NNG+이/JKS
훨씬	훨씬/MAG
커지더라고요.	커지/VV+더라고/EF+요/JX+./SF


# id : NWRW1800000054.106.6.2
요즘엔 단원들과 토론하면서 표현을 만들어가는 데 재미를 붙였어요.

요즘엔	요즘/NNG+에/JKB+ㄴ/JX
단원들과	단원/NNG+들/XSN+과/JKB
토론하면서	토론/NNG+하/XSV+면서/EC
표현을	표현/NNG+을/JKO
만들어가는	만들/VV+어/EC+가/VX+는/ETM
데	데/NNB
재미를	재미/NNG+를/JKO
붙였어요.	붙이/VV+었/EP+어요/EF+./SF


# id : NWRW1800000054.106.6.3
처음엔 제가 수줍음이 많아 의견을 표현하는 게 어색하고 미안했는데 요즘엔 발레 마스터 선생님과 수시로 대화하며 동작도 만들어가지요."

처음엔	처음/NNG+에/JKB+ㄴ/JX
제가	제/NP+가/JKS
수줍음이	수줍음/NNG+이/JKS
많아	많/VA+아/EC
의견을	의견/NNG+을/JKO
표현하는	표현/NNG+하/XSV+는/ETM
