# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.228
metadata : {}


# id : NWRW1800000032.228.1.1
경쟁 내몰린 학생들 “행복은 성적순 맞다”

경쟁	경쟁/NNG
내몰린	내몰리/VV+ㄴ/ETM
학생들	학생/NNG+들/XSN
“행복은	“/SS+행복/NNG+은/JX
성적순	성적순/NNG
맞다”	맞/VV+다/EF+”/SS


# id : NWRW1800000032.228.2.1
서울교육청 ‘행복지수’ 조사, 성적 좋을수록 높게 나타나

서울교육청	서울교육청/NNP
‘행복지수’	‘/SS+행복/NNG+지수/NNG+’/SS
조사,	조사/NNG+,/SP
성적	성적/NNG
좋을수록	좋/VA+을수록/EC
높게	높/VA+게/EC
나타나	나타나/VV+아/EF


# id : NWRW1800000032.228.3.1
서울 지역 학생들의 행복지수가 성적과 가정의 경제 수준에 정비례한다는 조사결과가 나왔다.

서울	서울/NNP
지역	지역/NNG
학생들의	학생/NNG+들/XSN+의/JKG
행복지수가	행복/NNG+지수/NNG+가/JKS
성적과	성적/NNG+과/JC
가정의	가정/NNG+의/JKG
경제	경제/NNG
수준에	수준/NNG+에/JKB
정비례한다는	정비례/NNG+하/XSV+ㄴ다는/ETM
조사결과가	조사/NNG+결과/NNG+가/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.228.4.1
서울시교육청은 29일 전국 시·도 교육청 가운데 처음으로 ‘서울형 학생 행복지수’를 개발해, 지난 4월부터 두 달 동안 서울 지역 초·중·고 65개 학교의 학생 5352명을 대상으로 설문조사한 결과 성적 상위 학생들의 행복지수(100점 만점)가 71.1점으로 하위 학생(54.3점)보다 1.3배 높은 것으로 나타났다고 밝혔다.

서울시교육청은	서울시교육청/NNP+은/JX
29일	29/SN+일/NNB
전국	전국/NNG
시·도	시/NNG+·/SP+도/NNG
교육청	교육청/NNG
가운데	가운데/NNG
처음으로	처음/NNG+으로/JKB
‘서울형	‘/SS+서울/NNP+형/XSN
학생	학생/NNG
행복지수’를	행복/NNG+지수/NNG+’/SS+를/JKO
개발해,	개발/NNG+하/XSV+아/EC+,/SP
지난	지나/VV+ㄴ/ETM
4월부터	4/SN+월/NNB+부터/JX
두	두/MMN
달	달/NNB
동안	동안/NNG
서울	서울/NNP
지역	지역/NNG
초·중·고	초·중·고/NNG
65개	65/SN+개/NNB
학교의	학교/NNG+의/JKG
5352명을	5352/SN+명/NNB+을/JKO
대상으로	대상/NNG+으로/JKB
설문조사한	설문/NNG+조사/NNG+하/XSV+ㄴ/ETM
결과	결과/NNG
성적	성적/NNG
상위	상위/NNG
학생들의	학생/NNG+들/XSN+의/JKG
행복지수(100점	행복/NNG+지수/NNG+(/SS+100/SN+점/NNB
만점)가	만점/NNG+)/SS+가/JKS
71.1점으로	71/SN+./SP+1/SN+점/NNB+으로/JKB
하위	하위/NNG
학생(54.3점)보다	학생/NNG+(/SS+54/SN+./SP+3/SN+점/NNB+)/SS+보다/JKB
1.3배	1/SN+./SP+3/SN+배/NNG
높은	높/VA+은/ETM
것으로	것/NNB+으로/JKB
나타났다고	나타나/VV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.228.4.2
중위 학생 행복지수는 62.3점이었다.

중위	중위/NNG
학생	학생/NNG
행복지수는	행복/NNG+지수/NNG+는/JX
62.3점이었다.	62/SN+./SP+3/SN+점/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000032.228.5.1
가정의 경제적 수준이 상위인 학생의 행복지수(73.0점) 역시 하위 학생(53.5점)보다 1.3배가량 높았다.

가정의	가정/NNG+의/JKG
경제적	경제/NNG+적/XSN
수준이	수준/NNG+이/JKS
상위인	상위/NNG+이/VCP+ㄴ/ETM
학생의	학생/NNG+의/JKG
행복지수(73.0점)	행복/NNG+지수/NNG+(/SS+73/SN+./SP+0/SN+점/NNB+)/SS
역시	역시/MAG
하위	하위/NNG
학생(53.5점)보다	학생/NNG+(/SS+53/SN+./SP+5/SN+점/NNB+)/SS+보다/JKB
1.3배가량	1/SN+./SP+3/SN+배/NNG+가량/XSN
높았다.	높/VA+았/EP+다/EF+./SF


# id : NWRW1800000032.228.5.2
중위 학생 행복지수는 61.2점이었다.

중위	중위/NNG
학생	학생/NNG
행복지수는	행복/NNG+지수/NNG+는/JX
61.2점이었다.	61/SN+./SP+2/SN+점/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000032.228.5.3
이는 학생들이 여전히 자신의 행복 수준을 성적 중심 척도로 따지는 경향을 드러낸 것으로 분석된다.

이는	이/NP+는/JX
학생들이	학생/NNG+들/XSN+이/JKS
여전히	여전히/MAG
자신의	자신/NNG+의/JKG
행복	행복/NNG
수준을	수준/NNG+을/JKO
성적	성적/NNG
중심	중심/NNG
척도로	척도/NNG+로/JKB
따지는	따지/VV+는/ETM
경향을	경향/NNG+을/JKO
드러낸	드러내/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
분석된다.	분석/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000032.228.6.1
